t_start,t_end,duration_s,alt_gain_m,climb_rate_ms,lat,lon,cluster_id
7676,7876,200,687,3.435,-32.10868170731707,116.94891178861789,0
7881,7971,90,209,2.3222222222222224,-32.09991403508772,116.9526359649123,1
7976,8026,50,115,2.3,-32.10825151515152,116.9532196969697,2
8161,8186,25,52,2.08,-32.14866111111111,116.95630277777776,3
8321,8381,60,62,1.0333333333333334,-32.17028974358974,116.9616435897436,4
8551,8611,60,104,1.7333333333333334,-32.205503846153846,116.97126025641025,5
8616,8661,45,62,1.3777777777777778,-32.21135333333334,116.97218166666667,6
8666,8686,20,44,2.2,-32.21431333333334,116.97231333333335,7
8701,8746,45,57,1.2666666666666666,-32.21897,116.97388666666669,8
8751,8781,30,31,1.0333333333333334,-32.223211904761904,116.9742,9
8786,8851,65,83,1.2769230769230768,-32.228680952380955,116.9752619047619,10
8881,8901,20,39,1.95,-32.24341666666667,116.97957000000001,11
9026,9056,30,47,1.5666666666666667,-32.288964285714286,116.97822857142857,12
9361,9401,40,119,2.975,-32.35943703703703,117.03854259259259,13
9406,9471,65,114,1.7538461538461538,-32.36349285714285,117.04363214285713,14
9526,9551,25,115,4.6,-32.36045,117.05765555555554,15
9556,9616,60,109,1.8166666666666667,-32.364828205128205,117.0611717948718,16
9621,9656,35,49,1.4,-32.37021875000001,117.06469583333333,17
9731,9771,40,73,1.825,-32.35273703703703,117.09290740740741,18
9906,9936,30,56,1.8666666666666667,-32.32996428571429,117.11444047619047,19
9941,9961,20,43,2.15,-32.32983,117.11581666666666,20
9971,10001,30,75,2.5,-32.33071904761905,117.11634285714285,21
10006,10076,70,131,1.8714285714285714,-32.335908888888895,117.11851555555555,22
10081,10136,55,108,1.9636363636363636,-32.3423875,117.12212916666665,23
10181,10206,25,34,1.36,-32.34397222222223,117.13006944444446,24
10286,10316,30,68,2.2666666666666666,-32.319607142857144,117.13460952380953,25
10341,10376,35,87,2.4857142857142858,-32.32134791666667,117.1386,26
10381,10521,140,316,2.257142857142857,-32.32954310344827,117.1432591954023,27
10806,10826,20,50,2.5,-32.24186999999999,117.21871666666667,28
10861,10881,20,72,3.6,-32.237026666666665,117.22574,29
11081,11106,25,39,1.56,-32.18206388888889,117.28305277777777,30
11306,11326,20,37,1.85,-32.13163333333334,117.33126333333334,31
11711,11741,30,64,2.1333333333333333,-32.09262857142857,117.37623095238095,32
11756,11786,30,70,2.3333333333333335,-32.09690952380953,117.37820476190477,33
11791,11861,70,211,3.0142857142857142,-32.101751111111106,117.38165555555555,34
11866,11936,70,139,1.9857142857142858,-32.108335555555556,117.38531222222223,35
11961,12021,60,92,1.5333333333333334,-32.11431282051282,117.3898294871795,36
12201,12221,20,76,3.8,-32.06344,117.41579666666667,37
12306,12341,35,173,4.942857142857143,-32.034549999999996,117.43593125000001,38
12346,12491,145,437,3.013793103448276,-32.04208444444444,117.44003222222224,39
12516,12671,155,511,3.296774193548387,-32.05665104166667,117.44856458333334,40
12826,12856,30,50,1.6666666666666667,-32.01329047619048,117.48421190476189,41
12866,12886,20,56,2.8,-32.013533333333335,117.48564666666667,42
13076,13096,20,37,1.85,-31.96261,117.54594666666667,43
