circle_id,seg_id,t_start,t_end,duration_s,avg_speed_kmh,alt_gained_m,climb_rate_ms,turn_radius_m,bank_angle_deg,lat,lon
0,,7891.0,7916.0,25.0,119.89490256550627,46.571428571428356,1.8628571428571343,132.5129610751492,40.47199785366369,-32.09717222222222,116.95284722222222
1,,7916.0,7936.0,20.0,123.38814782941088,41.119999999999415,2.0559999999999707,109.09907581113477,47.664521411918194,-32.099666666666664,116.95253
2,,7936.0,7956.0,20.0,110.54290893314753,56.07999999999975,2.8039999999999874,97.74139100259814,44.51909429174281,-32.10181333333334,116.95251
3,,7956.0,7981.0,25.0,118.99045479214914,50.79999999999991,2.0319999999999965,131.51332681196692,40.257901968505216,-32.10455555555556,116.95277222222222
4,,7981.0,8001.0,20.0,114.73449737638649,34.87999999999999,1.7439999999999993,101.44756889231115,45.58521890826676,-32.10725000000001,116.95311
5,,8001.0,8026.0,25.0,108.40957098354308,40.45714285714321,1.6182857142857285,119.81888264237907,37.65018924552583,-32.10982222222223,116.95336111111112
6,,8231.0,8251.0,20.0,104.73075169908574,-1.360000000000317,-0.06800000000001585,92.60231570355229,42.97346353513751,-32.16110333333334,116.95682333333332
7,,8251.0,8276.0,25.0,96.276533955379,11.542857142857589,0.46171428571430356,106.40893251911994,34.417185497405626,-32.162488888888895,116.95776944444442
8,,8276.0,8301.0,25.0,104.00277496463687,22.71428571428594,0.9085714285714376,114.94830368677762,36.5065862329026,-32.164625,116.95907777777778
9,,8301.0,8321.0,20.0,107.37011516068999,17.67999999999914,0.883999999999957,94.93602537872147,43.685253181416556,-32.166513333333334,116.95994333333333
10,,8321.0,8341.0,20.0,112.24669881015859,19.679999999999346,0.9839999999999673,99.24787200768837,44.95725136955639,-32.168353333333336,116.96089666666667
11,,8341.0,8361.0,20.0,109.71225229901259,26.559999999999814,1.3279999999999907,97.0069292840723,44.303057692717964,-32.170296666666665,116.96180666666666
12,,8361.0,8386.0,25.0,109.37697092701764,28.68571428571442,1.1474285714285768,120.88809432953737,37.89664117799323,-32.17240277777778,116.96291111111111
13,,8386.0,8411.0,25.0,108.49277186787117,23.48571428571425,0.93942857142857,119.91083980911817,37.671449871545036,-32.175066666666666,116.96439166666666
14,,8411.0,8431.0,20.0,106.33512690434975,13.759999999999282,0.6879999999999641,94.02089483961808,43.40812193612472,-32.17731333333334,116.96523666666667
15,,8431.0,8456.0,25.0,100.70580277323532,23.000000000000785,0.9200000000000315,111.30434937081876,35.62825973067976,-32.17890833333333,116.96564166666667
16,,8456.0,8481.0,25.0,100.99546967900775,24.80000000000028,0.9920000000000112,111.62450159237305,35.70621541237975,-32.18103333333334,116.96651111111112
