t_start,t_end,duration_s,alt_gain_m,climb_rate_ms,lat,lon,cluster_id
9415,9591,176,510,2.897727272727273,-32.1207688888889,116.95721999999999,0
9595,9791,196,494,2.520408163265306,-32.13735233333333,116.96243666666665,1
9795,9831,36,61,1.6944444444444444,-32.13879666666667,116.96121833333333,2
9835,9855,20,33,1.65,-32.13917222222222,116.96140555555554,3
9875,9903,28,47,1.6785714285714286,-32.13630625,116.95772916666667,4
9963,10103,140,376,2.6857142857142855,-32.11579120370371,116.9454726851852,5
10383,10631,248,780,3.1451612903225805,-32.0223671957672,116.93864867724865,6
10699,10731,32,65,2.03125,-32.00106851851852,116.9270037037037,7
11103,11123,20,62,3.1,-31.855791666666665,116.91049444444445,8
11131,11151,20,56,2.8,-31.854836111111116,116.91034722222223,9
11171,11239,68,182,2.676470588235294,-31.85363425925926,116.90837592592591,10
11663,11731,68,100,1.4705882352941178,-31.747409259259257,116.91346666666666,11
11771,11803,32,40,1.25,-31.747714814814813,116.91126296296297,12
11935,11959,24,78,3.25,-31.7037,116.91584999999999,13
11963,12123,160,409,2.55625,-31.703792276422767,116.91077235772357,14
12127,12231,104,318,3.0576923076923075,-31.705054320987657,116.90417716049382,15
12247,12295,48,87,1.8125,-31.707744871794873,116.89918846153844,16
12331,12487,156,519,3.326923076923077,-31.700245416666668,116.89459833333333,17
12727,12751,24,67,2.7916666666666665,-31.608890476190474,116.86421666666665,18
12891,12911,20,46,2.3,-31.567533333333333,116.86354999999999,19
13107,13135,28,42,1.5,-31.502125,116.86814791666667,20
13167,13187,20,51,2.55,-31.495555555555555,116.86818611111111,21
13275,13323,48,89,1.8541666666666667,-31.4911358974359,116.86253076923079,22
13363,13435,72,122,1.6944444444444444,-31.492500000000003,116.8587552631579,23
13623,13659,36,96,2.6666666666666665,-31.429025000000003,116.84307833333332,24
13723,13743,20,42,2.1,-31.429475,116.83919722222224,25
13767,13787,20,49,2.45,-31.429375000000004,116.83748611111112,26
13815,13951,136,315,2.3161764705882355,-31.42832238095238,116.83456476190476,27
14227,14287,60,140,2.3333333333333335,-31.356885416666668,116.85461145833334,28
14467,14635,168,618,3.6785714285714284,-31.30875387596899,116.84866201550392,29
14663,14683,20,55,2.75,-31.306894444444442,116.84646944444444,30
14951,14983,32,88,2.75,-31.20028148148148,116.83205925925927,31
15043,15147,104,267,2.5673076923076925,-31.19025802469136,116.83404074074075,32
15151,15187,36,105,2.9166666666666665,-31.189293333333335,116.83183000000001,33
15339,15375,36,102,2.8333333333333335,-31.139795,116.81561666666667,34
15691,15883,192,399,2.078125,-31.03806598639456,116.80304931972789,35
16151,16387,236,658,2.788135593220339,-30.96763777777778,116.79531083333333,36
16747,16771,24,47,1.9583333333333333,-30.830045238095238,116.79534523809524,37
16779,16855,76,264,3.473684210526316,-30.827977499999996,116.80173416666666,38
16867,17063,196,709,3.61734693877551,-30.824793333333336,116.800378,39
17067,17095,28,54,1.9285714285714286,-30.820629166666667,116.799625,40
17571,17679,108,331,3.064814814814815,-30.65440476190476,116.76990892857143,41
17683,17775,92,236,2.5652173913043477,-30.653992361111108,116.76659097222223,42
17779,17859,80,160,2.0,-30.65549682539683,116.76279603174605,43
18043,18071,28,122,4.357142857142857,-30.579920833333333,116.74376666666666,44
18075,18107,32,55,1.71875,-30.579762962962963,116.74520370370368,45
18115,18143,28,74,2.642857142857143,-30.578995833333334,116.74359583333333,46
18307,18507,200,649,3.245,-30.526387581699353,116.7315754901961,47
18647,18683,36,106,2.9444444444444446,-30.48549833333334,116.71911833333334,48
19111,19211,100,231,2.31,-30.330703205128202,116.6853141025641,49
19215,19239,24,56,2.3333333333333335,-30.32990952380953,116.68665476190475,50
19243,19279,36,78,2.1666666666666665,-30.33000333333333,116.68786666666668,51
19383,19411,28,85,3.0357142857142856,-30.285870833333334,116.68221458333333,52
19511,19535,24,48,2.0,-30.246502380952386,116.67025476190476,53
19727,19787,60,178,2.966666666666667,-30.163465625,116.65048958333334,54
19803,19831,28,44,1.5714285714285714,-30.16183125,116.65116041666667,55
19963,20143,180,549,3.05,-30.11251811594202,116.62606956521738,56
20147,20287,140,363,2.592857142857143,-30.111681481481483,116.62533101851851,57
20583,20603,20,64,3.2,-30.18213333333333,116.74524444444445,58
20639,20739,100,306,3.06,-30.175952564102566,116.76040128205128,59
20803,20967,164,612,3.731707317073171,-30.195263888888896,116.79484841269843,60
20971,20991,20,45,2.25,-30.195333333333334,116.7972361111111,61
21571,21595,24,32,1.3333333333333333,-30.3331119047619,117.02334761904761,62
21855,21947,92,199,2.1630434782608696,-30.386228472222218,117.08163541666666,63
21951,21975,24,36,1.5,-30.386042857142858,117.0815357142857,64
21991,22099,108,415,3.8425925925925926,-30.387807142857145,117.08684702380955,65
22103,22127,24,63,2.625,-30.38674047619048,117.08664047619048,66
