t_start,t_end,duration_s,alt_gain_m,climb_rate_ms,lat,lon,cluster_id
10594,10624,30,111,3.7,-32.12289193548387,116.94798763440859,0
10625,10673,48,211,4.395833333333333,-32.11916360544218,116.93747585034015,1
10674,10724,50,232,4.64,-32.13243366013072,116.9328248366013,2
10829,10851,22,35,1.5909090909090908,-32.139056060606066,116.93533787878788,3
10876,10936,60,160,2.6666666666666665,-32.14155128205129,116.93339615384615,4
10941,10961,20,30,1.5,-32.14243333333334,116.93838666666666,5
11046,11096,50,74,1.48,-32.1505803030303,116.93462272727271,6
11211,11236,25,39,1.56,-32.15855555555555,116.9328388888889,7
11497,11524,27,61,2.259259259259259,-32.12988194444444,116.94752916666668,8
11529,11646,117,242,2.0683760683760686,-32.13595055555555,116.94592777777778,9
11651,11766,115,230,2.0,-32.146143055555555,116.94435763888889,10
11786,11811,25,40,1.6,-32.15229444444445,116.94584722222224,11
12178,12243,65,206,3.169230769230769,-32.066654761904765,116.93888095238094,12
12248,12278,30,78,2.6,-32.07094047619047,116.93873095238095,13
12707,12742,35,155,4.428571428571429,-31.93804166666667,116.91707592592593,14
12784,12809,25,93,3.72,-31.914211538461537,116.91578717948718,15
13240,13263,23,140,6.086956521739131,-31.743494444444448,116.90174513888888,16
13267,13297,30,74,2.466666666666667,-31.745390476190476,116.90212142857142,17
13302,13392,90,198,2.2,-31.74889912280702,116.90182105263155,18
13397,13453,56,141,2.517857142857143,-31.752336111111116,116.89918055555556,19
13458,13588,130,310,2.3846153846153846,-31.756858024691358,116.89886296296297,20
13623,13683,60,148,2.466666666666667,-31.76003846153846,116.8998435897436,21
13757,13777,20,128,6.4,-31.741958730158732,116.89738492063493,22
14413,14673,260,987,3.796153846153846,-31.541979874213833,116.86809182389936,23
14683,14828,145,518,3.5724137931034483,-31.550748333333335,116.85896611111112,24
14833,14869,36,110,3.0555555555555554,-31.55545625,116.85645833333334,25
14874,14914,40,63,1.575,-31.556975925925922,116.85435370370371,26
15276,15318,42,94,2.238095238095238,-31.432165555555557,116.85423999999999,27
15646,15785,139,334,2.402877697841727,-31.327451893939394,116.84890037878786,28
15873,15920,47,68,1.446808510638298,-31.3022,116.85035694444444,29
15988,16018,30,67,2.2333333333333334,-31.29032857142857,116.85465952380953,30
16137,16162,25,179,7.16,-31.264917948717944,116.85118717948718,31
16165,16252,87,289,3.32183908045977,-31.262986309523807,116.85051011904764,32
16257,16308,51,158,3.0980392156862746,-31.26806515151515,116.85273787878788,33
16318,16343,25,89,3.56,-31.27197222222222,116.85378333333334,34
16348,16383,35,83,2.3714285714285714,-31.274916666666666,116.85422083333333,35
16787,16810,23,176,7.6521739130434785,-31.111675,116.84182638888889,36
16818,16966,148,650,4.391891891891892,-31.113379292929295,116.83816565656566,37
16971,17006,35,111,3.1714285714285713,-31.117164583333334,116.83664375000001,38
17011,17106,95,251,2.642105263157895,-31.118518333333327,116.83919499999998,39
17644,17669,25,164,6.56,-30.87185769230769,116.80935,40
17802,17822,20,177,8.85,-30.81604298245614,116.80673333333331,41
17837,17857,20,52,2.6,-30.815866666666665,116.80618,42
17902,17922,20,58,2.9,-30.81999,116.80977666666668,43
18294,18654,360,1266,3.5166666666666666,-30.691500228310503,116.7809337899543,44
18659,18684,25,76,3.04,-30.703661111111114,116.7847138888889,45
19212,19499,287,879,3.062717770034843,-30.498342857142855,116.72851931216931,46
