t_start,t_end,duration_s,alt_gain_m,climb_rate_ms,lat,lon,cluster_id
18497,18634,137,511,3.72992700729927,-32.1360875,116.95300833333334,0
18638,18674,36,141,3.9166666666666665,-32.13643166666667,116.95769166666669,1
18678,18710,32,78,2.4375,-32.13627962962963,116.95838518518518,2
18718,18746,28,68,2.4285714285714284,-32.135549999999995,116.95829583333332,3
18750,18874,124,292,2.3548387096774195,-32.13374322916667,116.9607890625,4
19046,19078,32,264,8.25,-32.15357037037037,116.96275185185183,5
19098,19118,20,42,2.1,-32.15485833333334,116.96376944444444,6
19122,19142,20,49,2.45,-32.154669444444444,116.96489166666667,7
19178,19198,20,38,1.9,-32.153349999999996,116.96817500000002,8
19578,19602,24,82,3.4166666666666665,-32.1285712962963,116.9492861111111,9
19694,19722,28,31,1.1071428571428572,-32.12635625,116.95635416666667,10
19822,19842,20,69,3.45,-32.13594722222222,116.97476388888886,11
19982,20054,72,204,2.8333333333333335,-32.165642982456134,116.98552368421052,12
20058,20078,20,31,1.55,-32.16588888888889,116.98633055555554,13
20082,20142,60,92,1.5333333333333334,-32.165726041666666,116.98850208333333,14
20222,20242,20,81,4.05,-32.18400833333334,116.99510833333333,15
20386,20414,28,66,2.357142857142857,-32.23049375,117.00580625,16
20518,20538,20,95,4.75,-32.27799444444444,117.00596111111112,17
20542,20590,48,110,2.2916666666666665,-32.27900641025641,117.00716410256408,18
20834,20862,28,64,2.2857142857142856,-32.32172083333333,117.01306666666667,19
20870,20894,24,52,2.1666666666666665,-32.321440476190475,117.01505476190475,20
20914,20934,20,43,2.15,-32.321666666666665,117.01693055555556,21
21306,21326,20,36,1.8,-32.42001388888889,117.02,22
21358,21378,20,46,2.3,-32.432808333333334,117.019025,23
21466,21486,20,72,3.6,-32.47116388888889,117.01878611111111,24
21558,21582,24,51,2.125,-32.49663333333334,117.02064285714285,25
21590,21710,120,234,1.95,-32.49588602150538,117.0239204301075,26
21726,21746,20,49,2.45,-32.49633333333333,117.02688055555556,27
21778,21798,20,37,1.85,-32.49686388888889,117.02839722222222,28
22306,22330,24,42,1.75,-32.63023571428571,117.0404119047619,29
22530,22550,20,52,2.6,-32.67292222222222,117.04585833333334,30
22634,22654,20,78,3.9,-32.707566666666665,117.04970833333334,31
22794,22814,20,92,4.6,-32.73855555555556,117.06310277777777,32
22862,22882,20,42,2.1,-32.73849722222223,117.06615,33
22886,22918,32,79,2.46875,-32.73749074074074,117.06673888888889,34
22922,22966,44,83,1.8863636363636365,-32.73663472222223,117.06822361111112,35
23218,23242,24,85,3.5416666666666665,-32.828916666666665,117.06329523809525,36
23478,23574,96,219,2.28125,-32.89817466666667,117.07447866666668,37
23590,23650,60,132,2.2,-32.89761145833333,117.07743229166667,38
23888,23908,20,74,3.7,-32.872461111111114,117.058025,39
23984,24004,20,39,1.95,-32.8683,117.05717222222222,40
24020,24100,80,152,1.9,-32.8661753968254,117.05898253968252,41
24104,24184,80,174,2.175,-32.864203174603176,117.06182380952379,42
24188,24208,20,43,2.15,-32.86270277777778,117.0637861111111,43
24212,24244,32,68,2.125,-32.86208888888889,117.06460185185185,44
24412,24432,20,53,2.65,-32.802308333333336,117.05095555555556,45
24608,24648,40,134,3.35,-32.722346969696964,117.03289242424243,46
24700,24724,24,38,1.5833333333333333,-32.721223809523806,117.03212619047619,47
24832,24852,20,56,2.8,-32.68583611111111,117.02329444444445,48
25080,25104,24,68,2.8333333333333335,-32.58583095238095,116.99351190476192,49
25108,25128,20,32,1.6,-32.58419444444444,116.994775,50
25132,25256,124,346,2.7903225806451615,-32.581085937500006,116.99867864583334,51
25268,25288,20,55,2.75,-32.57975,117.00110000000002,52
25452,25476,24,57,2.375,-32.54671428571429,116.96776904761906,53
25620,25640,20,87,4.35,-32.488816666666665,116.94711666666667,54
25996,26016,20,35,1.75,-32.34145833333333,116.93632500000001,55
26192,26224,32,64,2.0,-32.291612962962965,116.94340185185186,56
26260,26280,20,70,3.5,-32.27263333333333,116.94291111111109,57
26585,26605,20,148,7.4,-32.12502301587302,116.9492261904762,58
26611,26632,21,33,1.5714285714285714,-32.12448333333333,116.95042619047618,59
26636,26660,24,45,1.875,-32.123154761904765,116.95115714285714,60
26732,26788,56,155,2.767857142857143,-32.12143555555556,116.95366111111112,61
26792,26968,176,458,2.602272727272727,-32.11993333333333,116.95654148148147,62
26972,27000,28,49,1.75,-32.118341666666666,116.959175,63
27256,27276,20,94,4.7,-32.09858888888889,117.07880277777777,64
27384,27416,32,78,2.4375,-32.0900962962963,117.08706111111113,65
27440,27496,56,94,1.6785714285714286,-32.08773333333333,117.09054444444446,66
