t_start,t_end,duration_s,alt_gain_m,climb_rate_ms,lat,lon,cluster_id
11125,11420,295,886,3.0033898305084747,-32.13913944444445,116.96356361111111,0
11552,11598,46,134,2.9130434782608696,-32.12579074074075,116.94957160493826,1
11599,11619,20,60,3.0,-32.12429206349206,116.94966666666666,2
12601,12649,48,123,2.5625,-32.123291954022996,116.97845689655175,3
12704,12728,24,49,2.0416666666666665,-32.121586,116.98090466666666,4
13408,13437,29,96,3.310344827586207,-32.1608013888889,117.00231805555556,5
13823,13848,25,38,1.52,-32.187622222222224,116.99060000000001,6
13973,13993,20,42,2.1,-32.204683333333335,116.97909999999999,7
14582,14609,27,86,3.185185185185185,-32.163783333333335,116.94805357142856,8
14623,14650,27,55,2.037037037037037,-32.16247916666667,116.9485113095238,9
15120,15140,20,38,1.9,-32.087276666666675,116.87977000000001,10
15402,15426,24,61,2.5416666666666665,-32.09403888888889,116.90828333333333,11
16231,16281,50,116,2.32,-32.11546993464052,117.00025980392157,12
16342,16363,21,81,3.857142857142857,-32.11249285714286,117.00380357142856,13
16784,16814,30,68,2.2666666666666666,-32.1721880952381,116.99589285714285,14
16909,16929,20,56,2.8,-32.199056666666664,116.98066333333334,15
16991,17045,54,177,3.2777777777777777,-32.19592095238095,116.97259666666666,16
