t_start,t_end,duration_s,alt_gain_m,climb_rate_ms,lat,lon,cluster_id
11569,11616,47,173,3.6808510638297873,-31.616425347222222,117.22501284722222,0
11621,11681,60,284,4.733333333333333,-31.602991256830602,117.2321825136612,1
11691,11721,30,107,3.566666666666667,-31.60801075268817,117.22672150537635,2
11926,11946,20,47,2.35,-31.623584920634926,117.22424365079364,3
12011,12038,27,80,2.962962962962963,-31.626375595238095,117.22696130952383,4
12074,12095,21,48,2.2857142857142856,-31.629937878787874,117.22763560606062,5
12468,12492,24,64,2.6666666666666665,-31.65480133333333,117.211958,6
13107,13131,24,60,2.5,-31.63506933333333,117.23452933333334,7
13148,13183,35,101,2.8857142857142857,-31.635794444444443,117.23501851851853,8
13184,13236,52,147,2.826923076923077,-31.637129874213837,117.23579622641509,9
13238,13258,20,43,2.15,-31.638707936507938,117.23744761904761,10
13262,13288,26,92,3.5384615384615383,-31.63888271604938,117.23786975308643,11
13289,13327,38,124,3.263157894736842,-31.63980598290598,117.23797692307693,12
13341,13364,23,76,3.3043478260869565,-31.64129861111111,117.23895416666669,13
13365,13393,28,75,2.6785714285714284,-31.642578160919545,117.23959137931034,14
13398,13446,48,202,4.208333333333333,-31.643201020408164,117.2405568027211,15
13463,13485,22,94,4.2727272727272725,-31.644315217391306,117.24258695652178,16
13488,13572,84,346,4.119047619047619,-31.64704431372549,117.24414666666667,17
13575,13604,29,95,3.2758620689655173,-31.649157222222218,117.24583999999999,18
13865,13889,24,152,6.333333333333333,-31.575045333333335,117.23393133333335,19
14278,14338,60,324,5.4,-31.416463114754098,117.19044016393443,20
14342,14383,41,177,4.317073170731708,-31.41874166666667,117.19045912698414,21
14390,14441,51,212,4.1568627450980395,-31.41994647435898,117.19143108974359,22
14443,14500,57,207,3.6315789473684212,-31.420906609195402,117.19277327586207,23
15124,15155,31,158,5.096774193548387,-31.219327604166665,117.13109010416667,24
15156,15185,29,82,2.8275862068965516,-31.21980555555555,117.13020833333334,25
15187,15229,42,127,3.0238095238095237,-31.22053720930233,117.13020542635657,26
15244,15271,27,68,2.5185185185185186,-31.223680357142857,117.1305613095238,27
15275,15338,63,159,2.5238095238095237,-31.225621614583332,117.13098671875,28
15358,15393,35,72,2.057142857142857,-31.227570833333328,117.13205601851853,29
15406,15430,24,58,2.4166666666666665,-31.228831333333332,117.13172933333334,30
15663,15684,21,118,5.619047619047619,-31.165252272727276,117.11125454545454,31
15688,15772,84,295,3.511904761904762,-31.166090588235292,117.10984666666664,32
15775,15905,130,456,3.5076923076923077,-31.168664885496185,117.11027926208652,33
16118,16143,25,138,5.52,-31.10375384615385,117.10117756410257,34
16144,16177,33,100,3.0303030303030303,-31.103653921568625,117.10068186274509,35
16179,16217,38,123,3.236842105263158,-31.103668803418806,117.10043034188034,36
16249,16293,44,116,2.6363636363636362,-31.106501851851853,117.10030333333336,37
17042,17062,20,51,2.55,-30.928048412698413,117.03389206349205,38
17468,17492,24,120,5.0,-30.889988,117.02836800000001,39
17514,17568,54,172,3.185185185185185,-30.89214696969697,117.03269969696971,40
17572,17600,28,102,3.642857142857143,-30.893594252873562,117.03578793103449,41
17602,17625,23,59,2.5652173913043477,-30.893370138888884,117.03710625000001,42
17626,17680,54,140,2.5925925925925926,-30.895334545454546,117.03818545454546,43
17775,17796,21,46,2.1904761904761907,-30.89834621212121,117.04236818181818,44
17806,17836,30,71,2.3666666666666667,-30.8986311827957,117.04206666666666,45
17951,17990,39,82,2.1025641025641026,-30.904256250000003,117.04808041666665,46
18146,18189,43,204,4.744186046511628,-30.89873333333333,117.04753977272729,47
18192,18269,77,324,4.207792207792208,-30.90053824786325,117.04865170940171,48
18270,18323,53,172,3.2452830188679247,-30.902319753086424,117.04972222222223,49
18327,18350,23,66,2.869565217391304,-30.903340277777776,117.05002847222222,50
18351,18376,25,57,2.28,-30.904865384615388,117.04935961538465,51
