[circles-360-timecap-DEBUG2] Tow detected: 0→483. Excluding tow.
[circles-360-timecap-DEBUG2] Points after tow trim: 8147
[debug2] cadence ~ 3.000 s/fix, max_len_samples=600
[circles-360-timecap-DEBUG2] Attempts: 1605, Circles: 262
  CIRCLE: idx 65->79, samples 14, dur 42.0s, arc 359.4°
  CIRCLE: idx 79->87, samples 8, dur 24.0s, arc 341.5°
  CIRCLE: idx 114->125, samples 11, dur 33.0s, arc 338.5°
  CIRCLE: idx 125->133, samples 8, dur 24.0s, arc 353.3°
  CIRCLE: idx 133->142, samples 9, dur 27.0s, arc 358.7°
  CIRCLE: idx 142->150, samples 8, dur 24.0s, arc 362.7°
  CIRCLE: idx 150->158, samples 8, dur 24.0s, arc 362.4°
  CIRCLE: idx 158->166, samples 8, dur 24.0s, arc 364.9°
  CIRCLE: idx 166->173, samples 7, dur 21.0s, arc 361.5°
  CIRCLE: idx 173->180, samples 7, dur 21.0s, arc 367.4°
  CIRCLE: idx 180->187, samples 7, dur 21.0s, arc 341.8°
  CIRCLE: idx 187->194, samples 7, dur 21.0s, arc 341.9°
  CIRCLE: idx 194->201, samples 7, dur 21.0s, arc 372.2°
  CIRCLE: idx 201->208, samples 7, dur 21.0s, arc 351.5°
  CIRCLE: idx 208->215, samples 7, dur 21.0s, arc 346.4°
  CIRCLE: idx 215->222, samples 7, dur 21.0s, arc 351.2°
  CIRCLE: idx 222->229, samples 7, dur 21.0s, arc 351.9°
  CIRCLE: idx 229->236, samples 7, dur 21.0s, arc 344.9°
  CIRCLE: idx 236->244, samples 8, dur 24.0s, arc 374.3°
  CIRCLE: idx 244->251, samples 7, dur 21.0s, arc 342.5°
  CIRCLE: idx 251->258, samples 7, dur 21.0s, arc 351.3°
  CIRCLE: idx 258->265, samples 7, dur 21.0s, arc 364.7°
  CIRCLE: idx 265->272, samples 7, dur 21.0s, arc 365.2°
  CIRCLE: idx 272->279, samples 7, dur 21.0s, arc 361.4°
  CIRCLE: idx 279->286, samples 7, dur 21.0s, arc 343.4°
  CIRCLE: idx 286->294, samples 8, dur 24.0s, arc 346.5°
  CIRCLE: idx 294->303, samples 9, dur 27.0s, arc 371.9°
  CIRCLE: idx 303->310, samples 7, dur 21.0s, arc 334.2°
  CIRCLE: idx 310->317, samples 7, dur 21.0s, arc 350.6°
  CIRCLE: idx 317->324, samples 7, dur 21.0s, arc 353.6°
  CIRCLE: idx 419->429, samples 10, dur 30.0s, arc 351.2°
  CIRCLE: idx 429->436, samples 7, dur 21.0s, arc 353.1°
  CIRCLE: idx 438->445, samples 7, dur 21.0s, arc -334.0°
  CIRCLE: idx 445->452, samples 7, dur 21.0s, arc -331.2°
  CIRCLE: idx 452->460, samples 8, dur 24.0s, arc -342.8°
  CIRCLE: idx 460->468, samples 8, dur 24.0s, arc -362.6°
  CIRCLE: idx 468->476, samples 8, dur 24.0s, arc -346.2°
  CIRCLE: idx 476->485, samples 9, dur 27.0s, arc -361.3°
  CIRCLE: idx 771->784, samples 13, dur 39.0s, arc -347.4°
  CIRCLE: idx 802->813, samples 11, dur 33.0s, arc 348.2°
  CIRCLE: idx 856->864, samples 8, dur 24.0s, arc 339.5°
  CIRCLE: idx 864->872, samples 8, dur 24.0s, arc 364.8°
  CIRCLE: idx 872->879, samples 7, dur 21.0s, arc 343.2°
  CIRCLE: idx 879->886, samples 7, dur 21.0s, arc 334.2°
  CIRCLE: idx 886->893, samples 7, dur 21.0s, arc 333.4°
  CIRCLE: idx 893->900, samples 7, dur 21.0s, arc 332.6°
  CIRCLE: idx 900->908, samples 8, dur 24.0s, arc 330.7°
  CIRCLE: idx 908->918, samples 10, dur 30.0s, arc 339.0°
  CIRCLE: idx 1013->1021, samples 8, dur 24.0s, arc -333.7°
  CIRCLE: idx 1021->1029, samples 8, dur 24.0s, arc -356.0°
  CIRCLE: idx 1029->1036, samples 7, dur 21.0s, arc -331.3°
  CIRCLE: idx 1036->1044, samples 8, dur 24.0s, arc -343.0°
  CIRCLE: idx 1055->1065, samples 10, dur 30.0s, arc 355.6°
  CIRCLE: idx 1065->1073, samples 8, dur 24.0s, arc 350.7°
  CIRCLE: idx 1073->1081, samples 8, dur 24.0s, arc 369.3°
  CIRCLE: idx 1081->1088, samples 7, dur 21.0s, arc 333.7°
  CIRCLE: idx 1088->1096, samples 8, dur 24.0s, arc 362.6°
  CIRCLE: idx 1096->1103, samples 7, dur 21.0s, arc 341.8°
  CIRCLE: idx 1103->1110, samples 7, dur 21.0s, arc 343.4°
  CIRCLE: idx 1110->1118, samples 8, dur 24.0s, arc 365.7°
  CIRCLE: idx 1118->1125, samples 7, dur 21.0s, arc 330.3°
  CIRCLE: idx 1125->1132, samples 7, dur 21.0s, arc 341.5°
  CIRCLE: idx 1132->1139, samples 7, dur 21.0s, arc 347.1°
  CIRCLE: idx 1414->1424, samples 10, dur 30.0s, arc 362.9°
  CIRCLE: idx 1451->1460, samples 9, dur 27.0s, arc -353.2°
  CIRCLE: idx 1460->1467, samples 7, dur 21.0s, arc -344.6°
  CIRCLE: idx 1467->1474, samples 7, dur 21.0s, arc -360.7°
  CIRCLE: idx 1474->1481, samples 7, dur 21.0s, arc -354.8°
  CIRCLE: idx 1481->1489, samples 8, dur 24.0s, arc -371.9°
  CIRCLE: idx 1489->1497, samples 8, dur 24.0s, arc -370.2°
  CIRCLE: idx 1591->1601, samples 10, dur 30.0s, arc -361.6°
  CIRCLE: idx 1601->1609, samples 8, dur 24.0s, arc -357.2°
  CIRCLE: idx 1609->1618, samples 9, dur 27.0s, arc -358.0°
  CIRCLE: idx 1655->1664, samples 9, dur 27.0s, arc 340.3°
  CIRCLE: idx 1675->1683, samples 8, dur 24.0s, arc 347.6°
  CIRCLE: idx 1683->1690, samples 7, dur 21.0s, arc 342.8°
  CIRCLE: idx 1690->1697, samples 7, dur 21.0s, arc 348.2°
  CIRCLE: idx 1697->1704, samples 7, dur 21.0s, arc 345.9°
  CIRCLE: idx 1704->1711, samples 7, dur 21.0s, arc 349.1°
  CIRCLE: idx 1711->1718, samples 7, dur 21.0s, arc 364.3°
  CIRCLE: idx 1718->1725, samples 7, dur 21.0s, arc 336.6°
  CIRCLE: idx 1725->1732, samples 7, dur 21.0s, arc 349.4°
  CIRCLE: idx 1732->1740, samples 8, dur 24.0s, arc 356.8°
  CIRCLE: idx 1740->1749, samples 9, dur 27.0s, arc 364.9°
  CIRCLE: idx 1986->1996, samples 10, dur 30.0s, arc 350.7°
  CIRCLE: idx 1996->2003, samples 7, dur 21.0s, arc 331.9°
  CIRCLE: idx 2003->2011, samples 8, dur 24.0s, arc 363.2°
  CIRCLE: idx 2011->2019, samples 8, dur 24.0s, arc 357.8°
  CIRCLE: idx 2019->2027, samples 8, dur 24.0s, arc 353.6°
  CIRCLE: idx 2027->2035, samples 8, dur 24.0s, arc 345.6°
  CIRCLE: idx 2035->2043, samples 8, dur 24.0s, arc 363.0°
  CIRCLE: idx 2117->2125, samples 8, dur 24.0s, arc -338.4°
  CIRCLE: idx 2225->2236, samples 11, dur 33.0s, arc 350.8°
  CIRCLE: idx 2236->2244, samples 8, dur 24.0s, arc 360.0°
  CIRCLE: idx 2247->2258, samples 11, dur 33.0s, arc 355.6°
  CIRCLE: idx 2270->2280, samples 10, dur 30.0s, arc 352.3°
  CIRCLE: idx 2360->2372, samples 12, dur 36.0s, arc -353.7°
  CIRCLE: idx 2372->2380, samples 8, dur 24.0s, arc -368.2°
  CIRCLE: idx 2380->2388, samples 8, dur 24.0s, arc -330.9°
  CIRCLE: idx 2388->2396, samples 8, dur 24.0s, arc -351.0°
  CIRCLE: idx 2396->2405, samples 9, dur 27.0s, arc -353.9°
  CIRCLE: idx 2515->2528, samples 13, dur 39.0s, arc 365.3°
  CIRCLE: idx 2528->2537, samples 9, dur 27.0s, arc 353.6°
  CIRCLE: idx 2643->2651, samples 8, dur 24.0s, arc 335.5°
  CIRCLE: idx 2651->2659, samples 8, dur 24.0s, arc 375.5°
  CIRCLE: idx 2659->2666, samples 7, dur 21.0s, arc 350.7°
  CIRCLE: idx 2666->2673, samples 7, dur 21.0s, arc 337.0°
  CIRCLE: idx 2673->2681, samples 8, dur 24.0s, arc 381.6°
  CIRCLE: idx 2681->2689, samples 8, dur 24.0s, arc 369.2°
  CIRCLE: idx 2689->2697, samples 8, dur 24.0s, arc 365.9°
  CIRCLE: idx 2697->2704, samples 7, dur 21.0s, arc 335.9°
  CIRCLE: idx 2704->2712, samples 8, dur 24.0s, arc 378.1°
  CIRCLE: idx 2712->2720, samples 8, dur 24.0s, arc 366.9°
  CIRCLE: idx 2720->2729, samples 9, dur 27.0s, arc 347.9°
  CIRCLE: idx 2731->2743, samples 12, dur 36.0s, arc -354.6°
  CIRCLE: idx 2922->2931, samples 9, dur 27.0s, arc -350.1°
  CIRCLE: idx 2931->2939, samples 8, dur 24.0s, arc -360.6°
  CIRCLE: idx 2939->2947, samples 8, dur 24.0s, arc -381.2°
  CIRCLE: idx 2947->2954, samples 7, dur 21.0s, arc -344.3°
  CIRCLE: idx 2954->2961, samples 7, dur 21.0s, arc -336.9°
  CIRCLE: idx 2961->2969, samples 8, dur 24.0s, arc -379.8°
  CIRCLE: idx 2969->2976, samples 7, dur 21.0s, arc -331.9°
  CIRCLE: idx 3002->3010, samples 8, dur 24.0s, arc -332.4°
  CIRCLE: idx 3010->3017, samples 7, dur 21.0s, arc -334.2°
  CIRCLE: idx 3017->3024, samples 7, dur 21.0s, arc -337.8°
  CIRCLE: idx 3024->3031, samples 7, dur 21.0s, arc -331.1°
  CIRCLE: idx 3031->3039, samples 8, dur 24.0s, arc -355.4°
  CIRCLE: idx 3039->3047, samples 8, dur 24.0s, arc -365.0°
  CIRCLE: idx 3047->3055, samples 8, dur 24.0s, arc -341.9°
  CIRCLE: idx 3449->3461, samples 12, dur 36.0s, arc 343.9°
  CIRCLE: idx 3518->3531, samples 13, dur 39.0s, arc 331.5°
  CIRCLE: idx 3554->3565, samples 11, dur 33.0s, arc 364.3°
  CIRCLE: idx 3565->3574, samples 9, dur 27.0s, arc 359.4°
  CIRCLE: idx 3574->3583, samples 9, dur 27.0s, arc 353.5°
  CIRCLE: idx 3636->3644, samples 8, dur 24.0s, arc -349.5°
  CIRCLE: idx 3644->3652, samples 8, dur 24.0s, arc -342.2°
  CIRCLE: idx 3652->3660, samples 8, dur 24.0s, arc -364.8°
  CIRCLE: idx 3660->3667, samples 7, dur 21.0s, arc -353.5°
  CIRCLE: idx 3667->3674, samples 7, dur 21.0s, arc -336.8°
  CIRCLE: idx 3674->3682, samples 8, dur 24.0s, arc -353.3°
  CIRCLE: idx 3767->3788, samples 21, dur 63.0s, arc -332.2°
  CIRCLE: idx 3790->3799, samples 9, dur 27.0s, arc 351.8°
  CIRCLE: idx 3799->3807, samples 8, dur 24.0s, arc 355.9°
  CIRCLE: idx 3807->3815, samples 8, dur 24.0s, arc 351.5°
  CIRCLE: idx 3815->3824, samples 9, dur 27.0s, arc 361.7°
  CIRCLE: idx 3872->3883, samples 11, dur 33.0s, arc 369.5°
  CIRCLE: idx 3883->3892, samples 9, dur 27.0s, arc 358.1°
  CIRCLE: idx 3892->3901, samples 9, dur 27.0s, arc 337.2°
  CIRCLE: idx 3910->3920, samples 10, dur 30.0s, arc 369.3°
  CIRCLE: idx 3920->3929, samples 9, dur 27.0s, arc 355.2°
  CIRCLE: idx 4092->4106, samples 14, dur 42.0s, arc -343.8°
  CIRCLE: idx 4112->4121, samples 9, dur 27.0s, arc -370.5°
  CIRCLE: idx 4121->4129, samples 8, dur 24.0s, arc -336.0°
  CIRCLE: idx 4129->4139, samples 10, dur 30.0s, arc -367.7°
  CIRCLE: idx 4148->4158, samples 10, dur 30.0s, arc 356.3°
  CIRCLE: idx 4419->4432, samples 13, dur 39.0s, arc -334.3°
  CIRCLE: idx 4562->4573, samples 11, dur 33.0s, arc 338.5°
  CIRCLE: idx 4608->4617, samples 9, dur 27.0s, arc -346.7°
  CIRCLE: idx 4617->4624, samples 7, dur 21.0s, arc -334.1°
  CIRCLE: idx 4624->4631, samples 7, dur 21.0s, arc -349.8°
  CIRCLE: idx 4631->4638, samples 7, dur 21.0s, arc -349.8°
  CIRCLE: idx 4638->4645, samples 7, dur 21.0s, arc -336.1°
  CIRCLE: idx 4645->4653, samples 8, dur 24.0s, arc -356.7°
  CIRCLE: idx 4653->4660, samples 7, dur 21.0s, arc -331.2°
  CIRCLE: idx 4660->4668, samples 8, dur 24.0s, arc -361.6°
  CIRCLE: idx 4668->4676, samples 8, dur 24.0s, arc -353.5°
  CIRCLE: idx 4676->4684, samples 8, dur 24.0s, arc -364.9°
  CIRCLE: idx 4684->4692, samples 8, dur 24.0s, arc -354.1°
  CIRCLE: idx 4692->4700, samples 8, dur 24.0s, arc -344.3°
