from_id,to_id,gap_minutes,distance_km,implied_kmh,from_end,to_start,from_lat,from_lon,to_lat,to_lon
1,2,4.9,17.78,217.7,2020-11-08 03:13:50,2020-11-08 03:18:44,-31.80772730900798,117.29192293804638,-31.96105,117.34543333333332
2,3,18.3,51.39,168.5,2020-11-08 03:21:41,2020-11-08 03:39:59,-31.96105,117.34543333333332,-32.42066666666667,117.28816666666667
3,4,4.8,15.22,190.2,2020-11-08 03:43:14,2020-11-08 03:48:02,-32.42066666666667,117.28816666666667,-32.55729487745098,117.29726306372548
4,5,15.2,42.01,165.3,2020-11-08 03:54:38,2020-11-08 04:09:53,-32.55729487745098,117.29726306372548,-32.93456666666667,117.27265000000001
5,6,4.8,15.06,188.3,2020-11-08 04:12:26,2020-11-08 04:17:14,-32.93456666666667,117.27265000000001,-33.069833333333335,117.26365
6,7,2.6,7.73,175.0,2020-11-08 04:18:26,2020-11-08 04:21:05,-33.069833333333335,117.26365,-33.13896666666667,117.27215
7,8,12.3,41.25,200.4,2020-11-08 04:24:20,2020-11-08 04:36:41,-33.13896666666667,117.27215,-33.48928333333333,117.41825
8,9,6.8,10.47,92.4,2020-11-08 04:40:32,2020-11-08 04:47:20,-33.48928333333333,117.41825,-33.481833333333334,117.53078333333333
9,10,5.0,11.97,142.2,2020-11-08 04:49:23,2020-11-08 04:54:26,-33.481833333333334,117.53078333333333,-33.3742,117.53383333333333
10,11,5.3,18.29,205.1,2020-11-08 04:56:41,2020-11-08 05:02:02,-33.3742,117.53383333333333,-33.240716666666664,117.64881666666665
11,12,5.0,17.7,214.5,2020-11-08 05:03:14,2020-11-08 05:08:11,-33.240716666666664,117.64881666666665,-33.138783333333336,117.79491666666668
12,13,9.4,23.73,150.6,2020-11-08 05:12:53,2020-11-08 05:22:20,-33.138783333333336,117.79491666666668,-32.93359873503501,117.86478374745877
13,14,22.6,68.44,182.1,2020-11-08 05:29:47,2020-11-08 05:52:20,-32.93359873503501,117.86478374745877,-32.448520311764156,118.31503180747856
14,15,4.2,9.76,137.8,2020-11-08 06:01:32,2020-11-08 06:05:47,-32.448520311764156,118.31503180747856,-32.36391666666667,118.34265
15,16,1.7,9.25,326.3,2020-11-08 06:07:47,2020-11-08 06:09:29,-32.36391666666667,118.34265,-32.30591666666667,118.41316666666668
16,17,5.0,20.63,247.5,2020-11-08 06:12:53,2020-11-08 06:17:53,-32.30591666666667,118.41316666666668,-32.163,118.553
17,18,1.6,7.99,309.3,2020-11-08 06:19:17,2020-11-08 06:20:50,-32.163,118.553,-32.10265,118.59908333333334
18,19,12.2,39.02,191.9,2020-11-08 06:24:38,2020-11-08 06:36:50,-32.10265,118.59908333333334,-31.79763333333333,118.80358333333335
19,20,6.2,18.1,176.6,2020-11-08 06:37:50,2020-11-08 06:43:59,-31.79763333333333,118.80358333333335,-31.68745,118.94453333333334
20,21,1.3,6.31,291.4,2020-11-08 06:45:08,2020-11-08 06:46:26,-31.68745,118.94453333333334,-31.68271666666667,119.01103333333333
21,22,6.4,14.12,132.3,2020-11-08 06:51:44,2020-11-08 06:58:08,-31.68271666666667,119.01103333333333,-31.56,119.04919999999998
22,23,16.7,47.17,169.5,2020-11-08 06:59:20,2020-11-08 07:16:02,-31.56,119.04919999999998,-31.25217634426784,119.39122065719761
23,24,10.9,16.58,90.8,2020-11-08 07:24:47,2020-11-08 07:35:44,-31.25217634426784,119.39122065719761,-31.27953333333333,119.21976666666667
24,25,11.7,24.23,124.3,2020-11-08 07:40:38,2020-11-08 07:52:20,-31.27953333333333,119.21976666666667,-31.30955,118.96715
25,26,10.3,26.33,152.6,2020-11-08 07:58:47,2020-11-08 08:09:08,-31.30955,118.96715,-31.363033333333334,118.6971
26,27,22.9,58.58,153.8,2020-11-08 08:13:41,2020-11-08 08:36:32,-31.363033333333334,118.6971,-31.510869230769227,118.10448159303881
