cluster_id,n,start_time,end_time,total_gain_m,total_duration_s,mean_mps,center_lat,center_lon
1,1,1970-01-01 02:45:19,1970-01-01 02:50:33,829.0,314.0,2.640127388535032,-31.65898333333333,117.20583333333333
2,1,1970-01-01 03:03:14,1970-01-01 03:04:59,170.66666666666663,105.0,1.625396825396825,-31.796866666666666,117.27459999999999
3,1,1970-01-01 03:05:38,1970-01-01 03:13:50,998.6666666666666,492.0,2.029810298102981,-31.809583333333332,117.29488333333333
4,1,1970-01-01 03:18:44,1970-01-01 03:21:41,431.66666666666674,177.0,2.4387947269303205,-31.96105,117.34543333333332
5,1,1970-01-01 03:39:59,1970-01-01 03:43:14,442.0,195.0,2.2666666666666666,-32.42066666666667,117.28816666666667
6,1,1970-01-01 03:48:02,1970-01-01 03:49:47,250.33333333333326,105.0,2.384126984126983,-32.5419,117.29161666666667
7,1,1970-01-01 03:50:14,1970-01-01 03:54:38,656.3333333333333,264.0,2.4861111111111107,-32.56316666666667,117.29941666666667
8,1,1970-01-01 04:09:53,1970-01-01 04:12:26,563.0,153.0,3.679738562091503,-32.93456666666667,117.27265000000001
9,1,1970-01-01 04:17:14,1970-01-01 04:18:26,170.33333333333326,72.0,2.3657407407407396,-33.069833333333335,117.26365
10,1,1970-01-01 04:21:05,1970-01-01 04:24:20,722.0000000000002,195.0,3.7025641025641036,-33.13896666666667,117.27215
11,1,1970-01-01 04:36:41,1970-01-01 04:40:32,601.0000000000002,231.0,2.601731601731603,-33.48928333333333,117.41825
12,1,1970-01-01 04:47:20,1970-01-01 04:49:23,308.0000000000002,123.0,2.504065040650408,-33.481833333333334,117.53078333333333
13,1,1970-01-01 04:54:26,1970-01-01 04:56:41,482.0000000000002,135.0,3.570370370370372,-33.3742,117.53383333333333
14,1,1970-01-01 05:02:02,1970-01-01 05:03:14,278.6666666666665,72.0,3.8703703703703685,-33.240716666666664,117.64881666666665
15,1,1970-01-01 05:08:11,1970-01-01 05:12:53,878.3333333333333,282.0,3.114657210401891,-33.138783333333336,117.79491666666668
16,1,1970-01-01 05:22:20,1970-01-01 05:25:50,708.3333333333335,210.0,3.373015873015874,-32.937533333333334,117.85025
17,1,1970-01-01 05:26:20,1970-01-01 05:29:47,767.333333333333,207.0,3.7069243156199665,-32.929966666666665,117.87820000000002
18,1,1970-01-01 05:52:20,1970-01-01 05:53:23,228.0,63.0,3.619047619047619,-32.4596,118.27551666666665
19,1,1970-01-01 05:54:32,1970-01-01 05:56:23,326.33333333333326,111.0,2.939939939939939,-32.45381666666667,118.30916666666667
20,1,1970-01-01 05:58:08,1970-01-01 06:01:32,625.3333333333333,204.0,3.0653594771241828,-32.441716666666665,118.3325
21,1,1970-01-01 06:05:47,1970-01-01 06:07:47,356.0,120.0,2.966666666666667,-32.36391666666667,118.34265
22,1,1970-01-01 06:09:29,1970-01-01 06:12:53,727.3333333333335,204.0,3.5653594771241837,-32.30591666666667,118.41316666666668
23,1,1970-01-01 06:17:53,1970-01-01 06:19:17,245.66666666666697,84.0,2.9246031746031784,-32.163,118.553
24,1,1970-01-01 06:20:50,1970-01-01 06:24:38,769.0000000000002,228.0,3.3728070175438605,-32.10265,118.59908333333334
25,1,1970-01-01 06:36:50,1970-01-01 06:37:50,179.33333333333303,60.0,2.988888888888884,-31.79763333333333,118.80358333333335
26,1,1970-01-01 06:43:59,1970-01-01 06:45:08,234.66666666666652,69.0,3.400966183574877,-31.68745,118.94453333333334
27,1,1970-01-01 06:46:26,1970-01-01 06:51:44,851.0,318.0,2.6761006289308176,-31.68271666666667,119.01103333333333
28,1,1970-01-01 06:58:08,1970-01-01 06:59:20,145.0,72.0,2.013888888888889,-31.56,119.04919999999998
29,2,1970-01-01 07:16:02,1970-01-01 07:24:47,985.6666666666672,513.0,1.9213775178687469,-31.25217634426784,119.39122065719761
30,1,1970-01-01 07:35:44,1970-01-01 07:40:38,632.6666666666665,294.0,2.151927437641723,-31.27953333333333,119.21976666666667
31,1,1970-01-01 07:52:20,1970-01-01 07:58:47,960.0,387.0,2.4806201550387597,-31.30955,118.96715
32,1,1970-01-01 08:09:08,1970-01-01 08:13:41,701.0,273.0,2.567765567765568,-31.363033333333334,118.6971
33,4,1970-01-01 08:36:32,1970-01-01 08:51:56,1078.9999999999998,636.0,1.6965408805031443,-31.510869230769227,118.10448159303881
