cluster_id,n,lat,lon,start_time,end_time,duration_s,gain_m,avg_rate_mps
1,1,-31.796866666666663,117.2746,2020-11-08 03:03:14,2020-11-08 03:04:59,105.0,178.0,1.7
2,1,-31.809583333333332,117.29488333333332,2020-11-08 03:05:38,2020-11-08 03:13:50,492.0,1003.0,2.04
3,1,-31.96105,117.34543333333332,2020-11-08 03:18:44,2020-11-08 03:21:41,177.0,439.0,2.48
4,1,-32.42066666666667,117.28816666666668,2020-11-08 03:39:59,2020-11-08 03:43:14,195.0,444.0,2.28
5,1,-32.5419,117.29161666666668,2020-11-08 03:48:02,2020-11-08 03:49:47,105.0,256.0,2.44
6,1,-32.56316666666667,117.29941666666669,2020-11-08 03:50:14,2020-11-08 03:54:38,264.0,663.0,2.51
7,1,-32.93456666666667,117.27265,2020-11-08 04:09:53,2020-11-08 04:12:26,153.0,566.0,3.7
8,1,-33.069833333333335,117.26365,2020-11-08 04:17:14,2020-11-08 04:18:26,72.0,174.0,2.42
9,1,-33.13896666666667,117.27215,2020-11-08 04:21:05,2020-11-08 04:24:20,195.0,733.0,3.76
10,1,-33.48928333333333,117.41825,2020-11-08 04:36:41,2020-11-08 04:40:32,231.0,605.0,2.62
11,1,-33.481833333333334,117.53078333333332,2020-11-08 04:47:20,2020-11-08 04:49:23,123.0,311.0,2.53
12,1,-33.3742,117.53383333333332,2020-11-08 04:54:26,2020-11-08 04:56:41,135.0,496.0,3.67
13,1,-33.240716666666664,117.64881666666663,2020-11-08 05:02:02,2020-11-08 05:03:14,72.0,281.0,3.9
14,1,-33.138783333333336,117.79491666666668,2020-11-08 05:08:11,2020-11-08 05:12:53,282.0,884.0,3.13
15,1,-32.937533333333334,117.85025,2020-11-08 05:22:20,2020-11-08 05:25:50,210.0,717.0,3.41
16,1,-32.929966666666665,117.87820000000002,2020-11-08 05:26:20,2020-11-08 05:29:47,207.0,771.0,3.72
17,1,-32.4596,118.27551666666665,2020-11-08 05:52:20,2020-11-08 05:53:23,63.0,232.0,3.68
18,1,-32.45381666666667,118.30916666666668,2020-11-08 05:54:32,2020-11-08 05:56:23,111.0,332.0,2.99
19,1,-32.441716666666665,118.3325,2020-11-08 05:58:08,2020-11-08 06:01:32,204.0,629.0,3.08
20,1,-32.36391666666667,118.34265,2020-11-08 06:05:47,2020-11-08 06:07:47,120.0,359.0,2.99
21,1,-32.30591666666667,118.41316666666668,2020-11-08 06:09:29,2020-11-08 06:12:53,204.0,730.0,3.58
22,1,-32.163,118.553,2020-11-08 06:17:53,2020-11-08 06:19:17,84.0,245.0,2.92
23,1,-32.10265,118.59908333333334,2020-11-08 06:20:50,2020-11-08 06:24:38,228.0,775.0,3.4
24,1,-31.79763333333333,118.80358333333336,2020-11-08 06:36:50,2020-11-08 06:37:50,60.0,190.0,3.17
25,1,-31.68745,118.94453333333334,2020-11-08 06:43:59,2020-11-08 06:45:08,69.0,249.0,3.61
26,1,-31.68271666666667,119.01103333333332,2020-11-08 06:46:26,2020-11-08 06:51:44,318.0,858.0,2.7
27,1,-31.56,119.04919999999998,2020-11-08 06:58:08,2020-11-08 06:59:20,72.0,148.0,2.06
28,2,-31.25217634426784,119.3912206571976,2020-11-08 07:16:02,2020-11-08 07:24:47,525.0,991.0,1.89
29,1,-31.27953333333333,119.21976666666669,2020-11-08 07:35:44,2020-11-08 07:40:38,294.0,641.0,2.18
30,1,-31.30955,118.96715,2020-11-08 07:52:20,2020-11-08 07:58:47,387.0,965.0,2.49
31,1,-31.363033333333338,118.6971,2020-11-08 08:09:08,2020-11-08 08:13:41,273.0,709.0,2.6
32,4,-31.510869230769227,118.1044815930388,2020-11-08 08:36:32,2020-11-08 08:51:56,924.0,1215.0,1.31
