cluster_id,lat,lon,t_start,t_end,climb_rate_ms,climb_rate_ms_median,alt_gain_m_mean,duration_s_mean,n_circles
0,-32.124611351145866,116.946729666015,1074.0,1165.0,2.0286286852692106,1.781312569521689,61.30631073543714,30.333333333333332,3
1,-32.080867827180356,117.01677391368827,1776.0,2318.0,2.0586402674764783,1.933729775583528,58.5089692875145,28.833333333333332,6
2,-32.04095723905724,117.031198013468,2975.0,3134.0,1.7428580280326997,1.6727941176470293,53.17724110171829,31.0,3
3,-31.92401862457575,117.17677244788804,4116.0,4238.0,2.9719845178975848,3.1234188034188333,72.89062398471154,24.4,5
4,-31.805936959801755,117.51339656480252,5395.0,5534.0,1.8674841904235133,2.257619577308119,52.09295430997022,27.8,5
5,-31.802881103953517,117.52962035901119,5658.0,5770.0,3.607154479651559,3.5715052812716825,100.67837672084737,28.0,4
6,-31.74130490559441,117.63588138578089,6148.0,6275.0,2.289054133970905,2.5162393162393917,59.316225524203205,25.4,5
7,-31.68759024148817,117.71751244726103,6612.0,6690.0,2.986381367061601,2.9694749694750184,77.94571154003165,26.0,3
8,-31.628309889819377,117.85359710763298,7135.0,7275.0,1.9387640038464073,1.8330049261083696,55.03302665220641,28.0,5
9,-31.555132492646624,117.74019967227878,7801.0,7931.0,2.584468178530388,2.4048387096774073,66.30193411482877,26.0,5
10,-31.48975088761373,117.64092739790117,8269.0,8408.0,2.336379549078007,2.216956521739078,64.66086594230151,27.8,5
11,-31.386786911036157,117.48572644771815,8899.0,9074.0,2.195782449899761,2.2030907357381064,63.51305233363416,29.166666666666668,6
12,-31.25171992929972,117.16289569586998,10135.0,10294.0,1.5610286930021047,1.4448529411764255,48.19823831291976,31.0,3
13,-31.24491117155269,117.16066259731221,10339.0,10472.0,1.7685673853931014,1.792429792429813,46.38736417920545,26.6,5
14,-31.249602992975735,117.02657631167749,11328.0,11484.0,2.5203371380759303,2.5737486095661826,65.10208901752596,26.0,6
