cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-32.13749406779661,116.96320508474578,219.0,277.0,4.017241379310345,233.0,58.0
1,-32.138306182795695,116.97201299283152,281.0,466.0,4.756756756756757,880.0,185.0
2,-32.135848295454544,116.97008465909093,541.0,629.0,3.2386363636363638,285.0,88.0
3,-32.280342857142855,116.95969353741498,1888.0,1936.0,2.2083333333333335,106.0,48.0
4,-32.38908006535948,117.00348169934641,2300.0,2350.0,3.8,190.0,50.0
5,-32.53026013071896,117.02344918300655,3553.0,3654.0,3.198019801980198,323.0,101.0
6,-32.817849898989905,117.04690464646465,5074.0,5238.0,3.792682926829268,622.0,164.0
7,-33.007743699186996,117.05749756097563,6177.0,6258.0,3.4691358024691357,281.0,81.0
8,-33.00515204081633,117.05669591836735,6260.0,6308.0,3.0208333333333335,145.0,48.0
9,-33.105066666666666,117.05267522522522,6983.0,7019.0,4.333333333333333,156.0,36.0
10,-33.10530759259259,117.0515588888889,7093.0,7182.0,3.1797752808988764,283.0,89.0
11,-33.67726584699453,117.11060519125685,9960.0,10020.0,2.9166666666666665,175.0,60.0
12,-33.23730452898551,117.0597152173913,12351.0,12441.0,3.2222222222222223,290.0,90.0
13,-32.74326607142857,117.01842916666669,13987.0,14014.0,4.62962962962963,125.0,27.0
14,-32.73362901234568,117.01357870370371,14073.0,14126.0,2.943396226415094,156.0,53.0
