lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s,circle_id,seg_id,avg_speed_kmh,turn_radius_m,circle_diameter_m,bank_angle_deg,bank_std_deg,bank_range_deg,bank_masd_deg
-32.137633333333326,116.94987277777778,397.0,426.0,1.9383759733036796,56.212903225806706,29.0,0,,106.08767607210922,136.01304538673085,272.0260907734617,33.05775232978034,5.846244838175447,24.74447532550148,7.326009290860611
-32.138357222222226,116.94833611111109,426.0,455.0,1.8791991101223477,54.496774193548084,29.0,2,,102.93312103134959,131.96864877234802,263.93729754469604,32.27194304487302,9.286497583674942,34.92357578968073,10.14924363439889
-32.13798080808081,116.94705454545453,455.0,487.0,1.7446524064170934,55.82887700534699,32.0,4,,98.27558337830799,139.03151004353265,278.0630200870653,28.651821629802033,12.559237906911445,50.919767825021566,11.597897978515496
-32.14045459770115,116.94422126436781,522.0,550.0,1.5729064039408895,44.04137931034491,28.0,6,,99.46262600387709,123.12197785546967,246.24395571093933,32.29247967306498,6.377184408386563,22.170413857780403,7.056358032048296
-32.14127833333334,116.94360277777778,550.0,579.0,0.5110122358175594,14.819354838709222,29.0,8,,106.29267072392678,136.27586523455886,272.55173046911773,33.108339384429144,7.925476988981678,30.467316116616352,7.501720005751478
-32.142270312499996,116.94000989583333,622.0,653.0,0.7485337243401827,23.204545454545663,31.0,10,,101.61220306919168,139.25961564013855,278.5192312802771,30.24930269735232,15.054593720181119,61.33772168673418,9.137131988452625
-32.141619047619045,116.93807202380951,653.0,680.0,1.3765736179529422,37.16748768472944,27.0,12,,99.07808140988284,118.26574806333058,236.53149612666115,33.13904102586631,8.936225834247514,44.96620434463794,8.005851741094071
-32.14186449275362,116.93665724637684,680.0,702.0,2.035573122529626,44.78260869565177,22.0,14,,104.03199312451171,101.1829252223051,202.3658504446102,40.07401299362513,4.9528216487308825,17.005170617805526,4.61794561886077
-32.142309999999995,116.935624,702.0,726.0,1.683846153846142,40.41230769230741,24.0,16,,103.34488376375612,109.65232729506097,219.30465459012194,37.455766095666306,6.166076743427919,22.849858611900256,7.700640308070983
-32.142599999999995,116.93447933333333,726.0,750.0,1.2492307692307805,29.981538461538733,24.0,18,,104.3378223647185,110.70586787192705,221.4117357438541,37.72058316947961,5.185965812295293,19.03994929171056,6.0091212175764905
-32.14274236111111,116.93316944444443,750.0,773.0,1.9730434782608512,45.379999999999576,23.0,20,,108.20897507393651,110.02940144674106,220.05880289348212,39.93052355282376,7.361569772776824,26.15629208554741,8.132558664301
-32.143097619047616,116.93193214285715,773.0,800.0,1.2175697865353172,32.874384236453565,27.0,22,,102.5628173507151,122.42534519098137,244.85069038196275,34.051828370300164,5.694835986993921,20.07310599886583,5.338463442392793
-32.141370833333326,116.9281046875,843.0,874.0,0.730205278592401,22.636363636364432,31.0,24,,103.67057284934383,142.0806132739963,284.1612265479926,30.75178749171116,14.875960983543292,55.79033161158434,11.10353901558121
-32.13178505747126,116.94957068965518,1125.0,1153.0,2.3822660098522257,66.70344827586231,28.0,26,,99.9271191582976,123.69696082314587,247.39392164629174,32.413157570636905,6.667449908935068,27.101689708504132,9.1103186135988
-32.105799206349204,116.98505238095238,1513.0,1533.0,3.45194805194805,69.038961038961,20.0,28,,104.68577803324773,92.56255025229072,185.12510050458144,42.96118982575636,7.455234075251591,26.72302515883763,9.0224584146831
-32.1061701754386,116.98443245614037,1533.0,1551.0,3.087719298245564,55.57894736842015,18.0,30,,111.39909193294608,88.64858068538425,177.2971613707685,47.7542058490171,8.667579095312353,31.80961298047273,9.519271021014772
-32.107321794871794,116.98439487179486,1585.0,1610.0,2.277948717948757,56.94871794871893,25.0,32,,105.6828985130395,116.80524790714827,233.61049581429654,36.94666580374042,8.84908820652717,32.728251742102195,10.381535508239246
-32.21575729166666,116.96179166666667,2048.0,2079.0,1.6722873900293505,51.84090909090986,31.0,34,,109.04449881034093,149.44558363387938,298.89116726775876,32.039214621188826,7.654078719649025,30.892314999376875,9.620048275606049
-32.27137043010753,116.962261827957,2625.0,2655.0,0.6552419354838819,19.657258064516455,30.0,36,,101.10129689344437,134.08975961327462,268.17951922654925,30.945866628714683,6.501988060901247,23.81966856947049,9.17866901767176
-32.34558630952381,116.99691071428572,3068.0,3095.0,0.6737821565407958,18.192118226601487,27.0,38,,114.94401258238203,137.20430835977336,274.4086167195467,37.14064672034559,7.042301432723364,23.483622520165703,4.467046747118465
-32.347684343434345,116.99569949494949,3095.0,3127.0,1.5588235294117443,49.88235294117582,32.0,40,,118.04824267313549,167.00410084214337,334.00820168428675,33.27782863053858,14.400351696258204,63.146289885453974,13.144459687998435
