cluster_id,n,lat,lon,start_time,end_time,duration_s,gain_m,avg_rate_mps
0,1,-31.759833333333333,117.24488333333332,2020-11-08 03:00:59,2020-11-08 03:01:35,36.0,60.0,1.67
1,11,-31.80595303030303,117.2886424242424,2020-11-08 03:03:32,2020-11-08 03:12:20,528.0,999.0,1.89
2,3,-31.95741111111111,117.34334444444444,2020-11-08 03:18:41,2020-11-08 03:20:17,96.0,259.0,2.7
3,4,-32.41985,117.28841666666668,2020-11-08 03:40:26,2020-11-08 03:43:23,177.0,369.0,2.08
4,8,-32.563397916666666,117.30330833333332,2020-11-08 03:49:44,2020-11-08 03:54:35,291.0,654.0,2.25
5,2,-32.93714166666667,117.27370833333332,2020-11-08 04:11:08,2020-11-08 04:11:47,39.0,132.0,3.38
6,3,-33.13793333333333,117.27315,2020-11-08 04:20:41,2020-11-08 04:24:38,237.0,751.0,3.17
7,3,-33.48748333333333,117.41973888888889,2020-11-08 04:37:56,2020-11-08 04:39:02,66.0,144.0,2.18
8,3,-33.481449999999995,117.53312222222225,2020-11-08 04:48:29,2020-11-08 04:50:44,135.0,192.0,1.42
9,6,-33.13916666666666,117.798175,2020-11-08 05:09:44,2020-11-08 05:13:32,228.0,562.0,2.46
10,3,-32.939011111111114,117.85381111111111,2020-11-08 05:24:38,2020-11-08 05:26:41,123.0,286.0,2.33
11,4,-32.92697916666666,117.87539166666666,2020-11-08 05:26:41,2020-11-08 05:28:08,87.0,362.0,4.16
12,1,-32.4596,118.27551666666666,2020-11-08 05:52:38,2020-11-08 05:53:05,27.0,64.0,2.37
13,2,-32.450891666666664,118.3089,2020-11-08 05:54:32,2020-11-08 05:55:23,51.0,204.0,4.0
14,6,-32.44246111111111,118.330275,2020-11-08 05:58:47,2020-11-08 06:01:02,135.0,396.0,2.93
15,2,-32.36365833333333,118.34753333333332,2020-11-08 06:06:53,2020-11-08 06:07:38,45.0,116.0,2.58
16,5,-32.30827333333333,118.41281333333332,2020-11-08 06:10:26,2020-11-08 06:12:59,153.0,452.0,2.95
17,2,-32.09885,118.59801666666668,2020-11-08 06:21:50,2020-11-08 06:22:44,54.0,180.0,3.33
18,7,-31.68557380952381,119.01748571428573,2020-11-08 06:48:41,2020-11-08 06:52:11,210.0,458.0,2.18
19,5,-31.253746666666665,119.39009666666666,2020-11-08 07:15:08,2020-11-08 07:23:47,519.0,916.0,1.76
20,1,-31.269766666666666,119.31861666666668,2020-11-08 07:31:56,2020-11-08 07:32:17,21.0,11.0,0.52
21,7,-31.280145238095237,119.22041428571433,2020-11-08 07:36:29,2020-11-08 07:40:29,240.0,458.0,1.91
22,6,-31.308733333333333,118.96624166666668,2020-11-08 07:50:23,2020-11-08 07:57:23,420.0,938.0,2.23
23,6,-31.36618888888889,118.7007722222222,2020-11-08 08:10:08,2020-11-08 08:13:44,216.0,495.0,2.29
24,24,-31.51013958333333,118.10872708333332,2020-11-08 08:37:11,2020-11-08 08:52:02,891.0,1096.0,1.23
