cluster_id,n,lat,lon,start_time,end_time
0,1,-31.759833333333333,117.24488333333333,2020-11-08 03:00:59,2020-11-08 03:01:35
1,11,-31.80595303030303,117.28864242424241,2020-11-08 03:03:32,2020-11-08 03:12:20
2,3,-31.95741111111111,117.34334444444444,2020-11-08 03:18:41,2020-11-08 03:20:17
3,4,-32.41985,117.28841666666668,2020-11-08 03:40:26,2020-11-08 03:43:23
4,8,-32.563397916666666,117.30330833333333,2020-11-08 03:49:44,2020-11-08 03:54:35
5,2,-32.93714166666667,117.27370833333333,2020-11-08 04:11:08,2020-11-08 04:11:47
6,3,-33.13793333333333,117.27315,2020-11-08 04:20:41,2020-11-08 04:24:38
7,3,-33.48748333333333,117.41973888888889,2020-11-08 04:37:56,2020-11-08 04:39:02
8,3,-33.481449999999995,117.53312222222223,2020-11-08 04:48:29,2020-11-08 04:50:44
9,6,-33.13916666666666,117.798175,2020-11-08 05:09:44,2020-11-08 05:13:32
10,3,-32.939011111111114,117.85381111111111,2020-11-08 05:24:38,2020-11-08 05:26:41
11,4,-32.92697916666666,117.87539166666666,2020-11-08 05:26:41,2020-11-08 05:28:08
12,1,-32.4596,118.27551666666666,2020-11-08 05:52:38,2020-11-08 05:53:05
13,2,-32.450891666666664,118.3089,2020-11-08 05:54:32,2020-11-08 05:55:23
14,6,-32.44246111111111,118.33027499999999,2020-11-08 05:58:47,2020-11-08 06:01:02
15,2,-32.36365833333333,118.34753333333333,2020-11-08 06:06:53,2020-11-08 06:07:38
16,5,-32.30827333333333,118.41281333333332,2020-11-08 06:10:26,2020-11-08 06:12:59
17,2,-32.09885,118.59801666666667,2020-11-08 06:21:50,2020-11-08 06:22:44
18,7,-31.68557380952381,119.01748571428571,2020-11-08 06:48:41,2020-11-08 06:52:11
19,5,-31.253746666666665,119.39009666666666,2020-11-08 07:15:08,2020-11-08 07:23:47
20,1,-31.269766666666666,119.31861666666667,2020-11-08 07:31:56,2020-11-08 07:32:17
21,7,-31.280145238095237,119.22041428571431,2020-11-08 07:36:29,2020-11-08 07:40:29
22,6,-31.308733333333333,118.96624166666668,2020-11-08 07:50:23,2020-11-08 07:57:23
23,6,-31.36618888888889,118.70077222222221,2020-11-08 08:10:08,2020-11-08 08:13:44
24,24,-31.51013958333333,118.10872708333333,2020-11-08 08:37:11,2020-11-08 08:52:02
