from_id,to_id,gap_minutes,distance_km,implied_kmh,from_end,to_start,from_lat,from_lon,to_lat,to_lon
1,2,0.4,99.06,14858.7,2020-11-08 04:17:20,2020-11-08 04:17:44,-32.56455,117.30121666666666,-33.451366666666665,117.40220000000001
2,3,0.1,13.57,16280.7,2020-11-08 04:52:59,2020-11-08 04:53:02,-33.451366666666665,117.40220000000001,-33.394016666666666,117.53123333333335
3,4,0.1,33.31,39973.7,2020-11-08 04:54:23,2020-11-08 04:54:26,-33.394016666666666,117.53123333333335,-33.151383333333335,117.7414
4,5,0.1,25.99,31182.6,2020-11-08 05:20:11,2020-11-08 05:20:14,-33.151383333333335,117.7414,-32.935316666666665,117.84761666666668
5,6,0.1,12.23,14671.4,2020-11-08 05:25:41,2020-11-08 05:25:44,-32.935316666666665,117.84761666666668,-32.8742,117.95648333333334
6,7,0.1,26.59,10638.0,2020-11-08 05:38:59,2020-11-08 05:39:08,-32.8742,117.95648333333334,-32.67811666666667,118.11936666666668
7,8,0.1,5.42,6504.9,2020-11-08 05:40:56,2020-11-08 05:40:59,-32.67811666666667,118.11936666666668,-32.62936666666667,118.11943333333333
8,9,0.1,18.77,22524.4,2020-11-08 05:43:11,2020-11-08 05:43:14,-32.62936666666667,118.11943333333333,-32.500233333333334,118.24843333333334
9,10,0.1,9.84,11808.6,2020-11-08 05:58:02,2020-11-08 05:58:05,-32.500233333333334,118.24843333333334,-32.43775,118.32271666666666
10,11,1.6,2.16,83.7,2020-11-08 05:58:38,2020-11-08 06:00:11,-32.43775,118.32271666666666,-32.42386666666667,118.33883333333333
11,12,0.1,41.74,16694.9,2020-11-08 06:05:56,2020-11-08 06:06:05,-32.42386666666667,118.33883333333333,-32.11665,118.59388333333335
12,13,0.1,34.57,41488.4,2020-11-08 06:35:11,2020-11-08 06:35:14,-32.11665,118.59388333333335,-31.846333333333334,118.77501666666667
13,14,0.1,4.2,5042.0,2020-11-08 06:35:44,2020-11-08 06:35:47,-31.846333333333334,118.77501666666667,-31.810166666666667,118.7879
14,15,0.9,7.19,479.4,2020-11-08 06:37:41,2020-11-08 06:38:35,-31.810166666666667,118.7879,-31.768183333333333,118.84576666666668
15,16,0.1,18.15,21781.9,2020-11-08 06:41:41,2020-11-08 06:41:44,-31.768183333333333,118.84576666666668,-31.680150000000005,119.00738333333334
16,17,0.1,12.24,14682.3,2020-11-08 06:54:53,2020-11-08 06:54:56,-31.680150000000005,119.00738333333334,-31.57495,119.04526666666666
17,18,0.1,21.74,26089.3,2020-11-08 06:58:17,2020-11-08 06:58:20,-31.57495,119.04526666666666,-31.427750000000003,119.19620000000002
18,19,0.1,18.1,21723.6,2020-11-08 07:12:05,2020-11-08 07:12:08,-31.427750000000003,119.19620000000002,-31.306366666666666,119.32326666666668
19,20,0.1,8.9,10685.3,2020-11-08 07:12:20,2020-11-08 07:12:23,-31.306366666666666,119.32326666666668,-31.2493,119.389
20,21,0.0,7.15,25727.4,2020-11-08 07:26:45,2020-11-08 07:26:46,-31.2493,119.389,-31.270566666666667,119.31805
21,22,75.5,177.24,140.9,2020-11-08 07:36:47,2020-11-08 08:52:14,-31.270566666666667,119.31805,-31.59181666666667,117.4883
