cluster_id,n,start_time,end_time,mean_radius_m,center_lat,center_lon
1,1,2020-11-08 04:50:38,2020-11-08 04:51:56,809.2080807573045,-33.4565,117.53743333333334
2,1,2020-11-08 05:39:11,2020-11-08 05:40:56,1172.0556324411036,-32.67811666666667,118.11936666666668
3,1,2020-11-08 06:02:44,2020-11-08 06:03:11,274.16481574301565,-32.4266,118.3401
4,1,2020-11-08 06:04:23,2020-11-08 06:05:41,392.904045470328,-32.36943333333333,118.33588333333333
5,1,2020-11-08 06:19:26,2020-11-08 06:21:11,1154.1726634689483,-32.12618333333333,118.5854
6,1,2020-11-08 06:28:17,2020-11-08 06:29:50,870.8735132625624,-31.992466666666665,118.65751666666668
7,1,2020-11-08 06:30:23,2020-11-08 06:35:11,2971.559223303639,-31.90756666666667,118.72766666666666
8,1,2020-11-08 06:35:47,2020-11-08 06:37:41,1115.0441185186864,-31.810166666666667,118.7879
9,1,2020-11-08 06:55:23,2020-11-08 06:57:23,740.2884001134214,-31.577366666666666,119.04835
10,1,2020-11-08 06:59:23,2020-11-08 07:06:56,4524.799580280093,-31.47731666666667,119.14885
11,1,2020-11-08 07:09:29,2020-11-08 07:12:05,1572.7085967292678,-31.333466666666666,119.29685
