thermal_id,thermal_gain_m,thermal_dur_s,thermal_time,thermal_lat,thermal_lon,match_cluster_id,match_dist_m,time_overlap_s,time_gap_s,cluster_n_circles,cluster_mean_radius_m
1,1292.3333333333335,1080.0,2020-11-08 03:03:29 → 2020-11-08 03:21:29,-31.816166666666668,117.30595,2.0,214.45960565575908,867.0,0.0,1.0,3513.7219001999288
2,446.66666666666674,204.0,2020-11-08 03:39:56 → 2020-11-08 03:43:20,-32.419866666666664,117.28826666666667,7.0,242.72508159658753,171.0,0.0,3.0,73.4475095728047
3,837.6666666666667,402.0,2020-11-08 03:48:02 → 2020-11-08 03:54:44,-32.55885,117.29548333333334,9.0,769.9979657266722,309.0,0.0,5.0,133.83602834791046
4,567.0,162.0,2020-11-08 04:09:50 → 2020-11-08 04:12:32,-32.93553333333333,117.27223333333333,11.0,393.77315510554047,18.0,0.0,1.0,43.48106125231023
5,696.3333333333333,414.0,2020-11-08 04:17:32 → 2020-11-08 04:24:26,-33.13115,117.26621666666666,13.0,1350.026198858628,102.0,0.0,3.0,59.494868911522154
6,936.0000000000002,1206.0,2020-11-08 04:36:41 → 2020-11-08 04:56:47,-33.51318333333333,117.48678333333334,,,0.0,,,
7,882.6666666666665,291.0,2020-11-08 05:08:08 → 2020-11-08 05:12:59,-33.138783333333336,117.79491666666667,22.0,950.5413732640345,192.0,0.0,4.0,123.70861720493576
8,1312.6666666666665,426.0,2020-11-08 05:22:17 → 2020-11-08 05:29:23,-32.9383,117.85688333333333,24.0,907.8780664768161,267.0,0.0,1.0,1129.144967685248
9,1258.9999999999998,930.0,2020-11-08 05:52:20 → 2020-11-08 06:07:50,-32.44363333333333,118.33176666666667,33.0,918.1561431913727,339.0,0.0,2.0,314.01905425050006
10,659.0,183.0,2020-11-08 06:09:26 → 2020-11-08 06:12:29,-32.30793333333333,118.4093,36.0,467.65402875078496,90.0,0.0,2.0,53.70012561322742
11,766.6666666666667,231.0,2020-11-08 06:20:50 → 2020-11-08 06:24:41,-32.10265,118.59908333333334,38.0,237.9174362641906,129.0,0.0,3.0,70.82635592164344
12,802.9999999999998,300.0,2020-11-08 06:46:50 → 2020-11-08 06:51:50,-31.683683333333335,119.01508333333334,45.0,696.5991699846222,138.0,0.0,2.0,123.61209853289137
13,1254.6666666666665,1482.0,2020-11-08 07:15:59 → 2020-11-08 07:40:41,-31.262066666666666,119.42263333333334,53.0,1700.2843073495933,223.0,0.0,1.0,962.0648790981089
14,964.0,396.0,2020-11-08 07:52:17 → 2020-11-08 07:58:53,-31.3097,118.96853333333334,58.0,158.61789690839865,339.0,0.0,7.0,87.99813165597433
15,491.3333333333335,198.0,2020-11-08 08:09:50 → 2020-11-08 08:13:08,-31.363916666666668,118.69943333333333,60.0,373.9890160434671,165.0,0.0,4.0,102.28249906541338
16,1120.3333333333335,903.0,2020-11-08 08:36:59 → 2020-11-08 08:52:02,-31.506983333333334,118.11028333333333,62.0,471.9034733142595,528.0,0.0,2.0,247.8570250216965
