thermal_id,thermal_gain_m,thermal_dur_s,thermal_time,thermal_lat,thermal_lon,match_cluster_id,match_dist_m,time_overlap_s,time_gap_s,cluster_n_circles,cluster_mean_radius_m
1,1292.3333333333335,1080.0,2020-11-08 03:03:29 → 2020-11-08 03:21:29,-31.816166666666668,117.30595,1.0,1838.3283979707483,546.0,0.0,9.0,79.25078558846059
2,446.66666666666674,204.0,2020-11-08 03:39:56 → 2020-11-08 03:43:20,-32.419866666666664,117.28826666666667,4.0,207.94043577467252,66.0,0.0,1.0,98.3271898951047
3,837.6666666666667,402.0,2020-11-08 03:48:02 → 2020-11-08 03:54:44,-32.55885,117.29548333333334,6.0,461.40516303024566,153.0,0.0,4.0,83.37556126998862
4,567.0,162.0,2020-11-08 04:09:50 → 2020-11-08 04:12:32,-32.93553333333333,117.27223333333333,8.0,329.38520757122217,78.0,0.0,3.0,42.742889303384025
5,696.3333333333333,414.0,2020-11-08 04:17:32 → 2020-11-08 04:24:26,-33.13115,117.26621666666666,10.0,1072.2236085672912,156.0,0.0,4.0,65.32963461359137
6,936.0000000000002,1206.0,2020-11-08 04:36:41 → 2020-11-08 04:56:47,-33.51318333333333,117.48678333333334,,,0.0,,,
7,882.6666666666665,291.0,2020-11-08 05:08:08 → 2020-11-08 05:12:59,-33.138783333333336,117.79491666666667,16.0,484.2493238403779,246.0,0.0,8.0,71.57425804589724
8,1312.6666666666665,426.0,2020-11-08 05:22:17 → 2020-11-08 05:29:23,-32.9383,117.85688333333333,17.0,819.3468855129327,99.0,0.0,2.0,73.4101798966031
9,1258.9999999999998,930.0,2020-11-08 05:52:20 → 2020-11-08 06:07:50,-32.44363333333333,118.33176666666667,20.0,394.8299877744546,69.0,0.0,1.0,136.48398274658308
10,659.0,183.0,2020-11-08 06:09:26 → 2020-11-08 06:12:29,-32.30793333333333,118.4093,23.0,571.2186496976781,42.0,0.0,1.0,49.82073596355491
11,766.6666666666667,231.0,2020-11-08 06:20:50 → 2020-11-08 06:24:41,-32.10265,118.59908333333334,24.0,256.5412660026806,168.0,0.0,4.0,62.06258927136382
12,802.9999999999998,300.0,2020-11-08 06:46:50 → 2020-11-08 06:51:50,-31.683683333333335,119.01508333333334,26.0,275.77383095935164,237.0,0.0,5.0,93.22943498365757
13,1254.6666666666665,1482.0,2020-11-08 07:15:59 → 2020-11-08 07:40:41,-31.262066666666666,119.42263333333334,,,0.0,,,
14,964.0,396.0,2020-11-08 07:52:17 → 2020-11-08 07:58:53,-31.3097,118.96853333333334,32.0,54.026492934026756,381.0,0.0,11.0,75.90754178088746
15,491.3333333333335,198.0,2020-11-08 08:09:50 → 2020-11-08 08:13:08,-31.363916666666668,118.69943333333333,33.0,322.4876358187365,171.0,0.0,4.0,73.31006688989994
16,1120.3333333333335,903.0,2020-11-08 08:36:59 → 2020-11-08 08:52:02,-31.506983333333334,118.11028333333333,34.0,654.4521444730898,855.0,0.0,15.0,85.02189554810661
