circle_id,alt_id,dist_km,overlap_s,overlap_frac,time_gap_s,gain_diff_m,rate_diff_mps
12,17,0.0,27.0,1.0,0.0,168.0,1.31
21,29,0.092,240.0,1.0,0.0,183.0,0.27
3,4,0.094,168.0,0.949,0.0,75.0,0.2
22,30,0.125,303.0,0.783,0.0,27.0,0.26
6,9,0.148,195.0,1.0,0.0,18.0,0.59
19,28,0.205,465.0,0.896,0.0,75.0,0.13
8,11,0.221,54.0,0.439,0.0,119.0,1.11
14,19,0.225,135.0,1.0,0.0,233.0,0.15
7,10,0.243,66.0,1.0,0.0,461.0,0.44
16,21,0.264,147.0,0.961,0.0,278.0,0.63
5,7,0.303,39.0,1.0,0.0,434.0,0.32
9,14,0.306,189.0,0.829,0.0,322.0,0.67
13,18,0.326,51.0,1.0,0.0,128.0,1.01
4,6,0.366,261.0,0.989,0.0,9.0,0.26
10,15,0.371,72.0,0.585,0.0,431.0,1.08
24,32,0.411,885.0,0.993,0.0,119.0,0.08
11,16,0.423,87.0,1.0,0.0,409.0,0.44
17,23,0.434,54.0,1.0,0.0,595.0,0.07
2,3,0.45,93.0,0.969,0.0,180.0,0.22
15,20,0.46,45.0,1.0,0.0,243.0,0.41
23,31,0.495,213.0,0.986,0.0,214.0,0.31
18,26,0.688,183.0,0.871,0.0,400.0,0.52
1,2,0.715,402.0,0.817,0.0,4.0,0.15
