cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-32.92731279069768,117.05874147286822,181.0,223.0,3.3095238095238093,139.0,42.0
1,-33.05224285714286,117.04834682539682,2216.0,2236.0,1.8,36.0,20.0
2,-33.00236349206349,117.01098095238095,2636.0,2656.0,1.7,34.0,20.0
3,-33.00077301587301,117.00996111111111,2836.0,2856.0,2.15,43.0,20.0
4,-32.95562453703704,116.93296064814814,3361.0,3396.0,1.6571428571428573,58.0,35.0
5,-32.94832619047619,116.93982222222223,3463.0,3483.0,2.35,47.0,20.0
6,-32.9034823899371,116.99589339622642,3843.0,3895.0,2.2884615384615383,119.0,52.0
7,-32.90007586206897,116.99751896551724,3968.0,3996.0,2.5714285714285716,72.0,28.0
8,-32.8264365248227,117.1175404255319,4619.0,4665.0,2.1739130434782608,100.0,46.0
9,-32.82712803030303,117.11731136363638,4674.0,4695.0,2.0,42.0,21.0
10,-32.93790238095238,117.14690476190476,5533.0,5553.0,1.8,36.0,20.0
11,-32.88277301587301,116.98444523809522,7176.0,7196.0,1.9,38.0,20.0
12,-32.88379954954955,116.98550202702704,7279.0,7352.0,2.671232876712329,195.0,73.0
13,-32.88443194444445,116.98605879629629,7353.0,7424.0,2.1971830985915495,156.0,71.0
14,-32.98048563218391,116.98998620689656,7907.0,7935.0,2.0,56.0,28.0
15,-32.98106358024692,116.99092037037036,7936.0,7962.0,2.3076923076923075,60.0,26.0
16,-32.981594915254234,116.99221836158192,7986.0,8044.0,2.2413793103448274,130.0,58.0
17,-33.005145,116.90276033333335,8659.0,8708.0,2.3469387755102042,115.0,49.0
18,-32.98011176470589,116.99259509803922,8954.0,8987.0,1.9696969696969697,65.0,33.0
19,-32.94061875,117.04883055555554,9382.0,9405.0,1.565217391304348,36.0,23.0
20,-32.931932051282054,117.02303525641027,9631.0,9656.0,2.24,56.0,25.0
21,-32.93203484848485,117.0233617424242,9678.0,9721.0,2.0,86.0,43.0
22,-32.93125740740741,117.06128407407408,10292.0,10336.0,2.409090909090909,106.0,44.0
