cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-32.10539705882353,116.94883333333334,185.0,350.0,3.987878787878788,658.0,165.0
1,-32.10325376344086,116.95281505376343,355.0,505.0,2.04,306.0,150.0
2,-32.149007142857144,116.95609523809523,635.0,665.0,1.8,54.0,30.0
3,-32.168279545454546,116.96073939393936,750.0,855.0,1.1142857142857143,117.0,105.0
4,-32.175375,116.96450833333333,860.0,895.0,1.0,35.0,35.0
5,-32.17995256410256,116.96630641025641,900.0,960.0,1.1166666666666667,67.0,60.0
6,-32.20837803030304,116.97159015151516,1030.0,1135.0,1.638095238095238,172.0,105.0
7,-32.21897424242424,116.97379015151513,1145.0,1250.0,1.457142857142857,153.0,105.0
8,-32.228990476190475,116.9754738095238,1265.0,1330.0,1.1538461538461537,75.0,65.0
9,-32.2912625,116.9779,1505.0,1540.0,1.6571428571428573,58.0,35.0
10,-32.35919375,117.03901458333333,1840.0,1875.0,2.9714285714285715,104.0,35.0
11,-32.364588888888896,117.04451481481482,1885.0,1970.0,1.7647058823529411,150.0,85.0
12,-32.36356388888888,117.06033148148147,2005.0,2090.0,2.5176470588235293,214.0,85.0
13,-32.370392592592594,117.06515,2095.0,2135.0,1.475,59.0,40.0
14,-32.35240454545454,117.09351515151515,2210.0,2260.0,1.5,75.0,50.0
15,-32.32996428571429,117.11444047619047,2380.0,2410.0,1.8666666666666667,56.0,30.0
16,-32.32953333333333,117.11576666666666,2415.0,2440.0,1.6,40.0,25.0
17,-32.337790540540546,117.11977612612611,2445.0,2625.0,1.8888888888888888,340.0,180.0
18,-32.34450119047619,117.12885119047618,2630.0,2695.0,1.2461538461538462,81.0,65.0
19,-32.325939999999996,117.13246999999998,2730.0,2750.0,2.55,51.0,20.0
20,-32.31910333333333,117.13467666666665,2760.0,2780.0,3.05,61.0,20.0
21,-32.327241056910566,117.14208739837399,2800.0,3000.0,2.295,459.0,200.0
22,-32.24186999999999,117.21871666666667,3280.0,3300.0,2.5,50.0,20.0
23,-32.235554761904766,117.22813333333333,3340.0,3370.0,3.033333333333333,91.0,30.0
24,-32.221736666666665,117.24265666666665,3410.0,3430.0,3.85,77.0,20.0
25,-32.18129722222222,117.28482777777778,3560.0,3585.0,1.44,36.0,25.0
26,-32.122946666666664,117.33805,3820.0,3840.0,2.2,44.0,20.0
27,-32.099748863636364,117.38084962121212,4060.0,4495.0,1.8620689655172413,810.0,435.0
28,-32.06220333333333,117.41648333333333,4680.0,4700.0,3.35,67.0,20.0
29,-32.048230222222216,117.44363977777776,4780.0,5150.0,3.345945945945946,1238.0,370.0
30,-32.012674999999994,117.4844638888889,5305.0,5330.0,2.0,50.0,25.0
31,-32.013920000000006,117.48722000000001,5345.0,5365.0,2.8,56.0,20.0
32,-31.921895454545453,117.58704494949495,5720.0,5880.0,2.675,428.0,160.0
33,-31.929154166666663,117.59196875,5885.0,5920.0,1.3428571428571427,47.0,35.0
34,-31.932023809523805,117.59538809523808,5925.0,5990.0,1.7538461538461538,114.0,65.0
35,-31.911952777777774,117.61447499999998,6045.0,6070.0,2.48,62.0,25.0
36,-31.913752777777777,117.6166175925926,6075.0,6160.0,2.823529411764706,240.0,85.0
37,-31.922066975308642,117.62239228395062,6165.0,6430.0,3.3358490566037737,884.0,265.0
38,-31.928696666666667,117.62615000000001,6435.0,6455.0,3.05,61.0,20.0
39,-31.88895718954248,117.66815196078431,6580.0,6830.0,3.388,847.0,250.0
40,-31.866403333333334,117.71237333333333,6915.0,6935.0,5.05,101.0,20.0
41,-31.845026666666666,117.77618333333332,7045.0,7065.0,4.6,92.0,20.0
42,-31.821353070175434,117.80054254385962,7125.0,7310.0,3.1405405405405404,581.0,185.0
