cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-32.11642738095238,116.96877500000001,186.0,251.0,2.723076923076923,177.0,65.0
1,-32.12625376344086,116.96832607526882,266.0,385.0,3.1848739495798317,379.0,119.0
2,-32.128987356321836,116.9707511494253,388.0,416.0,3.642857142857143,102.0,28.0
3,-32.129699333333335,116.972302,419.0,443.0,4.791666666666667,115.0,24.0
4,-32.130516666666665,116.97399920634919,446.0,466.0,3.2,64.0,20.0
5,-32.09296754385965,116.95926228070175,638.0,728.0,3.2,288.0,90.0
6,-32.069603333333326,116.96167,763.0,783.0,2.0,40.0,20.0
7,-32.055959090909084,116.96213636363638,803.0,853.0,1.62,81.0,50.0
8,-31.97453095238095,117.00248809523808,1114.0,1144.0,1.6,48.0,30.0
9,-31.91501086956521,116.9724572463768,1324.0,1434.0,2.6272727272727274,289.0,110.0
10,-31.85109637096774,116.94558454301075,1639.0,1906.0,3.602996254681648,962.0,267.0
11,-31.857304838709677,116.95022741935483,1911.0,1941.0,2.5,75.0,30.0
12,-31.859082142857144,116.9514976190476,1949.0,1976.0,1.6666666666666667,45.0,27.0
13,-31.818808333333333,116.92676458333332,2113.0,2188.0,1.92,144.0,75.0
14,-31.789475757575758,116.90080454545453,2268.0,2318.0,2.44,122.0,50.0
15,-31.77902888888889,116.88744111111113,2328.0,2398.0,3.557142857142857,249.0,70.0
16,-31.70136349206349,116.84084682539684,2623.0,2723.0,2.78,278.0,100.0
17,-31.62012666666667,116.84201666666665,2898.0,2918.0,4.15,83.0,20.0
18,-31.57958957732949,116.85680216138329,3043.0,3429.0,4.932642487046632,1904.0,386.0
19,-31.479146969696966,116.82063181818181,3692.0,3742.0,2.44,122.0,50.0
20,-31.465923809523808,116.8113511904762,3747.0,3812.0,2.9846153846153847,194.0,65.0
21,-31.46133148148148,116.80699629629632,3817.0,3851.0,2.8529411764705883,97.0,34.0
22,-31.452952777777778,116.80136388888887,3861.0,3886.0,4.0,100.0,25.0
23,-31.347000000000005,116.7674685185185,4176.0,4216.0,3.575,143.0,40.0
24,-31.29121944444444,116.74804999999999,4346.0,4371.0,3.84,96.0,25.0
25,-31.281583333333334,116.74718333333335,4381.0,4401.0,2.25,45.0,20.0
26,-31.270854166666666,116.74868541666666,4411.0,4446.0,3.5142857142857142,123.0,35.0
27,-31.24669761904762,116.75748027210885,4456.0,4575.0,3.546218487394958,422.0,119.0
28,-31.243814465408803,116.76055314465411,4577.0,4629.0,3.4038461538461537,177.0,52.0
29,-31.185621875000002,116.7378875,4755.0,4830.0,2.986666666666667,224.0,75.0
30,-31.1549,116.71967272727274,4860.0,4910.0,0.84,42.0,50.0
31,-31.10269375,116.68741458333334,5025.0,5060.0,4.428571428571429,155.0,35.0
32,-31.094517149758456,116.67862222222222,5065.0,5165.0,4.7,470.0,100.0
33,-31.086224074074078,116.67627777777778,5171.0,5199.0,1.4285714285714286,40.0,28.0
34,-31.04596666666667,116.66858666666667,5249.0,5294.0,4.511111111111111,203.0,45.0
35,-30.991624242424237,116.66731666666668,5374.0,5424.0,3.52,176.0,50.0
36,-30.977509671848015,116.67212055267703,5429.0,5650.0,3.9004524886877827,862.0,221.0
37,-30.979907317073174,116.67545853658537,5654.0,5694.0,3.25,130.0,40.0
38,-30.983895045045042,116.67625315315316,5700.0,5736.0,3.0277777777777777,109.0,36.0
39,-30.98262195767196,116.6750582010582,5737.0,5850.0,2.672566371681416,302.0,113.0
40,-30.925670833333335,116.66028541666668,5999.0,6034.0,1.0571428571428572,37.0,35.0
