cluster_id,lat,lon,t_start,t_end,climb_rate_ms,climb_rate_ms_median,alt_gain_m_mean,duration_s_mean,n_circles
0,-31.852980610795456,116.94652231691919,1791.0,1854.0,3.1902223132654717,3.1902223132654717,100.48429144384993,31.5,2
1,-31.57571858974359,116.84835852564102,3085.0,3139.0,3.782169742258744,3.782169742258744,102.08839261097361,27.0,2
2,-30.977536371512628,116.6725648778558,5464.0,5674.0,4.082919554054312,4.2269891740479775,140.8445135719974,35.0,6
3,-30.621511904761903,116.6134169642857,6894.0,6948.0,2.8648056923919665,2.8648056923919665,77.34975369458309,27.0,2
4,-30.624399366359448,116.61949556451611,7006.0,7063.0,3.6562589385031434,3.6562589385031434,103.44762037184299,28.5,2
5,-30.4253484541774,116.61010573992284,7809.0,7916.0,2.0879255771283454,2.1086229946523933,74.38037267170328,35.666666666666664,3
6,-30.041593149680498,116.52353269542455,9180.0,9526.0,2.071784090394429,2.0404411764704564,65.36167492868083,31.454545454545453,11
7,-30.001712783882784,116.52284735042737,9716.0,9788.0,3.0508122682271797,3.0508122682271797,110.49725274725449,36.0,2
8,-30.053427947033054,116.53888190959776,10696.0,10752.0,3.7624569203199005,3.7624569203199005,105.80533154122077,28.0,2
9,-30.05665426716702,116.54404139401026,10752.0,11103.0,3.9841323571170926,3.9095582393135118,114.88215786601386,29.25,12
