lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s,circle_id,seg_id,avg_speed_kmh,turn_radius_m,circle_diameter_m,bank_angle_deg
-31.597412962962963,117.22030555555554,269.0,301.0,0.5083333333333226,16.266666666666325,32.0,0,,120.94611001201915,171.1037444991024,342.2074889982048,33.918265826971904
-31.59690555555556,117.21838333333332,301.0,333.0,0.8083333333333294,25.86666666666654,32.0,1,,121.37228914191505,171.70666463390717,343.41332926781433,34.01165133118185
-31.596309259259264,117.21635740740741,333.0,365.0,1.162499999999985,37.19999999999952,32.0,2,,122.47047171900672,173.26027517223193,346.52055034446386,34.25134388376392
-31.595518518518517,117.21447962962962,365.0,397.0,1.370833333333325,43.8666666666664,32.0,3,,123.41466152823398,174.59603050872536,349.1920610174507,34.45633984551824
-31.595025925925924,117.21251666666666,397.0,429.0,1.0708333333333262,34.26666666666644,32.0,4,,123.26688856846685,174.38697453537196,348.7739490707439,34.424322569120726
-31.594225925925926,117.21061296296297,429.0,461.0,0.8375000000000036,26.800000000000114,32.0,5,,122.83084671236305,173.7701014972041,347.5402029944082,34.32970433460589
-31.611320833333338,117.20896527777778,545.0,589.0,0.3461538461538325,15.23076923076863,44.0,6,,120.32430631160305,234.05809928838292,468.11619857676584,25.944281665166574
-31.612601515151514,117.20690454545452,589.0,629.0,0.4568181818181854,18.272727272727415,40.0,7,,120.89965662272355,213.79753299576947,427.59506599153895,28.26875744415576
-31.612395000000003,117.20485500000002,629.0,665.0,0.8666666666666636,31.19999999999989,36.0,8,,123.0461584017927,195.83404338113655,391.6680867622731,31.30372081779234
-31.61225,117.20287166666667,665.0,701.0,1.1484848484848451,41.34545454545442,36.0,9,,123.91025477891539,197.2092954784053,394.4185909568106,31.482005778419662
-31.611624999999997,117.2021,701.0,737.0,0.7318181818181765,26.345454545454352,36.0,10,,121.21029463706074,192.9121754511327,385.8243509022654,30.92268718576225
-31.611193749999998,117.20035833333334,737.0,765.0,1.8779761904761894,52.5833333333333,28.0,11,,120.30917530526274,148.92733293777073,297.85466587554146,37.396103945012584
-31.610977083333335,117.19963958333332,765.0,793.0,1.8184523809523967,50.916666666667105,28.0,12,,119.08521455669035,147.41222646777044,294.8244529355409,37.11380500314326
-31.611231481481482,117.19833888888888,793.0,825.0,1.504166666666661,48.133333333333155,32.0,13,,120.1181992068211,169.93249030277832,339.86498060555664,33.73626528828423
-31.610912962962963,117.19687592592592,825.0,857.0,1.3749999999999767,43.999999999999254,32.0,14,,117.66980587828428,166.46872229504626,332.9374445900925,33.19349000857439
-31.610711666666667,117.19592166666666,857.0,893.0,0.43030303030303,15.490909090909081,36.0,15,,119.28938278635283,189.85494928829303,379.70989857658606,30.520725668327188
-31.610422727272727,117.19461969696971,893.0,933.0,-0.004545454545427484,-0.18181818181709938,40.0,16,,119.74641499374106,211.75815404208157,423.51630808416314,28.040297292537527
-31.603855555555555,117.21640833333333,1033.0,1077.0,-0.5410839160839285,-23.807692307692854,44.0,17,,116.36210871353953,226.35072521546616,452.7014504309323,25.19737279936084
-31.60261833333333,117.21726333333334,1077.0,1113.0,0.7757575757575829,27.92727272727298,36.0,18,,117.29149444683733,186.67521123849755,373.3504224769951,30.09909953858741
-31.602941666666666,117.21597291666666,1113.0,1141.0,0.8511904761905019,23.833333333334053,28.0,19,,119.87217067357278,148.38637723664564,296.7727544732913,37.29555433185763
-31.6026125,117.21481458333332,1141.0,1169.0,1.3958333333333381,39.08333333333347,28.0,20,,119.19398541099011,147.5468708387515,295.093741677503,37.1389780359184
-31.60238148148148,117.21381296296295,1169.0,1201.0,1.4624999999999835,46.79999999999947,32.0,21,,119.44576194498647,168.981186177088,337.962372354176,33.58787202094159
-31.60229,117.21222833333331,1201.0,1237.0,1.2515151515151735,45.05454545454624,36.0,22,,119.54888576267751,190.26796110258437,380.53592220516873,30.57522394019885
-31.60162777777778,117.21072592592593,1237.0,1269.0,1.1416666666666542,36.53333333333293,32.0,23,,120.32831030095714,170.22973669593563,340.45947339187126,33.782527619044195
-31.601357407407406,117.20877037037036,1269.0,1301.0,1.4416666666666687,46.1333333333334,32.0,24,,120.20526240635569,170.05565953448786,340.1113190689757,33.75544095150427
-31.601161111111114,117.2068740740741,1301.0,1333.0,1.383333333333344,44.26666666666701,32.0,25,,118.77488730846694,168.03209271400303,336.06418542800606,33.43931315331178
-31.601096296296298,117.20510555555555,1333.0,1365.0,1.0708333333333182,34.26666666666618,32.0,26,,118.7243710781954,167.96062686730002,335.92125373460004,33.4281061513573
-31.60106,117.20301333333332,1365.0,1401.0,1.4863636363636399,53.509090909091036,36.0,27,,120.74603840888338,192.17328871537643,384.34657743075286,30.825846099144343
-31.600062121212122,117.20076212121211,1401.0,1441.0,1.2204545454545452,48.81818181818181,40.0,28,,119.75249968371172,211.7689141363706,423.5378282727412,28.041505243594475
-31.600360000000002,117.19874333333333,1441.0,1477.0,1.293939393939385,46.581818181817866,36.0,29,,119.39358983895121,190.02079996355374,380.0415999271075,30.542617564089987
-31.600251515151513,117.19765757575759,1477.0,1517.0,1.1818181818181916,47.272727272727664,40.0,30,,118.17278509016673,208.97536540040292,417.95073080080584,27.72698525119418
-31.6007,117.19650999999999,1517.0,1553.0,1.7818181818181829,64.14545454545458,36.0,31,,118.61866795008555,188.78747347232294,377.5749469446459,30.379585252612955
-31.600946969696967,117.19547424242424,1553.0,1593.0,0.2568181818181941,10.272727272727764,40.0,32,,119.65107926196565,211.5895634535778,423.1791269071556,28.02136741238519
-31.60097222222222,117.19388518518518,1593.0,1625.0,0.7833333333333308,25.066666666666585,32.0,33,,120.66858115214872,170.71112147777762,341.42224295555525,33.85734268135209
-31.601013333333334,117.1925883333333,1625.0,1661.0,-0.26969696969694734,-9.709090909090104,36.0,34,,123.54117565566108,196.62188780982586,393.24377561965173,31.40593824510846
-31.600789393939394,117.19226666666668,1661.0,1701.0,-0.8886363636363457,-35.54545454545383,40.0,35,,122.9727310014228,217.46353338207112,434.92706676414224,28.6769852744945
-31.612931944444444,117.23584305555552,1861.0,1905.0,-0.19493006993008583,-8.576923076923777,44.0,36,,119.92066413762966,233.27292360003796,466.5458472000759,25.868618346581844
-31.593943333333335,117.28515166666666,2181.0,2217.0,1.9818181818181957,71.34545454545504,36.0,37,,117.26078362312666,186.62633344449776,373.2526668889955,30.092590142207968
-31.59545740740741,117.28335,2217.0,2249.0,1.0124999999999855,32.39999999999954,32.0,38,,125.54388924947028,177.60827154697472,355.21654309394944,34.91495029627742
-31.59566851851852,117.28087777777779,2249.0,2281.0,1.5083333333333289,48.266666666666524,32.0,39,,121.60178650407425,172.0313369860333,344.0626739720666,34.061854485064586
-31.59550740740741,117.27947407407409,2281.0,2313.0,1.8958333333333266,60.66666666666645,32.0,40,,120.47143492888736,170.43221662494258,340.86443324988517,33.81401225895161
-31.595868333333335,117.27800333333332,2313.0,2349.0,1.3318181818181742,47.945454545454275,36.0,41,,123.25012186821262,196.15866132004544,392.3173226400909,31.3458646948609
-31.595635000000005,117.27557166666665,2349.0,2385.0,0.5287878787878956,19.03636363636424,36.0,42,,121.77045843263436,193.8037038211993,387.6074076423986,31.039273504434846
-31.595705000000002,117.27416833333332,2385.0,2421.0,0.41969696969696363,15.10909090909069,36.0,43,,122.44854154654556,194.8829066152604,389.7658132305208,31.18002117725131
-31.596428333333336,117.27224333333334,2421.0,2457.0,0.09848484848483864,3.545454545454191,36.0,44,,118.45713224107821,188.53038140657924,377.0607628131585,30.34553175357444
-31.597012820512823,117.27031538461537,2457.0,2505.0,-0.2760989010988676,-13.252747252745644,48.0,45,,118.96859773830721,252.45920537017165,504.9184107403433,23.79557370829714
-31.605191666666663,117.27679666666666,2765.0,2801.0,0.5575757575757727,20.072727272727818,36.0,46,,118.95455330562433,189.3220516187847,378.6441032375694,30.450317653795103
-31.604933333333335,117.27493484848483,2801.0,2841.0,0.10909090909094332,4.363636363637733,40.0,47,,118.1296826842033,208.899143611867,417.798287223734,27.718377995907783
-31.6053,117.272475,2841.0,2885.0,0.08566433566430612,3.7692307692294693,44.0,48,,119.88676539928885,233.20698285616385,466.4139657123277,25.862259560841256
-31.605046666666663,117.27015166666665,2885.0,2921.0,0.8696969696969856,31.30909090909148,36.0,49,,120.25438083462984,191.39079138286624,382.7815827657325,30.723075842441933
-31.604854545454543,117.26858484848485,2921.0,2961.0,0.7295454545454684,29.181818181818734,40.0,50,,120.39883968633282,212.91189420676145,425.8237884135229,28.1696640897095
-31.604854545454547,117.26731818181817,2961.0,3001.0,0.6272727272727359,25.090909090909435,40.0,51,,119.96485588694784,212.14444235238454,424.2888847047691,28.083645843233125
-31.605041666666672,117.26574166666667,3001.0,3037.0,0.4621212121212157,16.636363636363765,36.0,52,,122.3021606909692,194.64993424787042,389.29986849574084,31.149672660433247
-31.60572833333333,117.26390333333333,3037.0,3073.0,0.2878787878787985,10.363636363636747,36.0,53,,120.29072902172798,191.44864131935722,382.89728263871444,30.7306811514336
-31.606245454545448,117.26227424242424,3073.0,3113.0,-0.05227272727272895,-2.090909090909158,40.0,54,,121.98084927045234,215.70950137711006,431.4190027542201,28.482058508641845
-31.607414999999996,117.26114166666666,3113.0,3149.0,-0.3257575757575474,-11.727272727271705,36.0,55,,125.24115930167984,199.32749581421854,398.6549916284371,31.755281127131607
-31.607418181818183,117.25842727272726,3149.0,3189.0,-0.2909090909090972,-11.636363636363889,40.0,56,,128.2651003885982,226.82249725581767,453.64499451163533,29.704827798589
-31.60687878787879,117.25618484848482,3189.0,3229.0,0.04772727272725511,1.9090909090902044,40.0,57,,128.83780216800622,227.83525635704333,455.67051271408667,29.814817626030116
-31.60628181818182,117.25359242424243,3229.0,3269.0,-0.12272727272727213,-4.909090909090885,40.0,58,,127.1361749664342,224.82611879671205,449.6522375934241,29.487305789899448
-31.605963636363636,117.25083787878789,3269.0,3309.0,-0.19545454545452906,-7.818181818181163,40.0,59,,126.35641704146036,223.44720403921573,446.89440807843147,29.336513876264057
-31.605776666666664,117.24775,3309.0,3345.0,-0.7924242424242394,-28.527272727272617,36.0,60,,126.92037487716503,202.00005040777222,404.00010081554444,32.0977870238766
-31.604745,117.24614333333334,3345.0,3381.0,-0.37727272727272504,-13.581818181818102,36.0,61,,126.33200711798649,201.0636340354806,402.1272680709612,31.978069306087455
-31.588042424242428,117.28935,3521.0,3561.0,1.0909090909090857,43.63636363636343,40.0,62,,118.77156389138415,210.03423880076284,420.0684776015257,27.846416668430727
-31.58710833333334,117.28900333333334,3561.0,3597.0,0.2545454545454585,9.163636363636506,36.0,63,,122.37118931671917,194.75979671789992,389.51959343579983,31.163986492846462
-31.586727777777778,117.28877592592592,3597.0,3629.0,0.9166666666666511,29.333333333332835,32.0,64,,119.80275290563323,169.48622507509737,338.97245015019473,33.66671642894596
-31.58714814814815,117.28918333333334,3629.0,3661.0,2.754166666666645,88.13333333333264,32.0,65,,121.884149232996,172.4307985331694,344.8615970663388,34.12354056757054
-31.587675,117.28923125,3661.0,3689.0,4.014880952381002,112.41666666666806,28.0,66,,125.09697130779367,154.85401049580284,309.7080209916057,38.480200644335
-31.58757083333333,117.288225,3689.0,3717.0,3.9077380952380913,109.41666666666656,28.0,67,,125.60704404668448,155.4854151448209,310.9708302896418,38.593818560935865
-31.587799999999998,117.2878888888889,3717.0,3749.0,3.84583333333331,123.06666666666592,32.0,68,,125.1822314634741,177.09663044165057,354.19326088330115,34.837411505289815
-31.58890909090909,117.28689696969697,3749.0,3789.0,1.7613636363636491,70.45454545454596,40.0,69,,129.4059189413248,228.8399073873441,457.6798147746882,29.923688313247563
-31.589441666666666,117.28596666666667,3789.0,3817.0,2.401785714285755,67.25000000000114,28.0,70,,130.11191528606636,161.06186812279978,322.12373624559956,39.58180007670706
-31.59008958333333,117.28494791666667,3817.0,3845.0,2.321428571428624,65.00000000000148,28.0,71,,127.98491782384558,158.42891798902812,316.85783597805624,39.11876819259499
-31.59059444444445,117.28401851851852,3845.0,3877.0,1.3916666666666158,44.533333333331704,32.0,72,,127.9919166128636,181.07152181993706,362.1430436398741,35.43596539862999
-31.591235185185187,117.28278703703705,3877.0,3909.0,1.18333333333326,37.86666666666432,32.0,73,,126.32619266135426,178.71500448029906,357.4300089605981,35.08217474548866
-31.957683333333335,117.196495,4758.0,4794.0,2.290909090909073,82.47272727272662,36.0,74,,121.30101523056493,193.0565617600969,386.1131235201938,30.941588102921454
