cluster_id,lat,lon,t_start,t_end,climb_rate_ms,climb_rate_ms_median,alt_gain_m_mean,duration_s_mean,n_circles
0,-31.609373455149502,117.2295680509413,266.0,342.0,2.210104464618842,2.210104464618842,82.92186650558797,38.0,2
1,-31.626173996913582,117.2263999228395,458.0,519.0,1.337387387387384,1.337387387387384,40.48712998712987,30.5,2
2,-31.62863571957672,117.22512658201059,519.0,1398.0,1.3429096973111065,1.318461538461562,46.368347594667256,30.666666666666668,3
3,-31.656560844017093,117.21356768162391,967.0,1015.0,5.42217391304348,5.42217391304348,134.71000000000004,24.0,2
4,-31.634544704710322,117.23397654371168,1457.0,1690.0,2.5223419919864836,1.7521367521367568,63.54685445318003,25.88888888888889,9
5,-31.640942920567678,117.23897665401405,1715.0,1906.0,2.4070045217214435,2.4704433497537126,67.53470781618303,27.285714285714285,7
6,-31.644362447478997,117.24209163165267,1906.0,1966.0,4.755846351079637,4.755846351079637,147.77790495508617,30.0,2
7,-31.648896858083056,117.24543524811519,1991.0,2108.0,3.46638377959639,3.062196090894627,101.60885011123509,29.25,4
8,-31.42047029194864,117.19234463055815,2825.0,3042.0,3.947783539100248,3.8298796791443355,117.38553765414699,31.0,7
9,-31.220394010416662,117.13047204861113,3651.0,3705.0,2.783107069998749,2.783107069998749,75.59284090909165,27.0,2
10,-31.225140586080585,117.13095939560439,3738.0,3797.0,3.2395977878331355,3.2395977878331355,88.70170940171093,29.5,2
11,-31.227217639631604,117.13184167409389,3797.0,3862.0,2.51230901451492,2.51230901451492,81.35439266615813,32.5,2
12,-31.167324742556133,117.10960985061574,4184.0,4335.0,3.558166949192942,3.6263368983956323,106.77284186401877,30.2,5
13,-31.103921903058364,117.10022803205668,4616.0,4714.0,3.324893314172248,3.554802052785973,108.81100853527312,32.666666666666664,3
14,-30.895105881843385,117.03831295045046,6089.0,6150.0,2.816771346245036,2.816771346245036,84.8642812853339,30.5,2
15,-30.89876403954991,117.04225406647356,6189.0,6363.0,1.3769672042448275,1.6696715049656843,46.31810179060549,34.8,5
16,-30.905384886121755,117.04893298212005,6435.0,6527.0,1.9606791281985838,2.2542825361512704,58.84623889740666,30.666666666666668,3
17,-30.90050957170224,117.04848624794745,6660.0,6743.0,4.337182995803654,4.421182266009782,119.92972085385789,27.666666666666668,3
18,-30.90275489482383,117.049753326572,6743.0,6833.0,3.1632919241111863,3.215126050420233,95.04528903886516,30.0,3
19,-30.736911346153846,116.93644625457875,7427.0,7486.0,2.1973317532141494,2.1973317532141494,61.06312576312716,29.5,2
20,-30.741416358024694,116.93728769841269,7513.0,7566.0,2.6858342806618634,2.6858342806618634,71.46319102353576,26.5,2
21,-30.71775029840849,116.90677379531388,7756.0,7809.0,2.245077680939753,2.245077680939753,59.58063660477461,26.5,2
22,-30.65035885479324,116.88025917073932,8085.0,8241.0,2.7724055376444134,2.794904692082174,85.12090212721462,31.2,5
23,-30.505703634583803,116.7981321846975,8805.0,8913.0,3.307153804050372,3.2348385331144085,87.67452107279732,27.0,4
24,-30.508709998713993,116.80002609953704,8913.0,9028.0,4.533920330306568,3.7313049853373155,197.21847643097817,38.333333333333336,3
25,-30.217998871100168,116.66575759441707,9918.0,9973.0,2.887110016420383,2.887110016420383,79.38423645320256,27.5,2
26,-30.22063331750554,116.66781627888572,9973.0,10050.0,3.2185185185185783,3.1862026862026913,82.62678062678215,25.666666666666668,3
27,-30.189322751567744,116.9085464000503,11576.0,11675.0,1.9622725912748695,2.18393697341069,64.88181142486742,33.0,3
28,-30.23709200670498,117.09601777186161,12129.0,12252.0,2.6504386930220063,2.6720846777380824,80.69618670605226,30.75,4
29,-30.239711734068628,117.09853072916667,12252.0,12316.0,2.7647060363735827,2.7647060363735827,88.50894289534278,32.0,2
30,-30.278786548132185,117.32988402842497,12861.0,12979.0,1.6602392069390044,1.62764335914368,46.72931136207572,29.5,4
31,-30.310945417190027,117.43338853308447,13275.0,13428.0,1.2440761193955847,1.2083743842364147,37.47768510957135,30.6,5
32,-30.38133156674076,117.473290829944,13984.0,14181.0,4.829765561358557,5.151220735785932,118.78456275525346,24.625,8
33,-30.431175718390804,117.78828493773946,14953.0,15004.0,1.3898554294280963,1.3898554294280963,34.960517241378085,25.5,2
34,-30.46688263888889,118.0583314116696,15556.0,15632.0,3.884452108500103,3.8565323565324,98.84571063674564,25.333333333333332,3
35,-30.63355068366165,118.33516563203403,16761.0,16980.0,3.1517326053164902,3.1706896551723522,86.18207437955182,27.375,8
36,-30.812989284619594,118.16520250437877,17528.0,17607.0,3.4737881913744144,3.476153846153855,91.46900088417374,26.333333333333332,3
37,-30.996089511494255,117.97325528017241,18380.0,18439.0,2.1125014446065715,2.1125014446065715,63.27449059561171,29.5,2
38,-30.99649087704047,117.97696622315594,18439.0,18534.0,2.4295920667117823,2.2084033613446383,77.5635918735324,31.666666666666668,3
39,-31.29094334924689,117.68168769765252,19811.0,19892.0,4.255429245084422,4.305860805860861,114.9905309250138,27.0,3
