cluster_id,lat,lon,t_start,t_end,climb_rate_ms,climb_rate_ms_median,alt_gain_m_mean,duration_s_mean,n_circles
0,-32.13274271284271,116.98554716810966,591.0,664.0,0.5303063795001761,0.5303063795001761,16.216826265389635,36.5,2
1,-32.12079332142857,116.97543330952382,820.0,871.0,1.1595772809565956,1.1595772809565956,29.852432739674228,25.5,2
2,-32.11336365517241,116.96219240229885,1056.0,1108.0,1.5070746494884562,1.5070746494884562,39.5550132625998,26.0,2
3,-32.084090696969696,116.96436307575757,2177.0,2222.0,1.8361416844025198,1.8361416844025198,41.02589844937596,22.5,2
4,-32.045798288555346,116.97337807770715,2492.0,2593.0,1.0577006023229945,1.0403023904167732,26.291225071544588,25.25,4
5,-31.974755378131448,117.01271286000588,2960.0,3037.0,1.2984236453201987,1.2523076923076977,33.65842617152967,25.666666666666668,3
6,-31.875767053497942,117.06268596707817,3638.0,3712.0,2.0314204314204245,2.0353846153846202,49.8733414733413,24.666666666666668,3
7,-31.806392179189256,117.10113609522162,4025.0,4124.0,2.0219685025119882,2.151318681318698,50.75803232998905,24.75,4
8,-31.366529852092352,117.10842777777779,7363.0,7404.0,2.180180688876308,2.180180688876308,44.859119141727156,20.5,2
9,-31.29077086466165,116.8244612781955,8403.0,8453.0,0.6630446697522795,0.6630446697522795,16.472796971899626,25.0,2
10,-31.41880839397089,116.78922195945947,9455.0,9516.0,1.847813765182163,1.847813765182163,56.95411605937842,30.5,2
11,-31.69773779761904,116.81717410714285,11869.0,11923.0,1.601122058018638,1.601122058018638,43.23029556650323,27.0,2
