cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-32.124941666666665,116.96580277777777,453.0,478.0,2.4,60.0,25.0
1,-32.124008333333336,116.96107341269841,541.0,582.0,3.073170731707317,126.0,41.0
2,-32.128211594202895,116.94776666666667,712.0,734.0,2.5454545454545454,56.0,22.0
3,-32.115585119047616,117.00423273809527,1231.0,1258.0,3.2962962962962963,89.0,27.0
4,-32.11586560283688,117.0015588652482,1259.0,1305.0,2.6956521739130435,124.0,46.0
5,-32.115206666666666,116.99454,1399.0,1428.0,2.0344827586206895,59.0,29.0
6,-32.14927916666667,116.99490104166665,1989.0,2046.0,2.6140350877192984,149.0,57.0
7,-32.150498550724635,116.99213840579709,2060.0,2082.0,2.4545454545454546,54.0,22.0
8,-32.15129090909091,116.99021893939394,2089.0,2110.0,1.9523809523809523,41.0,21.0
9,-32.14862,116.98364666666666,2398.0,2418.0,3.95,79.0,20.0
10,-32.14887133333333,116.98280466666667,2423.0,2450.0,3.259259259259259,88.0,27.0
11,-32.15048266666667,116.97826333333333,2518.0,2542.0,2.625,63.0,24.0
12,-32.15281818181818,116.97113787878787,2609.0,2635.0,3.3846153846153846,88.0,26.0
13,-32.11743611111111,117.04436388888888,3107.0,3132.0,1.48,37.0,25.0
14,-32.12320952380953,117.05334523809525,3373.0,3400.0,1.5185185185185186,41.0,27.0
15,-32.120467543859654,116.94766491228067,3776.0,3831.0,2.8363636363636364,156.0,55.0
16,-32.121775,116.94395151515151,3850.0,3871.0,2.5714285714285716,54.0,21.0
17,-32.152344444444445,116.96488055555557,4605.0,4630.0,3.52,88.0,25.0
18,-32.152852272727266,116.95824696969699,4695.0,4716.0,4.0476190476190474,85.0,21.0
19,-32.15419523809524,116.95611746031744,4744.0,4764.0,3.45,69.0,20.0
20,-32.154384126984134,116.9552746031746,4765.0,4785.0,3.5,70.0,20.0
21,-32.155322,116.95529266666667,4789.0,4813.0,3.0,72.0,24.0
22,-32.13415,116.93789166666666,5199.0,5224.0,1.52,38.0,25.0
23,-32.177109375,116.965903125,5585.0,5647.0,2.096774193548387,130.0,62.0
24,-32.260765432098765,116.99655432098764,5922.0,5971.0,3.4081632653061225,167.0,49.0
25,-32.26154712643678,116.99364770114943,5988.0,6016.0,2.6785714285714284,75.0,28.0
26,-32.26260325203252,116.99022276422764,6034.0,6074.0,3.625,145.0,40.0
27,-32.263834848484855,116.98759621212122,6075.0,6096.0,4.571428571428571,96.0,21.0
28,-32.26465,116.98458188405797,6101.0,6146.0,4.133333333333334,186.0,45.0
29,-32.26592473118279,116.98060645161291,6149.0,6179.0,3.566666666666667,107.0,30.0
30,-32.29581666666667,117.04515333333333,6394.0,6414.0,3.1,62.0,20.0
31,-32.347280769230764,117.10204743589742,6634.0,6671.0,4.054054054054054,150.0,37.0
32,-32.348415873015874,117.10178571428571,6673.0,6693.0,2.6,52.0,20.0
33,-32.39825277777778,117.15291111111111,7001.0,7026.0,3.32,83.0,25.0
34,-32.45598611111111,117.25340277777777,7756.0,7781.0,1.48,37.0,25.0
35,-32.45746388888889,117.2562611111111,7989.0,8010.0,3.380952380952381,71.0,21.0
36,-32.458256570512816,117.25108044871794,8060.0,8163.0,3.2135922330097086,331.0,103.0
37,-32.45859047619048,117.24678333333331,8164.0,8191.0,2.962962962962963,80.0,27.0
38,-32.4588431372549,117.24464460784313,8192.0,8225.0,3.0303030303030303,100.0,33.0
39,-32.458571584699456,117.24107349726778,8226.0,8286.0,3.0166666666666666,181.0,60.0
40,-32.4645638888889,117.24504166666667,8405.0,8430.0,1.8,45.0,25.0
41,-32.5787678030303,117.36379128787877,8910.0,8971.0,4.983606557377049,304.0,61.0
42,-32.57817072072073,117.36060810810808,8972.0,9008.0,4.5,162.0,36.0
43,-32.577946376811596,117.35814565217393,9009.0,9031.0,4.181818181818182,92.0,22.0
44,-32.57621742424242,117.35482196969697,9083.0,9104.0,4.095238095238095,86.0,21.0
45,-32.576606790123456,117.3539783950617,9105.0,9131.0,3.5384615384615383,92.0,26.0
46,-32.57626666666667,117.35178194444445,9137.0,9160.0,3.652173913043478,84.0,23.0
47,-32.68790833333333,117.43895277777779,9700.0,9725.0,2.28,57.0,25.0
48,-32.706066666666665,117.46597222222222,9815.0,9840.0,3.84,96.0,25.0
49,-32.792771111111115,117.48914722222223,10739.0,10768.0,2.793103448275862,81.0,29.0
50,-32.79284841269842,117.48759920634919,10772.0,10792.0,2.85,57.0,20.0
51,-32.79246287878788,117.48524924242425,10809.0,10830.0,2.5714285714285716,54.0,21.0
52,-32.791965999999995,117.47955266666668,10888.0,10912.0,1.9166666666666667,46.0,24.0
53,-32.791916666666665,117.47774375000002,10916.0,10939.0,2.4347826086956523,56.0,23.0
54,-32.79220344827586,117.47282758620689,10979.0,11007.0,2.2857142857142856,64.0,28.0
55,-32.792500000000004,117.47071799999999,11027.0,11051.0,2.2916666666666665,55.0,24.0
56,-32.79261805555556,117.46873194444443,11059.0,11082.0,2.4782608695652173,57.0,23.0
57,-32.792432539682544,117.46743809523811,11083.0,11103.0,2.2,44.0,20.0
58,-32.79142843137255,117.46545098039215,11108.0,11141.0,2.787878787878788,92.0,33.0
59,-32.79090942028986,117.46252971014492,11167.0,11189.0,2.3636363636363638,52.0,22.0
60,-32.79064318181818,117.46073106060607,11192.0,11213.0,1.9523809523809523,41.0,21.0
61,-32.79189920634921,117.4568492063492,11263.0,11283.0,2.35,47.0,20.0
62,-32.80715476190476,117.37579523809525,11526.0,11556.0,2.8333333333333335,85.0,30.0
63,-32.80941484848485,117.37140242424243,11578.0,11632.0,3.0,162.0,54.0
64,-32.809199186991876,117.3673142276423,11633.0,11673.0,3.375,135.0,40.0
65,-32.80908725490196,117.36450686274509,11675.0,11708.0,2.696969696969697,89.0,33.0
