cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-32.14190900900901,116.97105743243242,233.0,452.0,3.1095890410958904,681.0,219.0
1,-32.13647777777778,116.99092777777777,677.0,701.0,2.0833333333333335,50.0,24.0
2,-32.134986111111104,116.98898240740739,704.0,755.0,2.4705882352941178,126.0,51.0
3,-32.13296923076923,116.98685128205128,758.0,794.0,2.388888888888889,86.0,36.0
4,-32.131209090909095,116.98369242424242,809.0,872.0,2.111111111111111,133.0,63.0
5,-32.12968166666668,116.98104833333335,875.0,902.0,2.111111111111111,57.0,27.0
6,-32.12017291666666,117.00123125000002,1400.0,1421.0,2.8095238095238093,59.0,21.0
7,-32.14349166666666,116.95188333333334,1853.0,1874.0,3.0,63.0,21.0
8,-32.143008333333334,116.9503125,1919.0,1940.0,1.4285714285714286,30.0,21.0
9,-32.14287916666667,116.9482125,2084.0,2105.0,1.9523809523809523,41.0,21.0
10,-32.05553472222223,116.93824027777778,2618.0,2651.0,1.606060606060606,53.0,33.0
11,-32.02076515151515,116.9553,2780.0,2810.0,1.6666666666666667,50.0,30.0
12,-31.990606250000003,116.97321041666666,2891.0,2912.0,2.3333333333333335,49.0,21.0
13,-31.988227777777777,116.97167592592592,2918.0,2942.0,2.625,63.0,24.0
14,-31.9874,116.96807352941175,2969.0,3017.0,2.2083333333333335,106.0,48.0
15,-31.98560104166667,116.9647375,3035.0,3080.0,2.2,99.0,45.0
16,-31.984788333333334,116.96414333333333,3083.0,3110.0,1.9259259259259258,52.0,27.0
17,-31.920098611111104,116.91787638888889,3332.0,3365.0,1.7272727272727273,57.0,33.0
18,-31.827741666666668,116.90557500000003,3734.0,3761.0,2.4444444444444446,66.0,27.0
19,-31.826754166666667,116.90408124999999,3764.0,3785.0,2.4761904761904763,52.0,21.0
20,-31.82521851851852,116.90148888888888,3800.0,3824.0,3.2083333333333335,77.0,24.0
21,-31.824694166666667,116.90018083333332,3857.0,3914.0,2.9473684210526314,168.0,57.0
22,-31.82431111111111,116.89811999999999,3917.0,3959.0,2.2142857142857144,93.0,42.0
23,-31.653664814814817,116.87860185185185,4427.0,4451.0,3.5833333333333335,86.0,24.0
24,-31.652889743589746,116.87815769230768,4454.0,4490.0,2.4722222222222223,89.0,36.0
25,-31.652621111111113,116.87884333333332,4493.0,4535.0,2.5238095238095237,106.0,42.0
26,-31.65176547619048,116.87749761904763,4538.0,4577.0,2.6666666666666665,104.0,39.0
27,-31.652245833333332,116.8761375,4598.0,4619.0,3.238095238095238,68.0,21.0
28,-31.652126666666664,116.87545333333335,4625.0,4652.0,2.814814814814815,76.0,27.0
29,-31.65233703703704,116.87407037037036,4655.0,4679.0,2.625,63.0,24.0
30,-31.65241041666667,116.87320208333334,4682.0,4703.0,2.4761904761904763,52.0,21.0
31,-31.653285,116.87141499999998,4709.0,4766.0,2.1052631578947367,120.0,57.0
32,-31.60721666666667,116.88345166666666,4946.0,4973.0,5.0,135.0,27.0
33,-31.605497311827957,116.87954354838712,4976.0,5066.0,2.8666666666666667,258.0,90.0
34,-31.459333333333333,116.83817638888888,5450.0,5483.0,3.8181818181818183,126.0,33.0
35,-31.384146666666663,116.836715,5690.0,5717.0,4.7407407407407405,128.0,27.0
36,-31.38222916666667,116.83928125,5732.0,5753.0,1.5714285714285714,33.0,21.0
37,-31.376812121212126,116.84109242424242,5798.0,5828.0,2.4,72.0,30.0
38,-31.286424074074073,116.7997388888889,6077.0,6101.0,2.0416666666666665,49.0,24.0
39,-31.278846735395188,116.79033745704467,6104.0,6392.0,3.611111111111111,1040.0,288.0
40,-31.156487499999997,116.75225208333333,6695.0,6716.0,5.571428571428571,117.0,21.0
41,-31.156389166666663,116.75153333333336,6719.0,6776.0,3.0,171.0,57.0
42,-31.15702166666667,116.7487566666667,6779.0,6806.0,2.7037037037037037,73.0,27.0
43,-31.028900000000004,116.77427407407407,7205.0,7229.0,2.1666666666666665,52.0,24.0
44,-30.99483030303031,116.82317121212121,7373.0,7403.0,3.6333333333333333,109.0,30.0
45,-30.98744166666667,116.83705555555555,7595.0,7628.0,1.9393939393939394,64.0,33.0
46,-31.020713793103454,116.84914482758622,7706.0,7877.0,3.508771929824561,600.0,171.0
