cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-32.16803095238095,116.99815,233.0,263.0,1.8666666666666667,56.0,30.0
1,-32.16773985507246,116.99892826086958,334.0,356.0,2.1363636363636362,47.0,22.0
2,-32.16284916666667,116.98693166666666,547.0,594.0,2.5319148936170213,119.0,47.0
3,-32.16192121212122,116.98539772727271,595.0,616.0,2.6666666666666665,56.0,21.0
4,-32.16177727272727,116.98292651515152,666.0,688.0,3.3636363636363638,74.0,22.0
5,-32.16155894308944,116.9818536585366,689.0,729.0,2.775,111.0,40.0
6,-32.15136666666667,116.95811833333335,785.0,830.0,0.6666666666666666,30.0,45.0
7,-32.139599999999994,116.98427333333333,1142.0,1162.0,2.65,53.0,20.0
8,-32.13663095238095,116.93874523809522,1475.0,1501.0,1.9615384615384615,51.0,26.0
9,-32.131257575757566,116.92415151515151,1751.0,1776.0,2.56,64.0,25.0
10,-32.063069999999996,116.95477999999999,2194.0,2214.0,2.3,46.0,20.0
11,-31.94269666666667,116.97156222222223,2764.0,2798.0,2.9705882352941178,101.0,34.0
12,-31.953049999999998,117.00086666666667,2914.0,2934.0,2.95,59.0,20.0
13,-31.963639999999998,117.03167,3035.0,3056.0,2.6666666666666665,56.0,21.0
14,-31.976702083333333,117.07418958333332,3273.0,3308.0,1.9142857142857144,67.0,35.0
15,-31.97571153846154,117.09404294871796,3598.0,3623.0,2.44,61.0,25.0
16,-32.04562222222222,117.03029814814815,3903.0,3937.0,2.2941176470588234,78.0,34.0
17,-32.079439215686264,116.99280196078429,4091.0,4129.0,3.1842105263157894,121.0,38.0
18,-32.09247272727273,116.97885000000001,4223.0,4273.0,1.4,70.0,50.0
19,-32.12513333333333,116.95779047619048,4367.0,4391.0,1.7916666666666667,43.0,24.0
20,-32.05770138888889,116.95394166666667,4623.0,4656.0,2.212121212121212,73.0,33.0
21,-32.044783333333335,116.94489666666668,4707.0,4727.0,1.5,30.0,20.0
22,-32.03638055555556,116.94095277777778,4732.0,4757.0,1.76,44.0,25.0
23,-32.020471794871796,116.93608205128204,4840.0,4872.0,2.15625,69.0,32.0
24,-31.965469444444448,116.97399166666669,5154.0,5205.0,1.7450980392156863,89.0,51.0
25,-31.96287013888889,116.97638680555553,5206.0,5229.0,2.9565217391304346,68.0,23.0
26,-31.95500666666667,117.03041,5742.0,5762.0,3.35,67.0,20.0
27,-31.950951041666666,117.03004791666667,5905.0,5928.0,4.173913043478261,96.0,23.0
28,-31.9521375,117.03055,5933.0,5953.0,3.2,64.0,20.0
29,-31.95153253968254,117.02920793650793,5957.0,5977.0,3.9,78.0,20.0
30,-31.954825,117.03730833333334,6035.0,6060.0,3.04,76.0,25.0
31,-31.985538888888886,117.09487777777777,6269.0,6294.0,2.2,55.0,25.0
32,-32.01014898989899,117.02725454545454,6743.0,6777.0,2.323529411764706,79.0,34.0
33,-32.072950000000006,116.99247333333335,7007.0,7052.0,1.8666666666666667,84.0,45.0
34,-32.12576296296296,116.97300185185185,7338.0,7368.0,2.1333333333333333,64.0,30.0
35,-32.12585444444444,116.95003333333332,7469.0,7514.0,1.2666666666666666,57.0,45.0
36,-32.124249999999996,116.93763125,7653.0,7677.0,1.6666666666666667,40.0,24.0
37,-32.121464102564104,116.96522692307691,7749.0,7796.0,2.276595744680851,107.0,47.0
38,-32.121182051282055,116.96292884615384,7840.0,7866.0,2.9615384615384617,77.0,26.0
39,-32.1196385620915,116.96051503267977,7916.0,7966.0,3.14,157.0,50.0
40,-32.11925378787878,116.95789848484851,8009.0,8030.0,4.285714285714286,90.0,21.0
41,-32.11866369047619,116.95565654761906,8062.0,8090.0,3.7857142857142856,106.0,28.0
42,-32.11885364583333,116.95426562499999,8095.0,8126.0,3.774193548387097,117.0,31.0
43,-32.046394444444445,116.94500833333335,8370.0,8395.0,1.36,34.0,25.0
44,-31.966414583333332,117.04825833333334,8996.0,9031.0,0.8571428571428571,30.0,35.0
45,-31.978047222222227,117.07995555555556,9146.0,9169.0,1.565217391304348,36.0,23.0
46,-32.00420490196079,117.07379117647059,9502.0,9544.0,1.5,63.0,42.0
47,-32.00391231884058,117.06618985507244,9691.0,9713.0,3.3636363636363638,74.0,22.0
48,-32.0030612244898,117.06375544217687,9739.0,9787.0,3.5833333333333335,172.0,48.0
49,-32.00221344086022,117.06217903225807,9790.0,9820.0,3.6,108.0,30.0
50,-32.002294202898554,117.0596775362319,9824.0,9846.0,4.636363636363637,102.0,22.0
51,-32.00136600877194,117.05791359649125,9847.0,9922.0,4.213333333333333,316.0,75.0
