cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-32.132899166666675,116.96347749999998,409.0,485.0,2.223684210526316,169.0,76.0
1,-32.13088550724638,116.95971594202899,489.0,577.0,2.1818181818181817,192.0,88.0
2,-32.128975,116.95583888888888,625.0,645.0,2.15,43.0,20.0
3,-32.070005555555554,116.92833055555555,1169.0,1189.0,2.3,46.0,20.0
4,-32.068242000000005,116.92319133333332,1233.0,1329.0,2.34375,225.0,96.0
5,-32.06012777777778,116.91964444444444,1357.0,1377.0,2.25,45.0,20.0
6,-32.05744523809524,116.91474166666664,1385.0,1437.0,1.9230769230769231,100.0,52.0
7,-31.956864285714286,116.8994476190476,1797.0,1821.0,1.3333333333333333,32.0,24.0
8,-31.954535185185186,116.89509259259259,1873.0,1905.0,2.25,72.0,32.0
9,-31.950609259259256,116.89109212962961,1913.0,2053.0,1.7642857142857142,247.0,140.0
10,-31.948891666666665,116.88690000000001,2069.0,2089.0,2.45,49.0,20.0
11,-31.93391913580247,116.87806049382716,2149.0,2253.0,2.7788461538461537,289.0,104.0
12,-31.917938888888887,116.87306666666667,2281.0,2301.0,1.85,37.0,20.0
13,-31.83360098039215,116.86484137254901,2561.0,2897.0,3.2589285714285716,1095.0,336.0
14,-31.784402083333333,116.86190416666666,3013.0,3041.0,4.178571428571429,117.0,28.0
15,-31.781168518518516,116.86015740740741,3045.0,3077.0,3.53125,113.0,32.0
16,-31.780466666666666,116.85698833333333,3085.0,3121.0,3.6944444444444446,133.0,36.0
17,-31.639458333333334,116.81096944444444,3481.0,3501.0,4.2,84.0,20.0
18,-31.637684166666663,116.81011583333331,3505.0,3581.0,2.973684210526316,226.0,76.0
19,-31.531788888888887,116.77275555555555,3909.0,3929.0,1.5,30.0,20.0
20,-31.513181313131312,116.77781767676768,3957.0,4085.0,4.625,592.0,128.0
21,-31.374911111111103,116.73679166666665,4429.0,4473.0,2.590909090909091,114.0,44.0
22,-31.373044444444446,116.73450555555554,4509.0,4529.0,4.15,83.0,20.0
23,-31.286525396825397,116.73267698412697,4737.0,4817.0,3.925,314.0,80.0
24,-31.28300777777778,116.73016888888887,4837.0,4893.0,2.7142857142857144,152.0,56.0
25,-31.282364583333333,116.72797708333334,4905.0,4933.0,3.392857142857143,95.0,28.0
26,-31.194657692307693,116.72661025641024,5141.0,5189.0,3.3541666666666665,161.0,48.0
27,-31.195191666666663,116.72562142857144,5193.0,5245.0,2.1923076923076925,114.0,52.0
28,-31.122413888888886,116.73556388888888,5449.0,5469.0,3.0,60.0,20.0
29,-31.074564358974357,116.73285564102565,5637.0,5893.0,3.6171875,926.0,256.0
30,-31.119536111111113,116.82646944444444,6313.0,6333.0,2.95,59.0,20.0
31,-31.118755050505055,116.82161111111112,6361.0,6489.0,2.78125,356.0,128.0
32,-31.11816764705882,116.81778333333332,6493.0,6557.0,2.890625,185.0,64.0
33,-31.138354166666666,116.84715208333333,6673.0,6701.0,2.3214285714285716,65.0,28.0
34,-31.17280641025641,116.98093333333334,7045.0,7093.0,2.5625,123.0,48.0
35,-31.173627777777778,116.98117777777777,7097.0,7117.0,2.1,42.0,20.0
36,-31.190114583333333,117.02351458333334,7217.0,7245.0,2.892857142857143,81.0,28.0
37,-31.21261666666667,117.06811904761904,7361.0,7385.0,3.9583333333333335,95.0,24.0
38,-31.21198174603174,117.06740158730157,7389.0,7469.0,2.8625,229.0,80.0
39,-31.210058974358976,117.064408974359,7473.0,7521.0,2.375,114.0,48.0
40,-31.292191666666668,117.22659722222222,8041.0,8061.0,1.5,30.0,20.0
41,-31.29561458333334,117.24862333333336,8089.0,8245.0,3.0833333333333335,481.0,156.0
42,-31.295352083333334,117.25440208333333,8273.0,8301.0,3.2857142857142856,92.0,28.0
43,-31.30777564102564,117.34057564102565,8497.0,8545.0,3.3958333333333335,163.0,48.0
44,-31.30996403508772,117.34346754385967,8565.0,8637.0,4.694444444444445,338.0,72.0
45,-31.308850000000003,117.34274166666667,8641.0,8685.0,3.9545454545454546,174.0,44.0
46,-31.308461538461536,117.34210384615383,8689.0,8737.0,3.7708333333333335,181.0,48.0
47,-31.307425000000002,117.34243229166667,8741.0,8801.0,3.216666666666667,193.0,60.0
48,-31.30702777777778,117.34011944444444,8805.0,8849.0,3.977272727272727,175.0,44.0
49,-31.396397826086957,117.58923260869565,9465.0,9553.0,2.5795454545454546,227.0,88.0
50,-31.397879629629628,117.59050925925925,9557.0,9589.0,1.53125,49.0,32.0
51,-31.427209999999995,117.66096133333335,9785.0,9881.0,2.0416666666666665,196.0,96.0
52,-31.43295625,117.66690208333333,9889.0,9949.0,3.0,180.0,60.0
53,-31.434541228070177,117.66212938596492,9973.0,10121.0,2.695945945945946,399.0,148.0
54,-31.47584865591398,117.73647338709678,10337.0,10581.0,3.1147540983606556,760.0,244.0
55,-31.476807142857144,117.74068571428573,10605.0,10629.0,2.7916666666666665,67.0,24.0
56,-31.53865,117.83727291666666,10865.0,10893.0,1.3214285714285714,37.0,28.0
57,-31.606313636363634,117.89320454545455,11113.0,11153.0,2.475,99.0,40.0
58,-31.604980555555557,117.89035000000001,11157.0,11177.0,2.0,40.0,20.0
59,-31.616655555555553,117.83824722222222,11269.0,11289.0,2.4,48.0,20.0
60,-31.62584375,117.792975,11357.0,11385.0,1.8928571428571428,53.0,28.0
61,-31.6276,117.78888541666667,11389.0,11417.0,2.357142857142857,66.0,28.0
62,-31.631343589743587,117.77252435897435,11465.0,11513.0,2.2708333333333335,109.0,48.0
63,-31.633671666666668,117.69517999999998,11645.0,11681.0,2.2222222222222223,80.0,36.0
64,-31.68488888888889,117.56217222222223,11989.0,12009.0,2.95,59.0,20.0
65,-31.682420833333335,117.55849523809523,12017.0,12125.0,2.0,216.0,108.0
66,-31.67804861111111,117.55249583333331,12157.0,12201.0,1.25,55.0,44.0
67,-31.77419074074074,117.41552592592592,12593.0,12625.0,1.5625,50.0,32.0
68,-31.793707575757573,117.37903636363636,12837.0,12877.0,2.025,81.0,40.0
69,-31.791429487179485,117.37557435897436,12881.0,12929.0,1.8541666666666667,89.0,48.0
70,-31.787473333333324,117.36949166666668,12969.0,13085.0,2.2155172413793105,257.0,116.0
71,-31.780539007092194,117.355874822695,13089.0,13461.0,2.1478494623655915,799.0,372.0
72,-31.915013888888893,117.17285833333334,14005.0,14025.0,1.55,31.0,20.0
73,-31.985788888888887,117.09309814814816,14301.0,14333.0,2.21875,71.0,32.0
74,-31.985574999999997,117.0870128787879,14337.0,14421.0,2.6904761904761907,226.0,84.0
75,-31.984264583333335,117.08125208333333,14425.0,14453.0,3.2142857142857144,90.0,28.0
76,-31.98257948717949,117.07866923076925,14457.0,14505.0,4.0,192.0,48.0
77,-31.9805438271605,117.07291419753089,14509.0,14613.0,3.2788461538461537,341.0,104.0
78,-32.12122142857143,116.95136904761905,14933.0,14957.0,4.291666666666667,103.0,24.0
79,-32.13398333333333,116.94041296296297,15181.0,15213.0,0.96875,31.0,32.0
80,-32.13013095238095,116.93171904761905,15321.0,15345.0,1.7916666666666667,43.0,24.0
