lat,lon,climb_rate_ms,alt_gain_m,duration_s,circle_cluster_id,alt_cluster_id,circle_lat,circle_lon,alt_lat,alt_lon,dist_m,time_overlap_s,overlap_frac
-32.133723438877865,116.94127989693564,1.8571428571428572,52.0,28.0,0,3,-32.13433437775573,116.9439556272046,-32.1331125,116.93860416666666,521.8944674214198,28.0,1.0
-32.13544938637452,116.9523167285281,2.2819767441860463,785.0,344.0,1,5,-32.1357359375,116.95479016203704,-32.13516283524904,116.94984329501916,470.13215157532704,116.0,1.0
-32.402831522817465,116.97740979662699,2.1857142857142855,306.0,140.0,2,12,-32.402489434523815,116.97639598214286,-32.40317361111111,116.97842361111111,204.99747650177574,52.0,1.0
-32.79515680555555,117.00400498015873,1.55,31.0,20.0,4,22,-32.795002499999995,117.00488773809525,-32.79531111111111,117.00312222222222,168.55636447386883,20.0,1.0
-32.795791437251985,117.01662455150463,1.8,36.0,20.0,5,29,-32.79582454117064,117.01492132523148,-32.79575833333333,117.01832777777777,318.49062972063086,20.0,1.0
-32.66077566468255,117.13786733878968,1.8392857142857142,103.0,56.0,7,33,-32.66100910714286,117.13816245535713,-32.660542222222226,117.1375722222222,75.81652317910921,56.0,1.0
-32.66024547827903,117.14363066694514,1.6805555555555556,121.0,72.0,8,35,-32.66045674603174,117.14420343915344,-32.66003421052632,117.14305789473684,117.07932107937724,24.0,0.42857142857142855
-32.583452991822995,117.20351748100047,1.875,45.0,24.0,9,37,-32.583636936026934,117.20377305723905,-32.58326904761905,117.2032619047619,62.98446608212097,24.0,1.0
-32.515475520833334,117.24020771329364,1.5833333333333333,38.0,24.0,10,42,-32.515401041666664,117.24080590277777,-32.51555,117.23960952380953,113.39450666704352,20.0,0.8333333333333334
-32.27958555602797,117.42315287226002,1.5625,50.0,32.0,12,55,-32.279252593537414,117.42168537414966,-32.27991851851852,117.42462037037038,285.6825741837384,32.0,1.0
-32.186283333333336,117.16406888888889,1.0,36.0,36.0,15,59,-32.18625,117.16379444444445,-32.18631666666667,117.16434333333333,52.18333971953527,32.0,0.8888888888888888
