cluster_id,lat,lon,t_start,t_end,climb_rate_ms,climb_rate_ms_median,alt_gain_m_mean,duration_s_mean,n_circles
0,-32.13289173633821,116.98256430544055,653.0,857.0,1.5895739280290655,1.5318563789152182,44.105696283559794,29.142857142857142,7
1,-32.133083424904235,116.97415067849109,857.0,1572.0,1.650270031095192,1.736886244807617,47.757088678232606,29.27777777777778,18
2,-31.867420181069956,116.86491542386831,2281.0,2357.0,3.1228245828245953,3.158461538461545,79.08779812779845,25.333333333333332,3
3,-31.867171225682664,116.85824893768776,2381.0,2513.0,2.9577787040545855,3.1024630541872233,77.46760675340037,26.4,5
4,-31.69885754764559,116.80319163569925,2991.0,3058.0,2.4634852265287033,2.440259740259738,54.60402319097967,22.333333333333332,3
5,-31.485495496777915,116.7017679023312,3627.0,3780.0,2.644011693205259,2.7781196581196763,67.27163950147865,25.5,6
6,-31.243022240259744,116.55776356421356,4497.0,4556.0,1.7155708417117927,1.7155708417117927,50.59681646953383,29.5,2
7,-31.19334378694046,116.52626572451078,4772.0,4969.0,3.9448400989828394,3.991131057847684,96.4647478456127,24.625,8
8,-30.855016472068378,116.38877971162343,5873.0,6101.0,2.8394662240133024,2.8048713738368782,71.01566087136426,25.333333333333332,9
9,-30.72864861111111,116.36437665229886,6706.0,6769.0,2.5845737362978785,2.5845737362978785,81.2428393911154,31.5,2
10,-30.56623324538637,116.29503994031961,7262.0,7481.0,3.409815958341705,3.454847478103368,106.18580811674344,31.285714285714285,7
11,-30.68097763888889,116.76472791666666,8720.0,8788.0,2.435773175114305,2.435773175114305,85.01406372934676,34.0,2
12,-30.67789740732021,116.75706649484985,8859.0,8982.0,2.1975501686455092,2.224931581828109,67.65173223063718,30.75,4
13,-30.737061116948055,116.98809874910964,9666.0,9897.0,4.382387581273921,4.733497536945781,111.0963343569183,25.666666666666668,9
14,-30.843789848928946,117.48431137797805,11092.0,11230.0,2.443291768139283,2.5665106951871,67.58766808749043,27.6,5
15,-30.900760997150996,117.72876934472934,12045.0,12124.0,2.192887443788445,2.1499443826473468,57.68877860490759,26.333333333333332,3
16,-30.976979103535353,117.82281637626262,12759.0,12832.0,2.1708502954220266,3.303783173348369,46.95239619193305,24.333333333333332,3
17,-31.106037361111113,117.72355700617283,13341.0,13392.0,2.4070465046577096,2.4070465046577096,61.233244423524546,25.5,2
18,-31.103679552469135,117.72151093106994,13392.0,13464.0,2.055179345614125,2.167277167277178,49.43640211640206,24.0,3
19,-31.20002051136364,117.64420497474747,14184.0,14269.0,1.8193513947563424,1.8193513947563424,76.64222794866043,42.5,2
20,-31.308718816727055,117.58585784541063,14718.0,14811.0,4.07869337184553,3.7550790513833823,95.14845317725718,23.25,4
21,-31.307584280037396,117.58235354137447,14811.0,14863.0,3.5323847698584316,3.5323847698584316,91.78181977559507,26.0,2
22,-31.305315683760682,117.57952226884227,14863.0,14949.0,2.9087544809646046,2.628008021390303,81.78302757050338,28.666666666666668,3
23,-31.64710259057971,117.31780239130434,15994.0,16035.0,2.630451127819519,2.630451127819519,52.228571428570774,20.5,2
24,-31.644480322906944,117.31348362433864,16056.0,16113.0,5.1823870653498165,4.759740259740236,99.19178718303347,19.0,3
25,-31.642042982456136,117.31072529239766,16113.0,16165.0,5.961128310973493,6.228070175438545,103.41520467836223,17.333333333333332,3
26,-31.638675780423284,117.30849535714283,16165.0,16223.0,6.0957621326042215,6.023376623376659,117.82727272727244,19.333333333333332,3
27,-31.97398204301075,117.08102107526882,17408.0,17467.0,2.484295050055623,2.484295050055623,73.08991935483888,29.5,2
28,-31.981835559964725,117.07537387933569,17570.0,17639.0,2.822437128089318,3.0480519480519805,64.9998701298705,23.0,3
29,-31.97615263888889,117.06635819444443,17710.0,17766.0,2.5325864717410838,2.5325864717410838,70.94090259017943,28.0,2
30,-32.336020624387885,117.12299705556647,19279.0,19489.0,1.5930829410624414,1.7349753694581518,46.26293565109394,30.0,7
31,-32.10677378899836,116.93794821428573,21691.0,21746.0,2.370224411603727,2.370224411603727,64.96330049261097,27.5,2
32,-32.10384678571428,116.93584897135956,21746.0,21819.0,1.6697791280849676,1.6215415019762596,40.49531344217986,24.333333333333332,3
33,-32.12742561728395,116.93732870370371,22406.0,22458.0,2.467032967032993,2.467032967032993,64.14285714285782,26.0,2
