cluster_id,lat,lon,t_start,t_end,climb_rate_ms,climb_rate_ms_median,alt_gain_m_mean,duration_s_mean,n_circles
0,-31.672072692307694,117.15214820512821,1114.0,1177.0,0.9825452325452164,0.9825452325452164,31.053446553446015,31.5,2
1,-31.652155769230774,117.1910467948718,3850.0,3922.0,0.24358974358971794,0.24358974358971794,8.769230769229846,36.0,2
2,-31.331037037037035,117.20225370370372,4841.0,4889.0,2.4416666666666673,2.4416666666666673,58.60000000000001,24.0,2
3,-31.328532138047137,117.20904366951568,4937.0,5078.0,2.8457464757464668,2.588888888888875,79.5729337329334,28.2,5
4,-31.11122037037037,117.18278333333333,5669.0,5717.0,2.8777777777777596,2.8777777777777596,69.06666666666622,24.0,2
5,-30.85218252314815,117.1375136574074,6602.0,6647.0,2.8273809523809543,2.8273809523809543,63.95833333333336,22.5,2
6,-30.944708024691355,117.27687469135803,7106.0,7178.0,3.424074074074069,3.494444444444465,82.17777777777765,24.0,3
7,-31.350036164529914,117.61526004273504,8781.0,8859.0,3.1509971509971346,3.115079365079372,81.25335775335721,26.0,3
8,-31.51816388888889,117.70190092592591,9435.0,9483.0,3.4944444444444116,3.4944444444444116,83.86666666666588,24.0,2
9,-31.661422916666666,118.34187708333333,11447.0,11510.0,2.9246031746031793,2.9920634920634916,61.416666666666764,21.0,3
10,-31.680943333333335,118.1300225,12257.0,12362.0,4.507936507936508,4.496031746031751,94.66666666666669,21.0,5
11,-31.68780436307519,117.91953746492705,13019.0,13157.0,2.439886964886948,2.607142857142856,54.690656565656155,23.0,6
