cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-31.621389613526567,117.18875869565218,188.0,392.0,3.1715686274509802,647.0,204.0
1,-31.61009242424242,117.16986666666668,518.0,548.0,1.2,36.0,30.0
2,-31.643699999999995,117.17448333333333,760.0,814.0,1.5925925925925926,86.0,54.0
3,-31.671723611111116,117.14544166666668,1033.0,1066.0,2.515151515151515,83.0,33.0
4,-31.688844999999997,117.12046000000001,1321.0,1348.0,3.7777777777777777,102.0,27.0
5,-31.68803125,117.12292291666667,1378.0,1399.0,1.7619047619047619,37.0,21.0
6,-31.737033333333333,117.078375,1894.0,1915.0,1.5238095238095237,32.0,21.0
7,-31.761227777777776,117.0626851851852,2203.0,2227.0,2.8333333333333335,68.0,24.0
8,-31.797485416666667,117.0091375,2467.0,2488.0,2.2857142857142856,48.0,21.0
9,-31.77851666666667,116.95365,2677.0,2698.0,2.3333333333333335,49.0,21.0
10,-31.717159090909092,117.05123030303027,3109.0,3139.0,2.7666666666666666,83.0,30.0
11,-31.668641666666662,117.14992314814816,3478.0,3529.0,2.1372549019607843,109.0,51.0
12,-31.668510416666667,117.15310416666667,3532.0,3553.0,2.0476190476190474,43.0,21.0
13,-31.48913,117.170145,4355.0,4382.0,1.9259259259259258,52.0,27.0
14,-31.3302496124031,117.20460038759691,4835.0,4961.0,2.3968253968253967,302.0,126.0
15,-31.328401282051285,117.20978076923076,4967.0,5003.0,2.2777777777777777,82.0,36.0
16,-31.329055555555556,117.20847222222221,5006.0,5039.0,4.03030303030303,133.0,33.0
17,-31.32779375,117.21083541666667,5063.0,5084.0,3.7142857142857144,78.0,21.0
18,-31.266424999999998,117.21081875,5219.0,5240.0,4.761904761904762,100.0,21.0
19,-31.176236666666664,117.17990666666667,5438.0,5465.0,4.962962962962963,134.0,27.0
20,-31.111887280701747,117.18124166666666,5615.0,5726.0,3.5585585585585586,395.0,111.0
21,-30.949644999999997,117.14930666666666,6167.0,6194.0,3.1481481481481484,85.0,27.0
22,-30.890814814814817,117.10138518518518,6350.0,6374.0,4.791666666666667,115.0,24.0
23,-30.848393859649125,117.09592894736842,6455.0,6475.0,3.6,72.0,20.0
24,-30.852623809523813,117.13776972789117,6551.0,6695.0,2.986111111111111,430.0,144.0
25,-30.883439583333335,117.18059583333334,6770.0,6791.0,4.857142857142857,102.0,21.0
26,-30.94478125,117.27583125,7106.0,7127.0,3.619047619047619,76.0,21.0
27,-30.94452037037037,117.28244259259259,7184.0,7208.0,3.375,81.0,24.0
28,-30.986135416666666,117.32584583333335,7308.0,7329.0,2.761904761904762,58.0,21.0
29,-31.00739375,117.35022083333332,7371.0,7392.0,4.238095238095238,89.0,21.0
30,-31.038408333333333,117.39918333333334,7509.0,7542.0,2.393939393939394,79.0,33.0
31,-31.040783333333334,117.40332916666667,7566.0,7599.0,3.3636363636363638,111.0,33.0
32,-31.112761904761904,117.52422380952378,7884.0,7923.0,3.948717948717949,154.0,39.0
33,-31.175263333333334,117.57424833333334,8076.0,8103.0,3.962962962962963,107.0,27.0
34,-31.276347916666666,117.59875,8394.0,8415.0,2.4285714285714284,51.0,21.0
