cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-31.636290000000002,117.24359166666667,208.0,245.0,3.5135135135135136,130.0,37.0
1,-31.628208333333333,117.25030208333334,353.0,381.0,2.8214285714285716,79.0,28.0
2,-31.62107261904762,117.25036904761906,397.0,449.0,1.8076923076923077,94.0,52.0
3,-31.61900138888889,117.24973472222223,461.0,505.0,2.272727272727273,100.0,44.0
4,-31.61695,117.25038125,513.0,541.0,2.2857142857142856,64.0,28.0
5,-31.613165,117.25057666666666,597.0,633.0,1.4722222222222223,53.0,36.0
6,-31.63059285714286,117.24799761904762,697.0,722.0,2.04,51.0,25.0
7,-31.639670000000002,117.24570666666668,838.0,874.0,1.6388888888888888,59.0,36.0
8,-31.63694166666667,117.24634166666668,878.0,898.0,1.75,35.0,20.0
9,-31.637247619047617,117.24599047619049,906.0,930.0,1.9583333333333333,47.0,24.0
10,-31.63252380952381,117.24777261904762,958.0,1122.0,1.4451219512195121,237.0,164.0
11,-31.628766666666667,117.25203703703703,1126.0,1158.0,1.15625,37.0,32.0
12,-31.62619722222222,117.25132222222221,1242.0,1262.0,1.5,30.0,20.0
13,-31.638429824561406,117.22786228070177,1864.0,1888.0,2.6666666666666665,64.0,24.0
14,-31.62811851851852,117.23641481481484,2289.0,2321.0,1.4375,46.0,32.0
15,-31.625519444444446,117.23550833333333,2329.0,2349.0,1.65,33.0,20.0
16,-31.624585416666665,117.23676875000001,2357.0,2385.0,1.0714285714285714,30.0,28.0
17,-31.638473809523813,117.20685714285715,2778.0,2802.0,1.7083333333333333,41.0,24.0
18,-31.637761904761906,117.20860714285716,2818.0,2842.0,1.2916666666666667,31.0,24.0
19,-31.63729722222222,117.21113611111112,2894.0,2914.0,2.3,46.0,20.0
20,-31.54070952380952,117.34650952380953,3594.0,3618.0,2.4166666666666665,58.0,24.0
21,-31.515955555555554,117.38417500000001,3750.0,3770.0,2.4,48.0,20.0
22,-31.496433333333332,117.41042916666666,3818.0,3846.0,2.4285714285714284,68.0,28.0
23,-31.49246203703704,117.41509537037035,3858.0,3926.0,2.485294117647059,169.0,68.0
24,-31.490333333333336,117.41772857142857,3938.0,3962.0,1.9583333333333333,47.0,24.0
25,-31.441625000000002,117.49028958333334,4142.0,4170.0,3.25,91.0,28.0
26,-31.389266666666668,117.57137037037036,4346.0,4378.0,3.125,100.0,32.0
27,-31.348852083333334,117.62373541666668,4522.0,4550.0,3.107142857142857,87.0,28.0
28,-31.277088095238096,117.72593809523809,4850.0,4874.0,1.3333333333333333,32.0,24.0
29,-31.225550000000005,117.79877777777779,5078.0,5110.0,1.875,60.0,32.0
30,-31.219387499999996,117.80654444444444,5202.0,5246.0,2.1363636363636362,94.0,44.0
31,-31.221777777777774,117.81027962962963,5262.0,5294.0,1.8125,58.0,32.0
32,-31.22095,117.81118888888888,5302.0,5322.0,3.5,70.0,20.0
33,-31.219935714285718,117.8124238095238,5326.0,5350.0,2.25,54.0,24.0
34,-31.21867142857143,117.81415000000001,5354.0,5378.0,2.375,57.0,24.0
35,-31.21775416666667,117.81629916666665,5382.0,5458.0,2.0789473684210527,158.0,76.0
36,-31.216289583333335,117.82131875,5462.0,5490.0,2.0357142857142856,57.0,28.0
37,-31.21585833333333,117.82224166666667,5494.0,5514.0,2.6,52.0,20.0
38,-31.21510166666667,117.82360833333334,5518.0,5554.0,3.2222222222222223,116.0,36.0
39,-31.213926190476197,117.82581428571429,5566.0,5590.0,3.2916666666666665,79.0,24.0
40,-31.212408333333332,117.82752777777779,5598.0,5618.0,3.25,65.0,20.0
41,-31.18775,117.846825,5686.0,5714.0,3.5714285714285716,100.0,28.0
42,-31.18620952380952,117.84988095238096,5722.0,5746.0,2.125,51.0,24.0
43,-31.185764999999996,117.85153833333334,5766.0,5842.0,2.710526315789474,206.0,76.0
44,-31.186441666666667,117.85927291666667,5846.0,5874.0,2.0357142857142856,57.0,28.0
