cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-31.632058333333333,117.23640333333333,199.0,235.0,3.388888888888889,122.0,36.0
1,-31.645874074074072,117.23130925925926,255.0,287.0,2.96875,95.0,32.0
2,-31.66716428571429,117.23074047619048,343.0,367.0,3.5833333333333335,86.0,24.0
3,-31.66872619047619,117.25103571428572,399.0,422.0,2.0,46.0,23.0
4,-31.661076388888883,117.23717777777779,782.0,802.0,2.05,41.0,20.0
5,-31.65765,117.24041904761904,850.0,874.0,1.7083333333333333,41.0,24.0
6,-31.63919761904762,117.24521190476189,1287.0,1308.0,1.8095238095238095,38.0,21.0
7,-31.63581944444445,117.24573055555555,1528.0,1548.0,2.1,42.0,20.0
8,-31.629695238095234,117.24950714285714,1688.0,1712.0,2.5833333333333335,62.0,24.0
9,-31.62883888888889,117.24979166666667,1844.0,1864.0,2.3,46.0,20.0
10,-31.6305619047619,117.24757619047621,2104.0,2128.0,1.5416666666666667,37.0,24.0
11,-31.643538095238092,117.22580952380953,2350.0,2374.0,2.2916666666666665,55.0,24.0
12,-31.64315416666667,117.2291625,2382.0,2404.0,3.0,66.0,22.0
13,-31.638558333333336,117.22777564102563,2463.0,2488.0,2.92,73.0,25.0
14,-31.53038888888889,117.36878148148149,3075.0,3107.0,2.5625,82.0,32.0
15,-31.529152777777778,117.37090277777777,3111.0,3131.0,2.85,57.0,20.0
16,-31.52815,117.37215238095236,3135.0,3159.0,2.25,54.0,24.0
17,-31.528272222222224,117.37275,3171.0,3191.0,2.8,56.0,20.0
18,-31.528150000000004,117.37266666666666,3195.0,3259.0,2.703125,173.0,64.0
19,-31.406033333333333,117.54626190476192,3759.0,3783.0,2.6666666666666665,64.0,24.0
20,-31.391663888888885,117.56375555555555,3955.0,3975.0,1.85,37.0,20.0
21,-31.322956060606064,117.67651363636364,4263.0,4303.0,2.95,118.0,40.0
22,-31.32387435897436,117.67792692307692,4311.0,4359.0,2.9375,141.0,48.0
23,-31.323207407407406,117.6791,4380.0,4412.0,3.34375,107.0,32.0
24,-31.324274999999997,117.68085476190477,4416.0,4468.0,2.5961538461538463,135.0,52.0
25,-31.322630833333335,117.68435666666667,4472.0,4548.0,2.789473684210526,212.0,76.0
26,-31.176372849462368,117.81330026881722,4940.0,5184.0,4.090163934426229,998.0,244.0
27,-31.17503888888889,117.82074999999999,5188.0,5208.0,4.4,88.0,20.0
28,-31.173716666666667,117.82232619047618,5212.0,5236.0,4.25,102.0,24.0
29,-31.17373333333333,117.82321666666667,5240.0,5260.0,3.75,75.0,20.0
30,-31.17374285714286,117.8260976190476,5264.0,5288.0,2.4583333333333335,59.0,24.0
31,-31.175066666666662,117.82575952380952,5296.0,5320.0,3.0,72.0,24.0
32,-31.17333333333333,117.82770000000001,5324.0,5344.0,3.7,74.0,20.0
33,-31.139870833333333,117.89427291666667,5512.0,5540.0,4.035714285714286,113.0,28.0
34,-31.08450714285714,117.95741190476191,5676.0,5700.0,6.25,150.0,24.0
35,-30.983226666666667,118.04748666666667,6008.0,6044.0,3.2222222222222223,116.0,36.0
36,-30.911166666666666,118.10331458333333,6284.0,6312.0,3.8214285714285716,107.0,28.0
37,-30.911660256410258,118.10928846153844,6348.0,6396.0,3.2708333333333335,157.0,48.0
38,-30.912061111111115,118.11183888888888,6400.0,6420.0,4.1,82.0,20.0
39,-30.906618627450978,118.12964215686274,6500.0,6564.0,3.046875,195.0,64.0
40,-30.894948148148146,118.17290185185185,6640.0,6672.0,3.4375,110.0,32.0
41,-30.89538333333333,118.17825555555555,6732.0,6752.0,4.4,88.0,20.0
42,-30.894816666666664,118.18198209876545,6793.0,6819.0,3.3076923076923075,86.0,26.0
43,-30.89425158730158,118.18507698412697,6848.0,6868.0,2.7,54.0,20.0
44,-30.892976436781613,118.18889137931033,6921.0,6949.0,3.642857142857143,102.0,28.0
45,-30.851942857142856,118.25438095238096,7157.0,7181.0,3.2916666666666665,79.0,24.0
46,-30.784185416666666,118.27273333333335,7393.0,7421.0,4.785714285714286,134.0,28.0
47,-30.57909047619048,118.56507857142859,8129.0,8153.0,2.9583333333333335,71.0,24.0
48,-30.579392424242425,118.56861060606062,8157.0,8197.0,3.1,124.0,40.0
49,-30.580435087719298,118.57636929824562,8269.0,8341.0,2.4722222222222223,178.0,72.0
50,-30.606818181818177,118.5687393939394,8429.0,8469.0,2.775,111.0,40.0
51,-30.612035714285714,118.57180476190477,8481.0,8505.0,2.25,54.0,24.0
52,-30.73468571428571,118.54729761904761,8849.0,8873.0,3.5,84.0,24.0
53,-30.737947916666666,118.54928749999999,8925.0,8953.0,2.8214285714285716,79.0,28.0
54,-30.73760833333333,118.55154166666665,8957.0,8977.0,3.7,74.0,20.0
55,-30.737268333333333,118.55484333333334,8981.0,9057.0,3.0789473684210527,234.0,76.0
56,-30.73730888888889,118.55855111111109,9065.0,9121.0,2.125,119.0,56.0
57,-30.7552125,118.56680833333334,9257.0,9317.0,3.3666666666666667,202.0,60.0
58,-30.753677777777778,118.56878611111112,9321.0,9341.0,4.7,94.0,20.0
59,-30.83980588235294,118.58614019607843,9541.0,9605.0,3.25,208.0,64.0
60,-30.96173148148148,118.57791759259258,9877.0,9945.0,2.735294117647059,186.0,68.0
61,-30.966919841269835,118.58211428571428,9949.0,10029.0,2.6125,209.0,80.0
62,-30.96748095238095,118.58947619047622,10061.0,10085.0,3.7916666666666665,91.0,24.0
63,-30.971366666666672,118.59202142857144,10093.0,10117.0,3.6666666666666665,88.0,24.0
64,-30.983164285714285,118.60183333333332,10273.0,10297.0,2.7083333333333335,65.0,24.0
65,-30.983997619047614,118.60568571428573,10301.0,10325.0,3.75,90.0,24.0
66,-31.0853,118.55269166666666,10562.0,10582.0,3.4,68.0,20.0
67,-31.207516666666667,118.49931805555555,10902.0,10946.0,2.6136363636363638,115.0,44.0
68,-31.21015444444445,118.50602444444445,11026.0,11082.0,4.303571428571429,241.0,56.0
69,-31.21023484848485,118.5083484848485,11090.0,11130.0,4.1,164.0,40.0
70,-31.212466666666664,118.5117238095238,11186.0,11210.0,3.1666666666666665,76.0,24.0
71,-31.352771428571426,118.40118571428572,11818.0,11842.0,2.9166666666666665,70.0,24.0
72,-31.357588888888888,118.40230277777778,11862.0,11882.0,1.9,38.0,20.0
73,-31.362033333333333,118.39703888888887,11890.0,11910.0,4.95,99.0,20.0
74,-31.48823888888889,118.33787222222223,12330.0,12350.0,3.4,68.0,20.0
75,-31.506408333333336,118.21261666666668,12662.0,12682.0,2.85,57.0,20.0
76,-31.515483333333332,118.1610222222222,12838.0,12858.0,1.9,38.0,20.0
77,-31.515495238095237,118.13024523809523,12974.0,12998.0,2.7083333333333335,65.0,24.0
78,-31.516222916666667,118.12890625,13034.0,13062.0,3.0,84.0,28.0
79,-31.516925,118.13296111111111,13098.0,13118.0,3.8,76.0,20.0
80,-31.512935714285714,118.14289285714285,13198.0,13222.0,2.4166666666666665,58.0,24.0
81,-31.51296388888889,118.14623333333334,13242.0,13262.0,2.3,46.0,20.0
82,-31.54287777777778,117.93683888888889,14034.0,14054.0,3.0,60.0,20.0
83,-31.5532,117.875875,14226.0,14246.0,3.55,71.0,20.0
84,-31.551655555555556,117.86287222222222,14470.0,14490.0,2.7,54.0,20.0
85,-31.551047222222223,117.86513055555558,14494.0,14514.0,2.65,53.0,20.0
86,-31.55122777777778,117.86534444444446,14518.0,14538.0,4.3,86.0,20.0
87,-31.549433333333337,117.86529999999999,14578.0,14598.0,3.6,72.0,20.0
88,-31.546980952380952,117.86602142857143,14610.0,14634.0,2.75,66.0,24.0
89,-31.54438611111111,117.86894166666667,14642.0,14662.0,4.5,90.0,20.0
90,-31.541077083333334,117.87213541666668,14694.0,14722.0,3.1785714285714284,89.0,28.0
91,-31.538341666666668,117.87965555555554,14774.0,14794.0,4.55,91.0,20.0
92,-31.5394119047619,117.88163571428572,14802.0,14826.0,3.25,78.0,24.0
