lat,lon,climb_rate_ms,alt_gain_m,duration_s,circle_cluster_id,alt_cluster_id,circle_lat,circle_lon,alt_lat,alt_lon,dist_m,time_overlap_s,overlap_frac
-31.62361188532345,117.22175722275699,4.416666666666667,106.0,24.0,0,1,-31.6236317706469,117.22200044551398,-31.623592,117.22151400000001,46.27033830197065,24.0,1.0
-31.622359943335802,117.22495614916213,4.702702702702703,174.0,37.0,1,2,-31.620915062110196,117.22515089481546,-31.623804824561404,117.22476140350878,323.4367627940984,37.0,1.0
-31.386365842739693,117.10021983811781,8.227272727272727,181.0,22.0,3,5,-31.386449076783727,117.10111866174286,-31.38628260869566,117.09932101449276,171.64167893568415,17.0,0.7727272727272727
-31.078134916244913,116.90610858891526,2.857142857142857,100.0,35.0,7,7,-31.076830480637977,116.90576995560829,-31.07943935185185,116.90644722222221,297.1775073881881,35.0,1.0
-31.026286436645183,116.89991904924783,2.9,58.0,20.0,8,13,-31.02708239709989,116.90081666992421,-31.025490476190477,116.89902142857144,246.16290515191935,20.0,1.0
-30.876996728896103,116.85026459585897,1.7916666666666667,43.0,24.0,9,16,-30.876734124458874,116.85012185838461,-30.87725933333333,116.85040733333334,64.44295983611069,24.0,1.0
-30.748421265041006,116.8537105984527,2.65,53.0,20.0,10,18,-30.747563165002646,116.85307437150858,-30.749279365079367,116.85434682539682,226.28252139498088,20.0,1.0
-30.340443632784158,116.6665538977471,3.6153846153846154,282.0,78.0,12,27,-30.340388531391095,116.66653015836339,-30.340498734177224,116.6665776371308,13.073671287553363,71.0,0.9102564102564102
-30.257589483169,116.65581016137426,2.6,104.0,40.0,13,30,-30.257609454142877,116.65575650161031,-30.257569512195122,116.65586382113823,11.22382633985918,40.0,1.0
-30.098523439091565,116.61051767128149,3.5283018867924527,187.0,53.0,14,33,-30.098128668306586,116.61017855243949,-30.098918209876548,116.61085679012348,109.38425393190732,53.0,1.0
-30.091094863712605,116.61030021845761,4.0476190476190474,85.0,21.0,15,37,-30.091535181970663,116.61051558843035,-30.090654545454548,116.61008484848486,106.33050402317124,21.0,1.0
-30.229633946023018,116.84563790039505,4.7032967032967035,428.0,91.0,16,41,-30.229759015234446,116.8461678297756,-30.22950887681159,116.84510797101449,105.55551734004248,69.0,0.971830985915493
-30.25280541364734,116.89795176932368,4.455882352941177,303.0,68.0,17,42,-30.25224875,116.89808083333334,-30.253362077294682,116.89782270531403,126.25490014574594,34.0,0.8947368421052632
-30.37222274024138,117.03026624248851,3.4,68.0,20.0,18,43,-30.3714645281018,117.03063804053257,-30.37298095238096,117.02989444444445,183.08807617366972,7.0,0.35
-30.440009424152237,117.10202064784751,4.556962025316456,360.0,79.0,19,45,-30.439937806637804,117.1019317123617,-30.440081041666666,117.10210958333332,23.333352749456093,79.0,1.0
-30.537462596153844,117.27595157692308,2.625,63.0,24.0,20,47,-30.537364525641024,117.2760744871795,-30.537560666666664,117.27582866666665,32.092558060865535,24.0,1.0
-30.77257268614604,117.70414931194802,6.16,154.0,25.0,23,52,-30.77320626972799,117.70371785466524,-30.771939102564097,117.70458076923077,163.24925664170814,25.0,1.0
-31.013994265698066,117.93757571074111,1.8636363636363635,41.0,22.0,25,55,-31.014604473425123,117.93713837800398,-31.013384057971006,117.93801304347825,159.25957471716293,22.0,1.0
-31.044246656194044,118.02496814094116,3.696774193548387,573.0,155.0,26,57,-31.04408049187527,118.02499408102764,-31.044412820512818,118.02494220085468,37.282380074280965,108.0,1.0
-31.17689991883117,118.32547476190476,3.2285714285714286,113.0,35.0,27,60,-31.17682344877345,118.32555785714285,-31.176976388888892,118.32539166666665,23.220379648580323,35.0,1.0
-31.2305281449553,118.36678790309705,3.2142857142857144,90.0,28.0,28,63,-31.23044479565773,118.36691143837804,-31.230611494252873,118.36666436781606,29.92412508100481,28.0,1.0
-31.43833664733865,118.30274715949461,3.0869565217391304,71.0,23.0,30,71,-31.44086287801063,118.30257140232257,-31.43581041666667,118.30292291666666,562.7977626630174,23.0,1.0
