cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-31.639904914529914,117.21035085470088,279.0,664.0,3.0285714285714285,1166.0,385.0
1,-31.642687777777773,117.21505555555557,669.0,739.0,1.7285714285714286,121.0,70.0
2,-31.62362380952381,117.25377619047619,874.0,904.0,1.8,54.0,30.0
3,-31.645531249999998,117.24273541666666,1059.0,1094.0,2.1142857142857143,74.0,35.0
4,-31.64158703703704,117.23183888888889,1129.0,1169.0,1.8,72.0,40.0
5,-31.640911111111112,117.23478333333333,1194.0,1219.0,2.12,53.0,25.0
6,-31.63475238095238,117.23170952380953,1434.0,1464.0,2.2333333333333334,67.0,30.0
7,-31.634778333333333,117.23724333333334,1499.0,1544.0,0.9555555555555556,43.0,45.0
8,-31.654504166666666,117.2946125,1769.0,1804.0,2.742857142857143,96.0,35.0
9,-31.65650151515151,117.29808636363637,1809.0,1859.0,2.14,107.0,50.0
10,-31.65651025641026,117.30449615384615,1869.0,1929.0,1.5666666666666667,94.0,60.0
11,-31.620491666666666,117.26732777777778,2119.0,2144.0,1.84,46.0,25.0
12,-31.622291666666666,117.23462222222223,2294.0,2319.0,1.92,48.0,25.0
13,-31.612675,117.22536458333333,2494.0,2529.0,1.3714285714285714,48.0,35.0
14,-31.61232,117.21566666666668,2689.0,2709.0,3.35,67.0,20.0
15,-31.61204166666667,117.21565,2714.0,2739.0,3.2,80.0,25.0
16,-31.611693333333335,117.21464333333333,2749.0,2769.0,1.9,38.0,20.0
17,-31.61015,117.22328888888889,2829.0,2854.0,1.32,33.0,25.0
18,-31.73075,117.33357666666666,3223.0,3243.0,2.65,53.0,20.0
19,-31.845409999999998,117.45498666666667,3558.0,3578.0,2.65,53.0,20.0
20,-31.852705555555556,117.46346944444444,3583.0,3608.0,2.44,61.0,25.0
21,-31.854859999999995,117.46927333333333,3638.0,3658.0,1.55,31.0,20.0
22,-31.85688461538462,117.48002692307692,3713.0,3773.0,2.1333333333333333,128.0,60.0
23,-31.860088095238094,117.48749464285716,3778.0,3913.0,4.511111111111111,609.0,135.0
24,-31.8596568627451,117.49427352941177,3918.0,3998.0,3.75,300.0,80.0
25,-31.883530555555556,117.53302500000001,4068.0,4093.0,5.64,141.0,25.0
26,-31.943353333333334,117.61404666666667,4258.0,4278.0,3.95,79.0,20.0
27,-31.95284166666666,117.62914444444444,4318.0,4343.0,2.44,61.0,25.0
28,-31.986053333333338,117.67107000000001,4468.0,4488.0,6.4,128.0,20.0
29,-32.01461944444444,117.69983888888889,4548.0,4573.0,7.08,177.0,25.0
30,-32.01445512820513,117.7025076923077,4578.0,4638.0,2.75,165.0,60.0
31,-32.01317407407407,117.7050611111111,4648.0,4688.0,2.5,100.0,40.0
32,-32.03616666666667,117.72555000000003,4753.0,4773.0,2.95,59.0,20.0
33,-32.07180833333334,117.73708611111113,4828.0,4853.0,4.16,104.0,25.0
34,-32.15232,117.76963666666666,5018.0,5038.0,2.95,59.0,20.0
35,-32.19393,117.79644666666665,5118.0,5138.0,3.25,65.0,20.0
36,-32.344543333333334,117.86149333333333,5478.0,5498.0,3.95,79.0,20.0
37,-32.37343333333333,117.88333235294118,5633.0,5713.0,4.5625,365.0,80.0
38,-32.373576666666665,117.89315666666667,5763.0,5783.0,2.95,59.0,20.0
39,-32.39997777777778,117.91021296296296,5828.0,5868.0,4.375,175.0,40.0
40,-32.401289999999996,117.91046333333334,5878.0,5898.0,1.95,39.0,20.0
41,-32.51374523809524,117.99185476190476,6153.0,6183.0,3.8333333333333335,115.0,30.0
42,-32.60250666666666,118.05069,6393.0,6413.0,4.2,84.0,20.0
43,-32.60143125,118.05077708333333,6428.0,6463.0,2.3142857142857145,81.0,35.0
44,-32.61801944444444,118.0586611111111,6503.0,6528.0,2.88,72.0,25.0
45,-32.61790882352941,118.05797450980393,6553.0,6633.0,2.3,184.0,80.0
46,-32.616627192982456,118.06405877192981,6638.0,6728.0,3.022222222222222,272.0,90.0
47,-32.65667916666666,118.10236458333334,6848.0,6883.0,1.1428571428571428,40.0,35.0
48,-32.71662777777778,118.18809166666666,7088.0,7113.0,3.96,99.0,25.0
49,-32.77073666666667,118.23434,7253.0,7273.0,2.65,53.0,20.0
50,-32.787083333333335,118.25095999999999,7308.0,7328.0,3.15,63.0,20.0
51,-32.79856858974359,118.27492500000001,7383.0,7508.0,3.008,376.0,125.0
52,-32.79789047619048,118.28403761904761,7513.0,7683.0,3.4705882352941178,590.0,170.0
53,-32.961799019607845,118.51297156862745,8148.0,8228.0,4.45,356.0,80.0
54,-32.96319444444444,118.51684999999999,8233.0,8258.0,3.2,80.0,25.0
55,-32.960816666666666,118.51967666666667,8273.0,8293.0,2.1,42.0,20.0
56,-33.01025208333333,118.58931875,8418.0,8453.0,3.657142857142857,128.0,35.0
57,-33.023383333333335,118.60784000000001,8473.0,8493.0,2.55,51.0,20.0
58,-33.064119444444444,118.65214166666668,8588.0,8613.0,5.4,135.0,25.0
59,-33.109574358974356,118.69228653846153,8713.0,8838.0,2.816,352.0,125.0
60,-33.192356249999996,118.82012708333333,9103.0,9138.0,3.0,105.0,35.0
61,-33.238394444444445,118.89934722222222,9338.0,9363.0,3.36,84.0,25.0
62,-33.251149999999996,118.92191388888891,9398.0,9423.0,4.28,107.0,25.0
63,-33.25284666666668,118.94862333333333,9523.0,9543.0,2.75,55.0,20.0
64,-33.26955208333334,118.97055,9593.0,9668.0,2.933333333333333,220.0,75.0
65,-33.29510555555556,119.02441555555555,9808.0,9835.0,3.4814814814814814,94.0,27.0
66,-33.29428579234973,119.02922076502733,9836.0,10064.0,3.1359649122807016,715.0,228.0
67,-33.24206458333333,118.96849583333334,10209.0,10244.0,3.6,126.0,35.0
