cluster_id,lat,lon,t_start,t_end,climb_rate_ms,climb_rate_ms_median,alt_gain_m_mean,duration_s_mean,n_circles
0,-31.642592592592592,117.21295407407408,619.0,704.0,1.508333333333335,1.508333333333335,63.566666666666805,42.5,2
1,-31.63401612554113,117.23459393939393,1399.0,1509.0,0.5886363636363505,0.5886363636363505,16.931818181817853,40.0,2
2,-31.61285198412698,117.22517430555557,2482.0,2574.0,0.8657559198542915,1.128571428571434,25.316679677335742,30.666666666666668,3
3,-31.611987797619047,117.21473115079364,2704.0,2804.0,1.5246031746031914,1.5476190476190548,49.49206349206407,33.333333333333336,3
4,-31.86030105820106,117.48782513227513,3808.0,3888.0,4.4599999999999955,4.471428571428559,118.9523809523808,26.666666666666668,3
5,-32.01301279761905,117.70528854166668,4648.0,4713.0,1.6690476190476329,1.6690476190476329,51.02380952380997,32.5,2
6,-32.37300729166667,117.88403214285714,5668.0,5733.0,1.9523809523809637,1.9523809523809637,60.58333333333373,32.5,2
7,-32.79842962962963,118.28235198412699,7518.0,7603.0,3.536666666666667,3.5314285714286013,100.21428571428567,28.333333333333332,3
8,-32.797622023809524,118.28643824404762,7603.0,7668.0,3.209523809523822,3.209523809523822,104.11904761904802,32.5,2
9,-33.29532380952381,119.02856448412697,9879.0,9934.0,3.86500000000001,3.86500000000001,105.82142857142887,27.5,2
10,-33.17573720238095,118.83162470238096,10714.0,10779.0,2.8202380952381043,2.8202380952381043,92.92261904761935,32.5,2
