cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-32.13595490196079,116.96055294117649,305.0,405.0,2.98,298.0,100.0
1,-32.13734166666667,116.98045714285716,409.0,435.0,3.8461538461538463,100.0,26.0
2,-32.12966013071895,116.97566470588235,441.0,541.0,3.21,321.0,100.0
3,-32.11804791666667,116.98871041666668,865.0,895.0,1.4333333333333333,43.0,30.0
4,-32.12383928571429,116.9580107142857,1293.0,1319.0,2.6153846153846154,68.0,26.0
5,-32.12413229166667,116.95788645833333,1325.0,1355.0,2.0,60.0,30.0
6,-32.12406944444444,116.9570611111111,1361.0,1383.0,2.409090909090909,53.0,22.0
7,-32.12419523809524,116.9569380952381,1391.0,1417.0,2.230769230769231,58.0,26.0
8,-32.123955208333335,116.95599583333333,1421.0,1451.0,2.4,72.0,30.0
9,-32.12160308641975,116.95668827160492,1485.0,1537.0,3.173076923076923,165.0,52.0
10,-32.12119393939394,116.95514696969698,1539.0,1559.0,2.25,45.0,20.0
11,-32.12107878787879,116.9557893939394,1615.0,1635.0,1.95,39.0,20.0
12,-32.12032435897436,116.95398717948719,1641.0,1665.0,1.625,39.0,24.0
13,-32.21752575757575,116.96468333333333,2219.0,2239.0,2.5,50.0,20.0
14,-32.21755972222223,116.96476805555557,2243.0,2265.0,2.3636363636363638,52.0,22.0
15,-32.132088461538466,116.97402435897438,2777.0,2801.0,1.9166666666666667,46.0,24.0
16,-32.130863636363635,116.97107575757578,2853.0,2873.0,2.3,46.0,20.0
17,-32.12910128205128,116.96929807692307,2899.0,2949.0,2.96,148.0,50.0
18,-32.128019927536236,116.96921159420289,2951.0,3041.0,3.5555555555555554,320.0,90.0
19,-32.12837666666667,116.96843733333333,3043.0,3091.0,3.0833333333333335,148.0,48.0
20,-32.12843030303031,116.96821212121212,3099.0,3119.0,2.8,56.0,20.0
21,-32.12418472222222,116.96314861111112,3341.0,3363.0,2.727272727272727,60.0,22.0
22,-32.124544871794875,116.96224487179487,3395.0,3419.0,2.4583333333333335,59.0,24.0
23,-32.123783333333336,116.96215606060605,3467.0,3487.0,2.8,56.0,20.0
24,-31.85062333333333,116.98143444444446,4405.0,4433.0,3.75,105.0,28.0
25,-31.84622916666667,116.9824527777778,4481.0,4503.0,2.590909090909091,57.0,22.0
26,-31.845048958333333,116.98205416666667,4527.0,4557.0,1.2,36.0,30.0
27,-31.748874242424243,117.00576060606059,4917.0,4937.0,3.6,72.0,20.0
28,-31.71383290598291,117.01065598290599,5089.0,5165.0,3.1315789473684212,238.0,76.0
29,-31.705303985507246,117.0142445652174,5179.0,5453.0,3.3138686131386863,908.0,274.0
30,-31.489691666666666,117.0479619047619,6133.0,6159.0,2.8846153846153846,75.0,26.0
31,-31.489715555555556,117.0475611111111,6163.0,6191.0,2.0714285714285716,58.0,28.0
32,-31.433693650793646,117.05493333333334,6353.0,6393.0,3.9,156.0,40.0
33,-31.43224758454106,117.05794734299518,6405.0,6541.0,3.2941176470588234,448.0,136.0
34,-31.38757051282051,117.06196538461538,6715.0,6739.0,4.625,111.0,24.0
35,-31.200546666666668,117.08799416666668,7237.0,7275.0,4.157894736842105,158.0,38.0
36,-31.16532051282051,117.0832641025641,7423.0,7447.0,3.2916666666666665,79.0,24.0
37,-30.950790833333336,117.11740583333335,8019.0,8057.0,3.0,114.0,38.0
38,-30.946080833333333,117.1167,8069.0,8107.0,2.6578947368421053,101.0,38.0
39,-30.885326041666666,117.12420520833334,8283.0,8313.0,2.8333333333333335,85.0,30.0
40,-30.801720833333334,117.13871944444442,8527.0,8549.0,5.954545454545454,131.0,22.0
41,-30.80047325581395,117.13993837209303,8567.0,8651.0,2.511904761904762,211.0,84.0
42,-30.80076071428572,117.14136547619047,8677.0,8703.0,2.3461538461538463,61.0,26.0
43,-30.79529506172839,117.14511172839505,8775.0,8827.0,2.230769230769231,116.0,52.0
