cluster_id,lat,lon,t_start,t_end,climb_rate_ms,climb_rate_ms_median,alt_gain_m_mean,duration_s_mean,n_circles
0,-31.627040020933016,117.22938294457735,705.0,1278.0,1.5282210651405663,1.7242424242424108,43.866598649028944,30.157894736842106,19
1,-31.44405530960648,117.1548442361111,2018.0,2384.0,2.400392316017313,2.4384920634920624,54.539015151515066,22.875,16
2,-31.115899074074072,116.99256111111112,3500.0,3548.0,1.8749999999999536,1.8749999999999536,44.999999999998884,24.0,2
3,-30.993183928571426,116.98844150282589,3890.0,4208.0,2.9839569160997548,3.0579365079364953,67.85357142857102,22.714285714285715,14
4,-30.80281457407408,116.89490964814813,4709.0,4850.0,2.1447319347319174,2.322222222222234,59.8152447552442,28.2,5
5,-30.638275578703706,116.81250040509259,5378.0,5447.0,2.6342320261437964,2.6342320261437964,89.72377450980467,34.5,2
6,-30.517400416666668,116.77285810185185,5849.0,5948.0,2.503030303030312,2.538888888888893,62.06515151515174,24.75,4
7,-30.383792391127393,116.71945357091981,6356.0,6545.0,2.5855303426731706,3.222222222222193,65.81190951905154,27.0,7
8,-30.36080679012346,116.70815925925926,6617.0,6689.0,2.1240740740740516,2.0555555555554976,50.97777777777725,24.0,3
9,-30.290164814814815,116.68557592592592,6917.0,6965.0,2.799999999999967,2.799999999999967,67.19999999999919,24.0,2
10,-30.03016989688552,116.57824078282829,7802.0,7901.0,2.6100288600288026,2.6061688311687927,64.48598484848344,24.75,4
11,-30.114675,116.87915416666667,8753.0,8795.0,2.9563492063491816,2.9563492063491816,62.08333333333282,21.0,2
12,-30.167769017094017,116.98689367877492,9047.0,9359.0,3.138189588189566,3.316666666666651,74.82214452214397,24.0,13
13,-30.321999444444444,117.32802902777777,10016.0,10121.0,2.710606060606052,2.722222222222209,71.16969696969673,26.25,4
14,-30.412542245791247,117.54819407744108,10640.0,10769.0,3.110707070707061,3.0666666666666607,80.86787878787851,25.8,5
15,-30.53209047067901,117.81415524691359,11462.0,11600.0,2.818650793650777,2.853571428571409,64.62777777777741,23.0,6
16,-30.536428914141418,117.82721892045456,11654.0,11771.0,1.1565656565656477,2.213636363636358,32.974999999999625,29.25,4
17,-30.63040032986111,118.04371872685185,12173.0,12365.0,3.773935786435781,3.905555555555514,90.02840909090895,24.0,8
18,-30.741898912037037,118.38122094907408,13088.0,13319.0,3.4547619047618854,3.4222222222221923,79.60833333333287,23.1,10
19,-30.744036907407406,118.38687833333333,13319.0,13439.0,3.15558441558439,3.1444444444443733,76.04363636363578,24.0,5
20,-31.130676228430133,119.24358463541667,15518.0,15707.0,3.7954816017315958,3.7857142857142696,88.63409090909073,23.625,8
21,-31.13565864197531,119.24964875,15707.0,15989.0,4.0715428090427945,4.155555555555579,95.02967171717135,23.5,12
22,-31.296694949494952,119.6443095117845,16817.0,16898.0,2.2946127946127675,2.4888888888888805,61.29898989898911,27.0,3
23,-31.34092483164983,119.23596658249157,17831.0,17885.0,2.5830808080807817,2.5830808080807817,70.17575757575688,27.0,2
24,-31.342078708847737,119.1028705298354,18386.0,18614.0,2.6698363365029993,2.8055555555555554,66.86304066304052,25.333333333333332,9
25,-31.34716796296296,119.11212484567902,18668.0,18821.0,2.491750841750839,2.5017676767676633,63.38282828282823,25.5,6
26,-31.421374444444446,118.4416964074074,20540.0,20663.0,2.2238383838383755,2.2999999999999847,54.00363636363617,24.6,5
27,-31.47836583333333,118.17865333333332,21356.0,21410.0,1.9262626262626381,1.9262626262626381,52.00909090909123,27.0,2
28,-31.47228947352311,118.18218727425773,21410.0,21698.0,2.408310376492184,2.3676767676767367,62.35096418732753,26.181818181818183,11
29,-31.55139463804714,117.7609713059163,22806.0,23166.0,2.163744588744582,2.2815656565656415,55.063203463203294,25.714285714285715,14
30,-31.626863585858587,117.20931052609427,24497.0,24605.0,0.8657828282828279,0.9994949494949537,23.315151515151506,27.0,4
31,-31.625190185185186,117.20350450617282,24641.0,24734.0,1.2385401635401627,1.2888888888888856,39.13383838383836,31.0,3
32,-31.62000695767196,117.19912473544974,24797.0,25325.0,1.9078884078884006,1.9313131313131164,47.80028860028842,25.142857142857142,21
33,-31.833589785879628,117.06808720486111,26156.0,26279.0,0.8647764408793939,0.8479872251931476,26.467591354724235,30.75,4
34,-31.880114166666665,117.04264583333335,26603.0,26657.0,0.9282828282828338,0.9282828282828338,25.063636363636512,27.0,2
35,-31.877411136363634,117.04090484848484,26657.0,26714.0,0.7015151515151494,0.7015151515151494,20.07272727272722,28.5,2
