cluster_id,lat,lon,t_start,t_end,climb_rate_ms,climb_rate_ms_median,alt_gain_m_mean,duration_s_mean,n_circles
0,-32.134767473884146,116.96424415954415,291.0,414.0,0.3453499258452745,0.20329670329668187,13.409549514812445,41.0,3
1,-32.137017948717954,116.96313466117216,414.0,489.0,-0.4203296703296872,-0.4203296703296872,-15.752747252747872,37.5,2
2,-32.123959755291004,116.96204805555554,666.0,837.0,1.4998969284683525,1.5388888888888765,36.18225108225099,24.428571428571427,7
3,-32.130609248227394,116.99929797137075,981.0,1689.0,1.6312000864632321,1.490909090909067,45.28079639658551,29.210526315789473,19
4,-32.01658824074074,116.94427453703703,2139.0,2190.0,1.6805555555555527,1.6805555555555527,42.89999999999993,25.5,2
5,-31.832804967948718,116.8562218349359,2748.0,2829.0,0.8575899590605598,0.8575899590605598,35.12176793794501,40.5,2
6,-31.80457438832772,116.83859562850729,2988.0,3225.0,2.656677890011224,2.6166666666666596,69.82760942760945,26.333333333333332,9
7,-31.634476515151515,116.82964642045454,3840.0,3957.0,2.3987762237762147,2.4939393939393906,70.72325174825143,29.25,4
8,-31.625663997114003,116.95561011303512,4353.0,4455.0,2.3852480852480573,2.2212121212120772,80.57549117549028,34.0,3
9,-31.770725454545456,116.99109189393938,5109.0,5166.0,2.0540404040403897,2.0540404040403897,59.20909090909049,28.5,2
10,-31.76602236235986,116.98914470251968,5196.0,5418.0,1.9319823034108445,2.263636363636345,60.821392892820505,31.714285714285715,7
11,-31.893522281705945,116.95527599607183,5958.0,6339.0,2.36741702741701,2.3212121212121137,59.78595959595914,25.4,15
12,-32.13729924758743,116.98635648146045,7161.0,7467.0,2.1882652700834373,2.4888888888888805,59.50322404867816,27.818181818181817,11
13,-32.24926362037037,116.96855318939393,7878.0,8160.0,2.2234848484848366,2.2595959595959614,62.52818181818147,28.2,10
14,-32.34898819296444,116.92951700933325,8553.0,8985.0,2.4227924724054644,2.34166666666664,72.61966717492997,30.857142857142858,14
15,-32.59383722222221,116.85826888888887,9972.0,10053.0,2.6531986531986407,2.7777777777777732,71.6363636363633,27.0,3
16,-32.594832055742614,116.86495163112606,10053.0,10299.0,2.7116963283629847,2.794444444444442,71.39696969696939,27.333333333333332,9
17,-32.71534,116.85758666666666,10755.0,10809.0,3.4484848484848305,3.4484848484848305,93.10909090909041,27.0,2
18,-32.71408784848485,116.8608966060606,10809.0,10953.0,2.923434343434329,2.9696969696969537,83.89454545454501,28.8,5
19,-32.803120535714285,116.79360972222221,11271.0,11343.0,2.593722943722894,2.593722943722894,93.02582417582246,36.0,2
20,-32.93338694871795,116.75052304558403,11757.0,11898.0,3.8665745365745265,4.088888888888874,107.5918348318344,28.2,5
21,-32.93371473544973,116.75560476190476,11898.0,12033.0,2.8797191697191673,2.826373626373616,77.59238095238085,27.0,5
22,-33.42899405723906,116.88675893602692,13908.0,14043.0,4.137474747474736,4.030303030303071,112.69818181818144,27.0,5
23,-33.49511557239057,117.19356982323232,14712.0,14808.0,3.0132867132866585,3.187878787878752,96.25058275058097,32.0,3
24,-33.542073737373734,117.42601784511784,15393.0,15486.0,2.762703962703931,2.748484848484833,85.25407925407825,31.0,3
25,-33.54005406746032,117.43013750000001,15486.0,15558.0,1.5037296037295926,1.5037296037295926,51.94615384615352,36.0,2
26,-33.21804291666666,117.26858181818181,16680.0,16791.0,3.947727272727266,4.013636363636337,109.4272727272725,27.75,4
27,-33.21541333333333,117.27064833333334,16791.0,16845.0,2.138383838383813,2.138383838383813,57.73636363636295,27.0,2
28,-32.84159222222222,117.12343572649571,17952.0,18042.0,3.2673955673955644,3.232323232323244,97.0383616383615,30.0,3
29,-32.32059708333334,116.94091069444445,19428.0,19488.0,2.8615384615384443,2.8615384615384443,86.84895104895051,30.0,2
30,-31.943626520102992,117.00980845712023,20547.0,21009.0,3.165656565656551,3.2686868686868746,86.19536541889441,27.176470588235293,17
