cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-32.13879324324324,116.96854954954954,183.0,291.0,3.787037037037037,409.0,108.0
1,-32.12388888888889,116.96210833333335,747.0,780.0,1.9393939393939394,64.0,33.0
2,-32.12754666666667,117.00472833333333,1221.0,1248.0,3.7037037037037037,100.0,27.0
3,-32.1292600877193,117.00103771929825,1317.0,1428.0,3.018018018018018,335.0,111.0
4,-32.1299375,116.99966250000003,1431.0,1488.0,2.6842105263157894,153.0,57.0
5,-32.13022291666667,116.99907291666666,1542.0,1563.0,2.1904761904761907,46.0,21.0
6,-32.13115370370371,116.99724814814815,1632.0,1656.0,1.25,30.0,24.0
7,-32.06432291666667,116.95783333333333,1920.0,1941.0,3.1904761904761907,67.0,21.0
8,-32.01699487179487,116.94408397435897,2121.0,2196.0,2.7466666666666666,206.0,75.0
9,-31.832549999999998,116.85670333333333,2778.0,2805.0,1.6296296296296295,44.0,27.0
10,-31.804388596491226,116.83835087719297,2925.0,2979.0,2.8518518518518516,154.0,54.0
11,-31.804205555555555,116.8384425925926,2982.0,3006.0,2.9166666666666665,70.0,24.0
12,-31.80431862745098,116.8387911764706,3009.0,3057.0,3.375,162.0,48.0
13,-31.80436041666667,116.83846041666666,3060.0,3081.0,3.619047619047619,76.0,21.0
14,-31.804744594594595,116.83825630630633,3084.0,3192.0,2.9444444444444446,318.0,108.0
15,-31.803646296296296,116.83769444444445,3222.0,3246.0,2.3333333333333335,56.0,24.0
16,-31.651858333333333,116.7979625,3630.0,3651.0,3.4761904761904763,73.0,21.0
17,-31.63591458333333,116.83029375,3807.0,3828.0,4.523809523809524,95.0,21.0
18,-31.634541666666667,116.83020416666666,3849.0,3918.0,2.3768115942028984,164.0,69.0
19,-31.634427777777777,116.8288861111111,3921.0,3954.0,2.6363636363636362,87.0,33.0
20,-31.62516296296296,116.95482962962963,4305.0,4329.0,4.0,96.0,24.0
21,-31.6246125,116.95531666666666,4335.0,4356.0,2.142857142857143,45.0,21.0
22,-31.62640925925926,116.95508518518517,4368.0,4392.0,2.6666666666666665,64.0,24.0
23,-31.62606666666667,116.95533888888889,4398.0,4422.0,3.7083333333333335,89.0,24.0
24,-31.625329629629633,116.95530555555554,4425.0,4449.0,2.375,57.0,24.0
25,-31.62430925925926,116.95507962962964,4452.0,4476.0,1.75,42.0,24.0
26,-31.770725,116.9912625,5124.0,5145.0,2.857142857142857,60.0,21.0
27,-31.769780555555553,116.99017083333332,5151.0,5184.0,2.484848484848485,82.0,33.0
28,-31.767401666666665,116.98973000000001,5214.0,5241.0,3.074074074074074,83.0,27.0
29,-31.766917708333335,116.98907500000001,5256.0,5301.0,2.4444444444444446,110.0,45.0
30,-31.765798148148146,116.98872222222222,5304.0,5328.0,2.9583333333333335,71.0,24.0
31,-31.764579166666667,116.98934722222221,5334.0,5367.0,2.9393939393939394,97.0,33.0
32,-31.76389074074074,116.98874629629631,5391.0,5415.0,2.625,63.0,24.0
33,-31.763624999999998,116.98946666666666,5421.0,5448.0,2.1481481481481484,58.0,27.0
34,-31.894897023809524,116.95623154761904,5958.0,6123.0,2.618181818181818,432.0,165.0
35,-31.8924309859155,116.95450046948355,6126.0,6336.0,2.3476190476190477,493.0,210.0
36,-31.94975625,116.9619625,6498.0,6519.0,5.380952380952381,113.0,21.0
37,-31.950359803921568,116.9614794117647,6534.0,6582.0,2.5833333333333335,124.0,48.0
38,-32.13598333333333,116.98083333333332,7116.0,7152.0,4.0,144.0,36.0
39,-32.13759404761905,116.98487142857144,7170.0,7209.0,3.1025641025641026,121.0,39.0
40,-32.1374625,116.9859875,7212.0,7233.0,2.5238095238095237,53.0,21.0
41,-32.137985416666666,116.98607708333334,7257.0,7278.0,3.5714285714285716,75.0,21.0
42,-32.137235632183916,116.98628448275862,7308.0,7392.0,3.011904761904762,253.0,84.0
43,-32.13743541666667,116.98740416666666,7395.0,7416.0,2.5238095238095237,53.0,21.0
44,-32.25128933333333,116.96692133333335,7878.0,7950.0,2.8194444444444446,203.0,72.0
45,-32.25010370370371,116.96780555555557,7953.0,7977.0,2.7083333333333335,65.0,24.0
46,-32.2493358974359,116.96874615384617,7992.0,8028.0,2.5833333333333335,93.0,36.0
47,-32.24901111111111,116.96881527777776,8031.0,8064.0,2.090909090909091,69.0,33.0
48,-32.247852083333335,116.96963541666668,8082.0,8103.0,2.4285714285714284,51.0,21.0
49,-32.24675392156863,116.97042352941175,8106.0,8154.0,2.25,108.0,48.0
50,-32.32246249999999,116.95200833333334,8352.0,8373.0,4.380952380952381,92.0,21.0
51,-32.34955,116.92717291666668,8502.0,8571.0,3.9565217391304346,273.0,69.0
52,-32.349914999999996,116.92670000000001,8574.0,8601.0,2.888888888888889,78.0,27.0
53,-32.34851875,116.93023645833333,8661.0,8706.0,3.3555555555555556,151.0,45.0
54,-32.34824916666666,116.93082250000002,8709.0,8766.0,2.736842105263158,156.0,57.0
55,-32.34828888888889,116.93246481481482,8769.0,8793.0,2.5833333333333335,62.0,24.0
56,-32.34855769230769,116.93017692307693,8847.0,8883.0,2.361111111111111,85.0,36.0
57,-32.349695833333335,116.92806041666667,8904.0,8925.0,3.380952380952381,71.0,21.0
58,-32.38286833333333,116.91921499999998,9126.0,9153.0,2.5555555555555554,69.0,27.0
59,-32.40903518518519,116.91224444444444,9207.0,9231.0,4.541666666666667,109.0,24.0
60,-32.48219814814814,116.86629444444445,9528.0,9552.0,2.75,66.0,24.0
61,-32.59395,116.85751666666667,9990.0,10011.0,4.238095238095238,89.0,21.0
62,-32.59365416666667,116.85891458333333,10017.0,10038.0,3.9523809523809526,83.0,21.0
63,-32.59422708333334,116.860325,10044.0,10065.0,3.5714285714285716,75.0,21.0
64,-32.59474259259259,116.86215462962963,10071.0,10122.0,3.7450980392156863,191.0,51.0
65,-32.594899999999996,116.86381250000001,10125.0,10146.0,3.619047619047619,76.0,21.0
66,-32.594324137931025,116.86682931034483,10182.0,10266.0,2.3095238095238093,194.0,84.0
67,-32.59698518518518,116.8676462962963,10287.0,10311.0,2.0833333333333335,50.0,24.0
68,-32.65372222222222,116.8617388888889,10506.0,10530.0,3.5833333333333335,86.0,24.0
69,-32.671912962962956,116.8592351851852,10557.0,10581.0,4.0,96.0,24.0
70,-32.718073076923076,116.85626153846154,10698.0,10734.0,2.5833333333333335,93.0,36.0
71,-32.7167196969697,116.85651818181819,10737.0,10767.0,2.8,84.0,30.0
72,-32.71511777777778,116.85804222222222,10770.0,10812.0,4.142857142857143,174.0,42.0
73,-32.71419384057971,116.86105217391305,10815.0,10950.0,3.074074074074074,415.0,135.0
74,-32.803315789473686,116.79420394736843,11226.0,11337.0,3.144144144144144,349.0,111.0
75,-32.80326166666667,116.79215500000001,11340.0,11367.0,2.259259259259259,61.0,27.0
76,-32.902047619047615,116.77449285714285,11610.0,11649.0,2.9743589743589745,116.0,39.0
