cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-32.136664814814814,116.9546586419753,298.0,369.0,4.197183098591549,298.0,71.0
1,-32.138576811594206,116.95758224637682,370.0,415.0,4.533333333333333,204.0,45.0
2,-32.140774019607846,116.95456078431371,435.0,468.0,2.909090909090909,96.0,33.0
3,-32.13209824561404,116.98667982456139,686.0,723.0,2.2162162162162162,82.0,37.0
4,-32.131825,116.99529791666666,770.0,801.0,1.1290322580645162,35.0,31.0
5,-32.136085256410254,116.98506923076921,1199.0,1227.0,3.25,91.0,28.0
6,-32.06967999999999,116.94513000000002,1746.0,1784.0,2.0526315789473686,78.0,38.0
7,-32.06781875,116.94482430555554,1801.0,1824.0,2.782608695652174,64.0,23.0
8,-32.06814509803922,116.94511960784314,1856.0,1876.0,2.35,47.0,20.0
9,-31.943465384615383,116.88919487179486,2241.0,2277.0,2.1666666666666665,78.0,36.0
10,-31.792219791666668,116.847646875,2886.0,2925.0,2.0256410256410255,79.0,39.0
11,-31.7897159090909,116.84475454545458,3122.0,3143.0,3.5238095238095237,74.0,21.0
12,-31.789595833333333,116.84447638888889,3180.0,3203.0,2.739130434782609,63.0,23.0
13,-31.702797222222227,116.80090833333333,3460.0,3485.0,2.16,54.0,25.0
14,-31.64151388888889,116.784725,3678.0,3715.0,2.189189189189189,81.0,37.0
15,-31.637283333333336,116.78501285714286,3769.0,3804.0,4.228571428571429,148.0,35.0
16,-31.636456111111112,116.78538555555556,3816.0,3847.0,5.548387096774194,172.0,31.0
17,-31.635109119496864,116.78451540880504,3889.0,3941.0,4.153846153846154,216.0,52.0
18,-31.632510416666666,116.998925,4430.0,4458.0,3.2857142857142856,92.0,28.0
19,-31.63187803030303,116.99884090909087,4499.0,4521.0,3.590909090909091,79.0,22.0
20,-31.887338333333332,116.95622166666666,5251.0,5285.0,3.0294117647058822,103.0,34.0
21,-31.887337121212123,116.95644772727273,5372.0,5393.0,2.238095238095238,47.0,21.0
22,-32.00657368421053,116.94529210526315,5710.0,5748.0,2.8947368421052633,110.0,38.0
23,-32.11525208333333,116.94294166666666,6152.0,6183.0,2.7096774193548385,84.0,31.0
24,-32.12724090909091,116.94450757575758,6213.0,6263.0,1.56,78.0,50.0
25,-32.13492619047619,116.94975238095239,6286.0,6308.0,1.8636363636363635,41.0,22.0
