lat,lon,climb_rate_ms,alt_gain_m,duration_s,circle_cluster_id,alt_cluster_id,circle_lat,circle_lon,alt_lat,alt_lon,dist_m,time_overlap_s,overlap_frac
-31.644502028218557,117.21013921528257,3.15,63.0,20.0,0,2,-31.64388738977045,117.20956652580321,-31.645116666666667,117.21071190476191,174.4703549569362,20.0,1.0
-31.400865301660097,117.07941018006093,3.1818181818181817,70.0,22.0,1,4,-31.400302342450633,117.07941746157113,-31.401428260869565,117.07940289855074,125.20421830637976,22.0,1.0
-31.260800887360432,116.9863972054927,3.64,91.0,25.0,2,5,-31.260521646515727,116.98593928278025,-31.261080128205133,116.98685512820512,106.93238668675774,25.0,1.0
-31.094614134655345,116.83624746669004,3.0,66.0,22.0,3,6,-31.094664501194742,116.83623696236559,-31.09456376811595,116.83625797101449,11.378247878933877,22.0,1.0
-31.007814558403375,116.77660265668491,3.7083333333333335,89.0,24.0,4,7,-31.00850378347341,116.77657064670316,-31.007125333333335,116.77663466666667,153.39826406538725,24.0,1.0
-31.00309144514854,116.77674806682111,2.7142857142857144,76.0,28.0,5,10,-31.003688062710882,116.77670705318248,-31.002494827586204,116.77678908045976,132.91200514242783,28.0,1.0
-30.89921946103896,116.7731753631091,3.7,74.0,20.0,6,13,-30.89925796969697,116.77371898018646,-30.899180952380956,116.77263174603175,104.08957558460114,20.0,1.0
-30.909836575498574,116.92218477913444,3.230769230769231,84.0,26.0,8,14,-30.90940463247863,116.92206153357752,-30.91026851851852,116.92230802469136,98.8964079954212,26.0,1.0
-30.844695438721928,117.37441629942683,4.15,83.0,20.0,14,19,-30.84531071871369,117.3742913290124,-30.844080158730165,117.37454126984127,138.89714001514665,20.0,1.0
-30.85872133908592,117.67478378798089,3.185185185185185,86.0,27.0,16,23,-30.85963494007661,117.67643067119984,-30.857807738095232,117.67313690476192,374.33834562187377,27.0,1.0
-30.871369420389392,117.97171043474944,2.95,59.0,20.0,17,26,-30.871617412207357,117.97200579013378,-30.871121428571428,117.97141507936509,78.86771180994941,20.0,1.0
-30.891833150263807,118.09053601447742,2.8636363636363638,63.0,22.0,19,28,-30.891244561397187,118.08960318837515,-30.89242173913043,118.0914688405797,220.96528800653127,22.0,1.0
-31.119779289296737,118.21737361524471,3.4482758620689653,100.0,29.0,20,36,-31.119772467482367,118.21713056382275,-31.11978611111111,118.21761666666667,46.298379860801965,29.0,1.0
-31.21421719881275,118.22381156603937,2.235294117647059,76.0,34.0,23,39,-31.214385350006456,118.22425932255494,-31.214049047619046,118.2233638095238,93.0101059427652,34.0,1.0
-31.399001380889935,118.26509781874529,2.8333333333333335,85.0,30.0,24,40,-31.39873878328525,118.2649891858777,-31.399263978494623,118.2652064516129,61.93291031259385,30.0,1.0
-31.570954360300618,118.19824190149887,3.7,74.0,20.0,25,47,-31.57174205393457,118.19808142204539,-31.57016666666667,118.19840238095237,177.79472476448854,14.0,0.7
-31.56954653791887,118.1981400802469,2.45,49.0,20.0,26,48,-31.569656567901234,118.1981579382716,-31.56943650793651,118.19812222222221,24.702429183978232,20.0,1.0
-31.74670380224328,118.17011558448797,3.0952380952380953,65.0,21.0,27,50,-31.745569725698687,118.16930616897596,-31.747837878787877,118.170925,295.02584938707184,21.0,1.0
-31.784963859081802,117.91094065036822,2.5517241379310347,74.0,29.0,30,56,-31.7840366070525,117.9102340785142,-31.785891111111106,117.91164722222224,245.69093154256322,29.0,1.0
