cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-31.625858000000004,117.21938933333332,192.0,216.0,3.7083333333333335,89.0,24.0
1,-31.638438627450984,117.22579882352939,217.0,301.0,3.6904761904761907,310.0,84.0
2,-31.648738541666667,117.22923177083334,320.0,351.0,6.225806451612903,193.0,31.0
3,-31.639252173913043,117.22575652173917,431.0,453.0,4.318181818181818,95.0,22.0
4,-31.635052272727275,117.22442348484847,485.0,506.0,4.714285714285714,99.0,21.0
5,-31.632424404761906,117.2242476190476,519.0,546.0,4.2592592592592595,115.0,27.0
6,-31.63052028985507,117.22402826086956,562.0,584.0,4.363636363636363,96.0,22.0
7,-31.632100000000005,117.22385303030305,632.0,653.0,2.142857142857143,45.0,21.0
8,-31.662857870370367,117.20891157407408,1003.0,1038.0,3.0285714285714285,106.0,35.0
9,-31.660413194444445,117.2038375,1081.0,1104.0,2.0434782608695654,47.0,23.0
10,-31.7303,117.16530606060608,1564.0,1585.0,4.0476190476190474,85.0,21.0
11,-31.563807971014487,117.21965072463769,2562.0,2584.0,3.1818181818181817,70.0,22.0
12,-31.58728636363636,117.20145555555557,2797.0,2829.0,2.9375,94.0,32.0
13,-31.623572222222222,117.21425317460319,3146.0,3166.0,1.85,37.0,20.0
14,-31.61689057971015,117.21298550724639,3294.0,3316.0,2.8181818181818183,62.0,22.0
15,-31.614707142857146,117.21392619047617,3326.0,3346.0,2.6,52.0,20.0
16,-31.86347866666667,117.12927133333335,4329.0,4353.0,5.375,129.0,24.0
17,-31.86077156862745,117.13207205882354,4373.0,4406.0,3.242424242424242,107.0,33.0
18,-31.85675394736842,117.12922499999999,4451.0,4488.0,2.972972972972973,110.0,37.0
19,-31.901919696969696,117.1117462121212,4635.0,4656.0,4.714285714285714,99.0,21.0
20,-31.946070833333334,117.0961859375,4788.0,4819.0,2.3870967741935485,74.0,31.0
21,-31.94104047619047,117.10010158730157,4882.0,4902.0,1.85,37.0,20.0
