cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-31.618381746031744,117.2220904761905,193.0,213.0,1.8,36.0,20.0
1,-31.611452252252246,117.23224594594595,219.0,255.0,3.138888888888889,113.0,36.0
2,-31.61025833333333,117.26044249999998,289.0,348.0,3.1186440677966103,184.0,59.0
3,-31.61253079710145,117.25841340579711,372.0,417.0,2.5555555555555554,115.0,45.0
4,-31.61272676767676,117.27445404040404,431.0,463.0,3.375,108.0,32.0
5,-31.61075075757576,117.24746969696967,2489.0,2510.0,2.6666666666666665,56.0,21.0
6,-31.62037121212121,117.23807196969696,4068.0,4089.0,2.9523809523809526,62.0,21.0
7,-31.61940925925926,117.23883209876541,4124.0,4150.0,2.769230769230769,72.0,26.0
8,-31.610774603174605,117.2313404761905,4598.0,4618.0,2.75,55.0,20.0
9,-31.612251587301586,117.22909047619049,4734.0,4754.0,2.45,49.0,20.0
10,-31.626545061728393,117.24165617283951,5458.0,5484.0,3.5384615384615383,92.0,26.0
11,-31.628346666666665,117.24168733333335,5501.0,5525.0,3.7916666666666665,91.0,24.0
12,-31.628881249999996,117.24226805555554,5535.0,5558.0,3.130434782608696,72.0,23.0
13,-31.57674523809524,117.20860952380953,5877.0,5904.0,2.7777777777777777,75.0,27.0
14,-31.370733908045985,117.06815459770117,6436.0,6464.0,5.25,147.0,28.0
15,-31.23776507936508,116.98100000000002,6903.0,6923.0,1.9,38.0,20.0
16,-30.985536309523816,116.79104226190476,7888.0,7915.0,3.8518518518518516,104.0,27.0
17,-30.88772971014492,116.71674565217391,8318.0,8340.0,5.818181818181818,128.0,22.0
18,-30.883617460317456,116.72384841269843,8810.0,8830.0,5.35,107.0,20.0
19,-30.834185507246378,116.94420362318841,9234.0,9256.0,6.681818181818182,147.0,22.0
20,-30.843788383838387,116.98921060606061,9449.0,9481.0,2.625,84.0,32.0
21,-30.78885317460317,117.40723333333332,10388.0,10408.0,3.5,70.0,20.0
22,-30.803789523809524,117.56226047619049,11315.0,11349.0,3.323529411764706,113.0,34.0
23,-30.707099425287353,117.89150057471264,12447.0,12475.0,3.392857142857143,95.0,28.0
24,-30.63962083333333,118.17637083333334,13078.0,13101.0,4.391304347826087,101.0,23.0
25,-30.635478985507245,118.18469275362318,13129.0,13151.0,3.9545454545454546,87.0,22.0
26,-30.628326984126986,118.27154285714286,13389.0,13409.0,5.0,100.0,20.0
27,-30.61556025641026,118.3313346153846,13517.0,13542.0,5.04,126.0,25.0
28,-30.72330128205128,118.20536923076924,14208.0,14233.0,7.0,175.0,25.0
29,-31.017739855072463,117.9020623188406,15307.0,15329.0,3.272727272727273,72.0,22.0
30,-31.161728571428572,117.72643571428569,16182.0,16202.0,4.75,95.0,20.0
31,-31.15915507246378,117.72480724637681,16329.0,16351.0,5.181818181818182,114.0,22.0
32,-31.33933253968254,117.53099999999999,17140.0,17160.0,3.65,73.0,20.0
33,-31.33940942028986,117.53098550724636,17167.0,17189.0,4.136363636363637,91.0,22.0
