cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-31.636695402298855,117.23007298850573,187.0,299.0,1.9017857142857142,213.0,112.0
1,-31.64576111111111,117.25554814814816,303.0,335.0,2.3125,74.0,32.0
2,-31.64632395833333,117.25541527777777,359.0,547.0,1.9202127659574468,361.0,188.0
3,-31.647141666666666,117.25061388888889,595.0,615.0,2.25,45.0,20.0
4,-31.655604166666663,117.23330833333334,987.0,1031.0,1.8409090909090908,81.0,44.0
5,-31.656054166666667,117.23478055555556,1035.0,1127.0,1.9565217391304348,180.0,92.0
6,-31.657392222222224,117.23534333333335,1155.0,1211.0,2.767857142857143,155.0,56.0
7,-31.658002380952382,117.23530714285714,1219.0,1243.0,2.5416666666666665,61.0,24.0
8,-31.6578625,117.2364,1259.0,1287.0,3.0,84.0,28.0
9,-31.657597222222222,117.22565833333334,1439.0,1459.0,1.85,37.0,20.0
10,-31.62511862745098,117.15846862745097,2031.0,2095.0,3.34375,214.0,64.0
11,-31.624857142857138,117.15982023809524,2099.0,2151.0,2.2115384615384617,115.0,52.0
12,-31.62541666666667,117.16159074074075,2155.0,2187.0,1.90625,61.0,32.0
13,-31.618754166666665,117.17621527777776,2547.0,2591.0,2.0,88.0,44.0
14,-31.63734523809524,117.17970238095236,2703.0,2727.0,2.5833333333333335,62.0,24.0
15,-31.6364,117.180415,2751.0,2787.0,1.3333333333333333,48.0,36.0
16,-31.64762592592593,117.1555240740741,2855.0,2887.0,2.53125,81.0,32.0
17,-31.64831388888889,117.15375833333333,2923.0,2943.0,1.55,31.0,20.0
18,-31.612920833333334,117.10197291666667,3183.0,3211.0,2.2857142857142856,64.0,28.0
19,-31.612823809523807,117.10310714285713,3251.0,3275.0,2.0833333333333335,50.0,24.0
20,-31.63097619047619,117.13794761904762,3491.0,3515.0,3.3333333333333335,80.0,24.0
21,-31.629051754385966,117.1410298245614,3523.0,3595.0,2.736111111111111,197.0,72.0
22,-31.62890833333333,117.14266388888888,3603.0,3623.0,2.45,49.0,20.0
23,-31.62791428571428,117.1439857142857,3663.0,3687.0,2.0833333333333335,50.0,24.0
24,-31.62837222222222,117.14487777777778,3715.0,3735.0,1.7,34.0,20.0
25,-31.63425,117.52446666666665,5385.0,5413.0,3.0357142857142856,85.0,28.0
26,-31.633620833333335,117.52731527777779,5417.0,5461.0,2.409090909090909,106.0,44.0
27,-31.63343888888889,117.52822222222223,5465.0,5485.0,3.7,74.0,20.0
28,-31.633237719298247,117.5304596491228,5489.0,5561.0,2.2222222222222223,160.0,72.0
29,-31.63328148148148,117.53482962962964,5577.0,5609.0,1.5,48.0,32.0
30,-31.631266666666665,117.54441904761906,5641.0,5665.0,3.4166666666666665,82.0,24.0
31,-31.629950000000004,117.54732592592592,5669.0,5773.0,3.3461538461538463,348.0,104.0
32,-31.59835,117.7285923076923,6085.0,6133.0,3.7291666666666665,179.0,48.0
33,-31.59254279279279,117.73414144144145,6137.0,6281.0,3.0555555555555554,440.0,144.0
34,-31.552400000000002,117.96096296296297,6673.0,6705.0,4.96875,159.0,32.0
35,-31.5541,117.96982142857142,6729.0,6753.0,2.5,60.0,24.0
36,-31.534787179487182,118.02143846153847,6833.0,6881.0,2.9166666666666665,140.0,48.0
37,-31.52982857142857,118.03029047619046,6913.0,6937.0,2.75,66.0,24.0
38,-31.52984523809524,118.03155714285715,6941.0,6965.0,1.625,39.0,24.0
39,-31.524282758620686,118.08933218390806,7062.0,7147.0,3.8705882352941177,329.0,85.0
40,-31.523622222222226,118.09177222222222,7151.0,7171.0,4.4,88.0,20.0
41,-31.523541666666667,118.09248124999999,7175.0,7203.0,3.7857142857142856,106.0,28.0
42,-31.41223611111111,118.08793888888887,7450.0,7470.0,6.9,138.0,20.0
43,-31.407063333333333,118.09109666666666,7494.0,7530.0,2.888888888888889,104.0,36.0
44,-31.405829166666667,118.09171041666667,7534.0,7562.0,2.5357142857142856,71.0,28.0
45,-31.255291666666665,118.10201666666666,7898.0,7918.0,5.35,107.0,20.0
46,-31.218525,118.10485833333335,8018.0,8038.0,4.85,97.0,20.0
47,-31.216690196078428,118.10730784313725,8042.0,8174.0,2.4696969696969697,326.0,132.0
48,-31.127890740740742,118.11275925925926,8342.0,8374.0,2.96875,95.0,32.0
49,-31.051314285714284,118.11285476190476,8546.0,8570.0,3.1666666666666665,76.0,24.0
50,-31.032314583333335,118.11550416666667,8602.0,8630.0,2.9285714285714284,82.0,28.0
51,-31.023861111111113,118.11838055555556,8650.0,8670.0,2.5,50.0,20.0
52,-31.005857142857142,118.11622619047618,8702.0,8726.0,5.333333333333333,128.0,24.0
53,-31.004091666666664,118.11840476190473,8730.0,8782.0,2.519230769230769,131.0,52.0
54,-30.837143055555558,118.14740416666666,9198.0,9242.0,3.2045454545454546,141.0,44.0
55,-30.837966666666663,118.14825555555556,9246.0,9266.0,3.7,74.0,20.0
56,-30.838740277777784,118.15021527777778,9270.0,9314.0,2.8863636363636362,127.0,44.0
57,-30.838538541666665,118.15353020833334,9338.0,9398.0,2.65,159.0,60.0
58,-30.779757142857143,118.16133095238095,9522.0,9546.0,2.875,69.0,24.0
59,-30.769444444444446,118.16486481481482,9570.0,9602.0,2.53125,81.0,32.0
60,-30.76860530303031,118.16661136363633,9606.0,9690.0,3.0595238095238093,257.0,84.0
61,-30.76656851851852,118.1684611111111,9694.0,9726.0,2.9375,94.0,32.0
62,-30.766102380952383,118.1686238095238,9730.0,9754.0,3.375,81.0,24.0
63,-30.765039583333333,118.16959374999999,9758.0,9786.0,2.9285714285714284,82.0,28.0
64,-30.764847619047618,118.1698107142857,9790.0,9842.0,2.8076923076923075,146.0,52.0
65,-30.713266666666666,118.17510925925927,9938.0,9970.0,2.71875,87.0,32.0
66,-30.437045,118.20817833333335,10674.0,10710.0,2.361111111111111,85.0,36.0
67,-30.428338666666665,118.21222533333334,10750.0,10846.0,3.0625,294.0,96.0
68,-30.419083333333333,118.22415185185186,10858.0,10890.0,4.0,128.0,32.0
69,-30.380369047619045,118.22538095238096,10962.0,10986.0,4.083333333333333,98.0,24.0
70,-30.31599523809524,118.22849285714287,11106.0,11130.0,4.291666666666667,103.0,24.0
71,-30.309897222222222,118.23049999999999,11150.0,11170.0,3.1,62.0,20.0
72,-30.322335714285714,118.1993238095238,11342.0,11366.0,5.791666666666667,139.0,24.0
73,-30.32263611111111,118.1992111111111,11374.0,11394.0,3.5,70.0,20.0
74,-30.38330416666667,118.14399166666666,11594.0,11622.0,4.107142857142857,115.0,28.0
75,-30.383411111111116,118.14134444444444,11626.0,11646.0,2.55,51.0,20.0
76,-30.387594444444442,118.14268055555556,11654.0,11674.0,4.2,84.0,20.0
77,-30.388885416666668,118.14318750000001,11678.0,11706.0,2.5714285714285716,72.0,28.0
78,-30.389988888888883,118.14467129629628,11710.0,11778.0,3.323529411764706,226.0,68.0
79,-30.39096904761905,118.14737142857142,11782.0,11806.0,3.0833333333333335,74.0,24.0
80,-30.607460763888895,117.97582708333334,12442.0,12630.0,3.632978723404255,683.0,188.0
81,-30.608516666666674,117.98046739130432,12634.0,12722.0,2.8636363636363638,252.0,88.0
82,-30.638597619047612,117.93739523809522,12826.0,12850.0,2.7083333333333335,65.0,24.0
83,-30.77597857142857,117.83198095238095,13242.0,13266.0,2.875,69.0,24.0
84,-31.03948833333333,117.63089333333332,14094.0,14130.0,2.25,81.0,36.0
85,-31.06483055555555,117.60954166666666,14194.0,14214.0,5.35,107.0,20.0
86,-31.063961111111116,117.61012777777779,14246.0,14266.0,2.3,46.0,20.0
87,-31.074748611111108,117.60126527777777,14290.0,14334.0,3.4545454545454546,152.0,44.0
88,-31.075814285714284,117.60156666666667,14358.0,14382.0,2.25,54.0,24.0
89,-31.074328787878787,117.60359090909091,14386.0,14426.0,2.3,92.0,40.0
90,-31.18687142857143,117.52535,14874.0,14898.0,3.125,75.0,24.0
