lat,lon,climb_rate_ms,alt_gain_m,duration_s,circle_cluster_id,alt_cluster_id,circle_lat,circle_lon,alt_lat,alt_lon,dist_m,time_overlap_s,overlap_frac
-32.13500813385775,116.9454903662392,9.766666666666667,293.0,30.0,0,3,-32.134396912876795,116.946768366887,-32.13561935483871,116.94421236559141,276.40543129011684,30.0,1.0
-32.18768595127866,116.91894557980599,2.2,44.0,20.0,1,5,-32.18753618827161,116.91894274691359,-32.18783571428571,116.9189484126984,33.31008663451218,20.0,1.0
-32.33837719128542,116.81908253879723,3.3666666666666667,101.0,30.0,2,7,-32.33894793095793,116.81868389479878,-32.337806451612906,116.8194811827957,147.38087346077288,30.0,1.0
-32.494626258680555,116.71489260416666,2.608695652173913,60.0,23.0,6,12,-32.49447751736111,116.71471923611111,-32.494775,116.71506597222223,46.38633640790926,23.0,1.0
-32.57369956779232,116.65395552067876,3.0,99.0,33.0,9,13,-32.57368491989836,116.65287623743596,-32.57371421568627,116.65503480392157,202.29265591592295,18.0,0.5454545454545454
-32.715797808865446,116.52422492688942,2.88,72.0,25.0,10,16,-32.715841771577054,116.52369793070193,-32.715753846153845,116.52475192307692,99.09006929038203,25.0,1.0
-32.81832230490531,116.46914731929843,3.25,117.0,36.0,11,17,-32.81836262782864,116.4688414854437,-32.818281981981976,116.46945315315315,57.85803672161362,36.0,1.0
-32.83242469523095,116.47579651714213,3.697674418604651,159.0,43.0,12,18,-32.83224173280423,116.4755772685185,-32.83260765765767,116.47601576576577,57.742013254250494,23.0,0.5348837209302325
-33.148400919663445,116.71059141203892,2.5945945945945947,96.0,37.0,15,23,-33.14849350599356,116.71088238548137,-33.14830833333333,116.71030043859646,57.95929951278555,37.0,1.0
-33.321601378066376,116.81553805014431,2.6176470588235294,89.0,34.0,16,27,-33.32150323232323,116.81501133838384,-33.32169952380953,116.81606476190478,100.28258901654371,23.0,0.6764705882352942
-33.38705893063644,116.85191217788753,2.935483870967742,91.0,31.0,17,30,-33.38729494460621,116.85222435577505,-33.38682291666667,116.8516,78.19984093013903,31.0,1.0
-33.44243196844778,116.86703777452638,2.857142857142857,60.0,21.0,18,33,-33.44016242174404,116.86546342784065,-33.444701515151515,116.86861212121211,583.1816396974555,21.0,1.0
-33.534578232964236,116.92537310521779,3.0476190476190474,64.0,21.0,19,39,-33.53406631441331,116.92491590740526,-33.535090151515156,116.92583030303031,141.928941049679,21.0,1.0
-33.861793519532355,117.38584856193698,4.088235294117647,139.0,34.0,21,48,-33.86224751525519,117.38581379054062,-33.86133952380953,117.38588333333334,101.16816632939255,34.0,1.0
-33.85799180022653,117.38191504024556,3.2580645161290325,101.0,31.0,22,50,-33.858138287953054,117.38207695549113,-33.857845312500004,117.38175312499999,44.22017884330388,31.0,1.0
-33.88302734765506,117.62469926621205,3.75,90.0,24.0,23,55,-33.88240736197679,117.62427119909077,-33.883647333333336,117.62512733333332,158.9228268987659,24.0,1.0
-33.87974423890485,117.62187493913632,3.057142857142857,107.0,35.0,24,58,-33.87974773706897,117.62208367456896,-33.879740740740736,117.6216662037037,38.54675859511845,35.0,1.0
-33.876715245296374,117.62172572444044,3.125,125.0,40.0,25,59,-33.876543092218775,117.62166201798654,-33.876887398373974,117.62178943089432,40.051350893908335,40.0,1.0
-33.92786740901572,117.94706378650572,3.8666666666666667,116.0,30.0,26,63,-33.927799871794875,117.94725176655983,-33.927934946236554,117.94687580645162,37.799390812487225,30.0,1.0
-33.84167998718747,117.93619928137839,3.625,145.0,40.0,27,66,-33.84148842965949,117.93620872535843,-33.841871544715445,117.93618983739836,42.63621010930733,37.0,0.925
-33.83946204861111,117.9348183888889,3.2916666666666665,79.0,24.0,28,67,-33.839553430555554,117.93472344444444,-33.83937066666667,117.93491333333336,26.843617375125344,24.0,1.0
-33.720031606383415,117.84332931350386,2.1363636363636362,47.0,22.0,29,73,-33.720895821462484,117.84374630816713,-33.71916739130435,117.8429123188406,207.0935282558537,9.0,0.4090909090909091
-33.01038374719416,117.38005095047698,3.0625,98.0,32.0,30,81,-33.01014274691358,117.37975038580247,-33.01062474747474,117.3803515151515,77.55260354970892,32.0,1.0
-32.921177053979974,117.3238913735647,3.408536585365854,559.0,164.0,32,85,-32.92101461301045,117.32392587844254,-32.9213394949495,117.32385686868687,36.69504018099081,102.0,1.0
-32.74201123130342,117.22733201121795,3.16,79.0,25.0,33,90,-32.74147951388889,117.22714479166667,-32.74254294871795,117.22751923076923,123.32555578736154,17.0,0.68
