cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-32.121414516129036,116.94565806451614,266.0,327.0,5.0,305.0,61.0
1,-32.12170533333333,116.94424933333333,336.0,360.0,2.375,57.0,24.0
2,-32.119234210526315,116.94528728070176,367.0,419.0,2.8076923076923075,146.0,52.0
3,-32.11882222222222,116.94370238095239,446.0,487.0,3.2439024390243905,133.0,41.0
4,-32.111247222222225,116.95708888888889,790.0,815.0,2.76,69.0,25.0
5,-32.113794444444444,116.95443194444447,904.0,927.0,2.4782608695652173,57.0,23.0
6,-32.134243749999996,116.94902916666666,1812.0,1847.0,2.2285714285714286,78.0,35.0
7,-32.13549722222222,116.94613958333333,1852.0,1877.0,4.08,102.0,25.0
8,-32.13671699346405,116.94460653594774,1891.0,1941.0,3.02,151.0,50.0
9,-32.22237398989899,116.92123181818182,2509.0,2578.0,3.579710144927536,247.0,69.0
10,-32.223396938775515,116.91732653061226,2611.0,2659.0,2.7708333333333335,133.0,48.0
11,-32.22521614583333,116.91481770833333,2693.0,2724.0,2.6774193548387095,83.0,31.0
12,-32.36168039215687,116.88944705882352,3201.0,3267.0,3.4393939393939394,227.0,66.0
13,-32.364307042253536,116.88740328638494,3268.0,3338.0,3.8714285714285714,271.0,70.0
14,-32.3675751984127,116.8859263888889,3357.0,3440.0,2.7951807228915664,232.0,83.0
15,-32.386326666666676,116.88569666666668,3497.0,3517.0,1.9,38.0,20.0
16,-32.54301,116.87294000000001,3922.0,3942.0,2.35,47.0,20.0
17,-32.61820384615385,116.85832820512822,4157.0,4191.0,4.088235294117647,139.0,34.0
18,-32.619051219512194,116.85678780487805,4192.0,4232.0,4.9,196.0,40.0
19,-32.62086333333333,116.85504894736839,4233.0,4327.0,4.095744680851064,385.0,94.0
20,-32.623677419354834,116.85335483870968,4337.0,4367.0,2.8333333333333335,85.0,30.0
21,-32.627720000000004,116.85292866666664,4413.0,4437.0,2.9166666666666665,70.0,24.0
22,-32.653006250000004,116.85059583333333,4495.0,4528.0,2.3636363636363638,78.0,33.0
23,-32.67811,116.85276666666668,4606.0,4626.0,2.8,56.0,20.0
24,-32.693780000000004,116.84899,4656.0,4689.0,2.3333333333333335,77.0,33.0
25,-32.82774333333334,116.8623,5093.0,5113.0,2.5,50.0,20.0
26,-32.844903333333335,116.87211666666667,5177.0,5197.0,1.9,38.0,20.0
27,-32.87012333333333,116.88810000000001,5252.0,5295.0,1.9069767441860466,82.0,43.0
28,-32.87432654320988,116.8888722222222,5320.0,5346.0,3.9615384615384617,103.0,26.0
29,-32.87509492753623,116.88968260869564,5350.0,5372.0,4.636363636363637,102.0,22.0
30,-32.875772222222224,116.8902962962963,5373.0,5426.0,4.622641509433962,245.0,53.0
31,-32.876798062015496,116.8905992248062,5427.0,5469.0,4.428571428571429,186.0,42.0
32,-32.91861333333333,116.89286666666666,5708.0,5728.0,3.1,62.0,20.0
33,-33.0448,116.89469047619049,6053.0,6083.0,2.7666666666666666,83.0,30.0
34,-33.04796388888889,116.89450357142856,6101.0,6142.0,3.975609756097561,163.0,41.0
35,-33.049526984126985,116.89596428571429,6170.0,6190.0,3.9,78.0,20.0
36,-33.05160138888888,116.89726388888887,6235.0,6258.0,2.6956521739130435,62.0,23.0
37,-33.0522476744186,116.89705697674418,6274.0,6316.0,3.5238095238095237,148.0,42.0
38,-33.05685416666667,116.89563333333332,6333.0,6356.0,2.217391304347826,51.0,23.0
39,-33.12205208333333,116.86340416666667,6516.0,6551.0,2.857142857142857,100.0,35.0
40,-33.16843125,116.84443125000001,6661.0,6693.0,3.3125,106.0,32.0
41,-33.17205972222222,116.84657777777778,6699.0,6722.0,2.782608695652174,64.0,23.0
42,-33.17453440860214,116.85260483870968,6749.0,6841.0,3.0217391304347827,278.0,92.0
43,-33.254845945945945,116.81166936936938,7052.0,7182.0,4.876923076923077,634.0,130.0
44,-33.25830846560847,116.81705238095239,7183.0,7245.0,3.693548387096774,229.0,62.0
45,-33.34112291666666,116.74687083333333,7526.0,7561.0,1.1428571428571428,40.0,35.0
46,-33.34161666666667,116.78475416666666,7611.0,7646.0,2.7714285714285714,97.0,35.0
47,-33.33063333333334,116.83569444444444,7721.0,7761.0,4.2,168.0,40.0
48,-33.317049999999995,116.89324545454544,7851.0,7901.0,3.9,195.0,50.0
49,-33.227345253164565,117.06492426160337,8246.0,8432.0,4.252688172043011,791.0,186.0
50,-33.22684674796747,117.07128333333334,8444.0,8488.0,2.727272727272727,120.0,44.0
51,-33.220391666666664,117.0898111111111,8508.0,8533.0,2.2,55.0,25.0
52,-33.17130238095238,117.1749119047619,8738.0,8768.0,3.4,102.0,30.0
53,-33.159873958333336,117.19545000000001,8826.0,8861.0,4.171428571428572,146.0,35.0
54,-33.0658361111111,117.37708055555557,9325.0,9350.0,4.4,110.0,25.0
55,-33.064949435028254,117.37838785310731,9355.0,9416.0,3.8852459016393444,237.0,61.0
56,-33.0689,117.37885406504064,9458.0,9498.0,2.725,109.0,40.0
57,-33.06265333333333,117.38717666666666,9518.0,9538.0,2.7,54.0,20.0
58,-33.0344,117.42792011494252,9633.0,9686.0,3.5660377358490565,189.0,53.0
59,-33.03440317460318,117.43019603174604,9687.0,9707.0,3.35,67.0,20.0
60,-33.025126666666665,117.43865666666666,9739.0,9759.0,2.3,46.0,20.0
61,-33.002413636363634,117.4620378787879,9814.0,9854.0,2.85,114.0,40.0
62,-32.93846333333333,117.53754333333332,10076.0,10115.0,3.6666666666666665,143.0,39.0
63,-32.93680126582279,117.5415374472574,10118.0,10275.0,3.4394904458598727,540.0,157.0
64,-32.93401896024465,117.54715015290519,10276.0,10384.0,3.8981481481481484,421.0,108.0
65,-32.93372202380953,117.5482505952381,10385.0,10412.0,2.740740740740741,74.0,27.0
66,-32.783139922480615,117.98771395348837,11471.0,11533.0,4.258064516129032,264.0,62.0
67,-32.78316041666666,117.98930364583333,11534.0,11565.0,3.903225806451613,121.0,31.0
68,-32.78397783018868,117.99142201257862,11566.0,11671.0,3.104761904761905,326.0,105.0
69,-32.779893253968254,117.99665595238096,11695.0,11750.0,4.345454545454546,239.0,55.0
70,-32.779975,117.99830075757573,11754.0,11775.0,2.9047619047619047,61.0,21.0
71,-32.75305555555556,118.04105740740741,11932.0,11972.0,3.05,122.0,40.0
72,-32.721838562091506,118.0708591503268,12052.0,12119.0,4.208955223880597,282.0,67.0
73,-32.721475,118.07413802083333,12130.0,12161.0,2.6451612903225805,82.0,31.0
74,-32.61843333333333,118.05139,12641.0,12661.0,2.1,42.0,20.0
75,-32.608324603174594,118.03111507936508,12756.0,12776.0,3.05,61.0,20.0
76,-32.60597325102881,118.02820370370372,12788.0,12883.0,4.4,418.0,95.0
77,-32.60590238095238,118.02920761904763,12885.0,12919.0,4.176470588235294,142.0,34.0
78,-32.57331111111111,117.97322222222222,13103.0,13128.0,1.48,37.0,25.0
79,-32.54183333333333,117.94114285714286,13213.0,13243.0,2.2333333333333334,67.0,30.0
80,-32.52913166666666,117.85620999999999,13413.0,13458.0,2.9555555555555557,133.0,45.0
81,-32.51234761904762,117.78327857142857,13608.0,13638.0,2.4,72.0,30.0
82,-32.501733333333334,117.75540555555555,13693.0,13718.0,4.16,104.0,25.0
83,-32.46824583333333,117.63135625000001,13983.0,14033.0,4.06,203.0,50.0
84,-32.466598765432096,117.62970308641971,14034.0,14114.0,3.95,316.0,80.0
85,-32.465167973856204,117.62971666666668,14117.0,14179.0,3.1129032258064515,193.0,62.0
86,-32.444129999999994,117.56673666666666,14309.0,14329.0,3.45,69.0,20.0
87,-32.38052727272728,117.38200909090911,14764.0,14813.0,2.0816326530612246,102.0,49.0
88,-32.37708666666667,117.37018,14840.0,14860.0,2.65,53.0,20.0
89,-32.34702870370371,117.262925,15145.0,15181.0,2.9444444444444446,106.0,36.0
90,-32.34648333333333,117.26415714285713,15186.0,15206.0,2.5,50.0,20.0
91,-32.3443537037037,117.25886666666666,15284.0,15314.0,2.533333333333333,76.0,30.0
92,-32.26146875,117.12050833333333,15793.0,15828.0,2.4571428571428573,86.0,35.0
93,-32.240977083333334,117.08661875000001,15898.0,15933.0,2.057142857142857,72.0,35.0
94,-32.21412777777778,117.05615555555556,16003.0,16028.0,1.44,36.0,25.0
95,-32.178807142857146,117.0168404761905,16123.0,16153.0,1.5333333333333334,46.0,30.0
96,-32.16064333333333,116.99296333333332,16203.0,16223.0,2.6,52.0,20.0
97,-32.13169444444444,116.93605833333334,16359.0,16384.0,3.32,83.0,25.0
98,-32.129311111111114,116.908575,16434.0,16459.0,2.28,57.0,25.0
99,-32.13818125,116.89387916666666,16499.0,16534.0,1.6285714285714286,57.0,35.0
100,-32.160465625,116.90895416666666,16629.0,16685.0,1.9285714285714286,108.0,56.0
101,-32.15740757575758,116.91831060606059,16716.0,16750.0,2.3823529411764706,81.0,34.0
102,-32.161439393939396,116.92859696969695,16777.0,16804.0,2.7777777777777777,75.0,27.0
103,-32.197649999999996,117.02986458333334,17145.0,17180.0,2.6,91.0,35.0
104,-32.12806666666666,116.99581666666667,17585.0,17640.0,1.9272727272727272,106.0,55.0
105,-32.123009349593495,116.99333943089431,17659.0,17699.0,3.75,150.0,40.0
106,-32.1206171875,116.99734609375,17720.0,17783.0,4.380952380952381,276.0,63.0
107,-32.11911752136752,116.99957606837607,17785.0,17823.0,4.473684210526316,170.0,38.0
108,-32.11755403225806,117.00129005376344,17824.0,17885.0,4.19672131147541,256.0,61.0
109,-32.11605705128205,117.00279551282051,17887.0,17912.0,4.04,101.0,25.0
110,-32.115571367521376,117.0034841880342,17918.0,17956.0,3.736842105263158,142.0,38.0
111,-32.11484791666667,117.00392361111112,17957.0,17980.0,3.652173913043478,84.0,23.0
112,-32.114041145833326,117.00488229166666,17985.0,18048.0,3.6031746031746033,227.0,63.0
113,-32.11383571428572,117.00530555555555,18049.0,18069.0,3.1,62.0,20.0
114,-32.113738,117.00530333333334,18070.0,18094.0,2.7916666666666665,67.0,24.0
115,-32.11368253968254,117.00842777777777,18141.0,18161.0,4.25,85.0,20.0
116,-32.11412170542636,117.00873565891474,18162.0,18204.0,3.5,147.0,42.0
117,-32.11442463768116,117.00944528985508,18205.0,18250.0,3.2666666666666666,147.0,45.0
118,-32.11480615942028,117.0103503623188,18251.0,18296.0,3.4,153.0,45.0
119,-32.097661111111115,117.00373333333333,18345.0,18370.0,4.12,103.0,25.0
120,-32.08869,117.00339333333332,18375.0,18395.0,2.25,45.0,20.0
121,-32.00642222222223,117.02044444444444,18600.0,18625.0,3.6,90.0,25.0
122,-31.992403333333336,117.01729,18645.0,18665.0,1.8,36.0,20.0
123,-31.935352777777776,117.0039111111111,18800.0,18855.0,3.5454545454545454,195.0,55.0
124,-31.874461111111113,117.0195712962963,19030.0,19053.0,2.0434782608695654,47.0,23.0
125,-31.909639333333335,117.15433733333333,19358.0,19412.0,2.685185185185185,145.0,54.0
126,-31.910645614035086,117.15944356725146,19414.0,19470.0,3.732142857142857,209.0,56.0
127,-31.910030303030304,117.16681212121215,19492.0,19518.0,3.076923076923077,80.0,26.0
128,-32.018909523809526,117.1875880952381,19898.0,19938.0,2.3,92.0,40.0
129,-32.08429982638889,117.23854704861111,20134.0,20265.0,3.427480916030534,449.0,131.0
130,-32.0829086419753,117.24257901234567,20281.0,20307.0,3.076923076923077,80.0,26.0
131,-32.08423333333334,117.24548730158729,20309.0,20337.0,2.0,56.0,28.0
132,-32.115430952380954,117.26394523809525,20412.0,20442.0,1.5,45.0,30.0
133,-32.14141,117.22467333333334,20612.0,20632.0,2.9,58.0,20.0
134,-32.16929523809524,117.21758095238094,20702.0,20723.0,4.809523809523809,101.0,21.0
135,-32.17237708333333,117.21950833333334,20785.0,20812.0,1.8888888888888888,51.0,27.0
