lat,lon,climb_rate_ms,alt_gain_m,duration_s,circle_cluster_id,alt_cluster_id,circle_lat,circle_lon,alt_lat,alt_lon,dist_m,time_overlap_s,overlap_frac
-31.60770377777778,117.23024204166668,3.146938775510204,771.0,245.0,0,1,-31.608288888888893,117.23065208333334,-31.60711866666666,117.22983200000003,151.536641786096,65.0,0.6842105263157895
-31.618083506944444,117.2287791170635,2.76,69.0,25.0,1,4,-31.618636458333334,117.22846934523811,-31.617530555555557,117.22908888888888,136.2473782240596,25.0,1.0
-31.62261418650794,117.22467962962963,2.638888888888889,95.0,36.0,2,8,-31.62283392857143,117.22458333333333,-31.622394444444442,117.22477592592594,52.15999137190788,36.0,1.0
-31.626796031746032,117.22382663139328,2.0538461538461537,267.0,130.0,3,9,-31.627203174603178,117.22360079365079,-31.62638888888889,117.22405246913578,100.13568255625626,90.0,1.0
-31.938807465277776,117.22263732638888,4.12,103.0,25.0,4,19,-31.938676041666668,117.22263020833333,-31.938938888888885,117.22264444444444,29.258172973569845,25.0,1.0
-32.49067311011905,117.26426803571428,2.294736842105263,218.0,95.0,5,26,-32.4909412202381,117.2642369047619,-32.490404999999996,117.26429916666666,59.91033016186015,65.0,1.0
-32.55031903044872,117.25701445423789,2.066666666666667,124.0,60.0,6,31,-32.55057395833333,117.25721608796296,-32.5500641025641,117.2568128205128,68.13816407808886,55.0,0.9166666666666666
-32.91164922150573,117.31657902199073,2.9692307692307693,386.0,130.0,8,40,-32.911077455357145,117.31659322916667,-32.91222098765432,117.3165648148148,127.18282772429893,100.0,0.7692307692307693
-33.2808171474359,117.27628036858974,3.52,88.0,25.0,9,48,-33.28030096153846,117.27732740384616,-33.28133333333333,117.27523333333333,225.98816105285226,25.0,1.0
-32.96254282031375,117.8682037195745,2.963636363636364,326.0,110.0,10,56,-32.96262477106227,117.86855454059828,-32.96246086956523,117.8678528985507,67.94983482754407,95.0,0.8636363636363636
-32.96733120535715,117.86808455357144,3.022222222222222,136.0,45.0,11,59,-32.967159077380956,117.86817410714286,-32.96750333333334,117.867995,41.76740589040568,45.0,1.0
-32.939903497023806,117.9305644047619,3.2705882352941176,556.0,170.0,12,61,-32.941909375,117.93114166666666,-32.93789761904762,117.92998714285713,458.9138272744932,35.0,0.5
-32.77783808803763,118.23313665994624,4.066666666666666,610.0,150.0,13,66,-32.777805208333334,118.23347708333333,-32.77787096774193,118.23279623655914,64.07109185870769,70.0,1.0
-32.780496791666664,118.23427155092594,2.591304347826087,298.0,115.0,14,67,-32.780710944444444,118.23451879629631,-32.780282638888885,118.23402430555556,66.37222663671676,115.0,1.0
-32.52598832589286,118.6730370775463,2.55,51.0,20.0,15,76,-32.525496651785716,118.67351082175928,-32.52648000000001,118.67256333333333,140.87899755189315,20.0,1.0
-32.15060798611111,118.14845381944444,2.72,68.0,25.0,16,87,-32.15094097222222,118.14804097222223,-32.150275,118.14886666666665,107.36092596650002,25.0,1.0
-32.15540884849311,118.1435108592048,2.624242424242424,433.0,165.0,17,90,-32.155392206790125,118.14363495370371,-32.15542549019609,118.14338676470588,23.655470193747064,110.0,1.0
-32.158831774691365,118.13790850308641,2.3454545454545452,129.0,55.0,18,91,-32.158981604938276,118.13783506172838,-32.158681944444446,118.13798194444443,36.07567998027564,55.0,1.0
-32.03304558295541,117.9745810356745,2.7675675675675677,512.0,185.0,19,98,-32.03311616591081,117.97472391345427,-32.032975,117.97443815789474,31.176582821435463,170.0,0.918918918918919
