cluster_id,lat,lon,t_start,t_end,climb_rate_ms,climb_rate_ms_median,alt_gain_m_mean,duration_s_mean,n_circles
0,-32.099718009768004,116.92988751526252,413.0,561.0,0.35329670329670076,0.6972527472527376,17.887912087911953,49.333333333333336,3
1,-32.17168286713286,116.91141893939394,1245.0,1333.0,1.1462787212787295,1.1462787212787295,49.75774225774259,44.0,2
2,-32.174517361111114,116.90912455808082,1333.0,1417.0,1.3487762237762206,1.3487762237762206,56.0052447552446,42.0,2
3,-32.17791194444445,116.90794703703702,1417.0,1601.0,2.0113053613053524,1.9624999999999946,72.4974358974356,36.8,5
4,-32.18565113636364,116.90648023989898,1673.0,1757.0,1.1867132867132966,1.1867132867132966,49.160839160839544,42.0,2
5,-31.970924242424246,116.91237651515151,2454.0,2534.0,1.3306818181818456,1.3306818181818456,53.22727272727382,40.0,2
6,-31.97279191919192,116.91105420875421,2534.0,2606.0,2.507007575757573,2.507007575757573,90.19696969696966,36.0,2
7,-31.975054294871796,116.91112820512821,2606.0,2690.0,1.4147477522477494,1.4147477522477494,55.38971028971023,42.0,2
8,-31.68138240740741,116.84561388888889,3806.0,3870.0,3.1312499999999774,3.1312499999999774,100.19999999999928,32.0,2
9,-31.3841175,116.79581416666667,5246.0,5318.0,2.0628787878787938,2.0628787878787938,74.26363636363658,36.0,2
10,-31.311211296296296,116.7732407687991,5746.0,6026.0,2.8748977873978014,3.000000000000018,88.06902356902395,31.11111111111111,9
11,-31.20504444444444,117.09444365079366,7729.0,7801.0,3.380952380952382,3.3571428571428523,81.14285714285717,24.0,3
12,-31.210993057960557,117.0913017252886,7801.0,8097.0,3.9879491341991447,4.610119047619093,114.31225108225132,29.6,10
13,-31.47769842592593,117.70802120370371,9417.0,9485.0,4.338825757575769,4.338825757575769,145.93939393939434,34.0,2
14,-31.48107288888889,117.70673250925927,9485.0,9641.0,4.42579004329004,4.329166666666642,136.25606060606046,31.2,5
15,-31.653197045454547,118.1522387121212,10749.0,10825.0,3.3886363636363726,3.3886363636363726,128.136363636364,38.0,2
16,-31.66185166666667,118.15708583333333,10965.0,11037.0,3.099999999999989,3.099999999999989,111.5999999999996,36.0,2
17,-31.663991666666668,118.15833425925925,11037.0,11101.0,2.816666666666637,2.816666666666637,90.13333333333239,32.0,2
18,-31.843099924242427,118.67896577160495,12265.0,12493.0,3.2349164724164683,3.2400786713286456,122.00299145299128,38.0,6
19,-32.19214511904761,118.87388833333333,14535.0,14623.0,2.0795954045953966,2.0795954045953966,87.77532467532427,44.0,2
20,-32.20216812289563,118.60274172979798,15227.0,15367.0,3.350662878787869,3.432765151515151,116.11515151515117,35.0,4
21,-32.205759305555546,118.45014416666666,15715.0,15815.0,2.04450549450548,2.04450549450548,101.16538461538394,50.0,2
22,-32.173590340909094,117.3729831439394,18319.0,18403.0,2.0305069930069886,2.0305069930069886,85.55594405594385,42.0,2
