cluster_id,lat,lon,t_start,t_end,climb_rate_ms,climb_rate_ms_median,alt_gain_m_mean,duration_s_mean,n_circles
0,-32.1245289782553,116.94828134146842,369.0,584.0,1.1317312358917688,0.9712412587412544,29.593290581599256,26.875,8
1,-32.133291071428566,116.9472381547619,609.0,733.0,1.8136904761904944,2.2142857142857286,45.48333333333379,24.8,5
2,-32.000994532627864,116.93198747795414,1586.0,1666.0,0.8529761904761987,0.9874999999999949,23.10476190476209,26.666666666666668,3
3,-31.99669252136752,116.93166623931623,1666.0,1746.0,0.8204670329670234,0.8204670329670234,32.782417582417374,40.0,2
4,-31.934303571428572,116.93711666666667,2114.0,2162.0,2.379464285714293,2.379464285714293,57.10714285714304,24.0,2
5,-31.9428380952381,116.93713333333334,2242.0,2314.0,2.517857142857157,2.6428571428571472,60.428571428571765,24.0,3
6,-31.692308333333333,116.90037843915346,3334.0,3542.0,2.72619047619048,2.6696428571428474,62.82539682539694,23.11111111111111,9
7,-31.698669444444445,116.90014107142856,3542.0,3622.0,2.302579365079377,2.3482142857142896,60.59126984127016,26.666666666666668,3
8,-31.70156904761905,116.90015074404762,3622.0,3674.0,1.998511904761923,1.998511904761923,50.97619047619098,26.0,2
9,-31.658619047619048,116.89244880952381,3830.0,3878.0,2.017857142857161,2.017857142857161,48.428571428571864,24.0,2
10,-31.66226593915344,116.89109662698412,3878.0,4014.0,2.4651785714285626,2.6383928571428457,55.916666666666494,22.666666666666668,6
11,-31.538223280423278,116.84656534391533,4486.0,4542.0,2.2860119047619065,2.2860119047619065,65.08095238095233,28.0,2
12,-31.334177910052908,116.81631560846562,5058.0,5114.0,1.629761904761907,1.629761904761907,45.580952380952404,28.0,2
13,-31.24008968253968,116.80613015873017,5398.0,5470.0,1.9761904761904976,1.6071428571428843,47.42857142857195,24.0,3
14,-31.24288839285714,116.8050068452381,5470.0,5522.0,2.468750000000011,2.468750000000011,61.87500000000031,26.0,2
15,-31.151446825396825,116.77233174603174,5866.0,5922.0,1.9065476190476323,1.9065476190476323,49.72380952380979,28.0,2
16,-31.093572380952377,116.83961182539683,6372.0,6480.0,3.7532142857142707,3.5803571428571686,81.21428571428542,21.6,5
17,-31.097952226631396,116.83544014550264,6480.0,6696.0,3.0535714285714386,3.3071428571428165,73.98809523809551,24.0,9
18,-31.240818253968254,117.05786884920636,7188.0,7232.0,3.8276785714285637,3.8276785714285637,83.53571428571425,22.0,2
19,-31.244503117913833,117.05546411564626,7232.0,7396.0,2.712244897959188,2.7410714285714253,63.67346938775521,23.428571428571427,7
20,-31.396502579365077,117.50140297619048,8568.0,8612.0,3.624999999999995,3.624999999999995,79.7857142857142,22.0,2
21,-31.399490476190472,117.49763095238094,8636.0,8684.0,1.968750000000034,1.968750000000034,47.25000000000082,24.0,2
22,-31.403880492424243,117.49832821969696,8708.0,8776.0,1.5358495670995769,1.5358495670995769,52.34469696969718,34.0,2
23,-31.44563898809524,117.58861981646825,9036.0,9132.0,2.521577380952394,2.821428571428566,58.68452380952417,24.0,4
24,-31.598492328042326,117.8947693121693,9848.0,10064.0,3.951388888888907,4.142857142857183,94.83333333333377,24.0,9
25,-31.692150977891153,118.02949102891158,10528.0,10712.0,2.6449829931972992,2.5267857142857038,69.04931972789169,26.285714285714285,7
26,-31.886820141093477,118.47347687830688,11764.0,12132.0,2.777539682539706,2.8482142857142976,67.30984126984181,24.533333333333335,15
27,-31.95857565267335,118.66758185045948,12644.0,13096.0,3.950657894736863,4.31249999999999,93.39473684210581,23.789473684210527,19
28,-32.1549677910053,119.07292708333333,14235.0,14455.0,3.7414021164021287,4.196428571428547,89.65608465608504,24.444444444444443,9
29,-32.20568061755952,118.77616569940476,15023.0,15223.0,2.740699404761931,2.7366071428571757,68.34672619047686,25.0,8
30,-32.231793452380956,118.45431904761907,15855.0,15979.0,2.384523809523839,2.6339285714286005,58.51666666666739,24.8,5
31,-32.23114416666666,118.31806226190477,16267.0,16391.0,2.2196428571428806,2.205357142857183,55.03571428571489,24.8,5
32,-32.23713147321428,118.31836785714285,16419.0,16527.0,2.5297619047619313,2.5223214285714306,68.66369047619122,27.0,4
33,-32.268065608465605,117.72705211640212,17823.0,18039.0,2.099206349206378,2.2767857142857952,50.380952380953076,24.0,9
