cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-32.12224,116.95090916666668,187.0,207.0,5.2,104.0,20.0
1,-32.12058988095238,116.94769404761905,208.0,235.0,3.7777777777777777,102.0,27.0
2,-32.12574083333333,116.94551500000003,317.0,337.0,3.45,69.0,20.0
3,-32.14785069444444,116.92738402777779,1568.0,1591.0,3.8260869565217392,88.0,23.0
4,-32.14860579710144,116.92742101449277,1592.0,1614.0,4.5,99.0,22.0
5,-32.150553240740734,116.92739120370369,1621.0,1656.0,3.5142857142857142,123.0,35.0
6,-32.15244285714286,116.92717222222221,1664.0,1684.0,2.95,59.0,20.0
7,-32.15370287356322,116.92710344827584,1685.0,1714.0,4.551724137931035,132.0,29.0
8,-32.15448333333333,116.92704523809525,1715.0,1735.0,4.05,81.0,20.0
9,-32.15577803030303,116.92740984848483,1742.0,1763.0,4.190476190476191,88.0,21.0
10,-32.15850555555556,116.92860555555556,1801.0,1821.0,2.75,55.0,20.0
11,-32.15216715686274,116.93368627450981,2177.0,2210.0,2.484848484848485,82.0,33.0
12,-32.17218560606061,116.94192727272726,2511.0,2554.0,2.186046511627907,94.0,43.0
13,-32.24039880952381,116.94767976190477,2704.0,2743.0,3.41025641025641,133.0,39.0
14,-32.39586666666666,116.97083541666667,3214.0,3235.0,3.0476190476190474,64.0,21.0
15,-32.400220833333336,116.97179479166667,3292.0,3337.0,1.9777777777777779,89.0,45.0
16,-32.40427037037037,116.97146851851852,3388.0,3412.0,1.8333333333333333,44.0,24.0
17,-32.44852777777778,116.97724814814813,3562.0,3586.0,1.5,36.0,24.0
18,-32.48394583333333,116.98514166666666,3712.0,3733.0,1.7619047619047619,37.0,21.0
19,-32.59625980392156,116.99212450980392,4144.0,4192.0,3.5416666666666665,170.0,48.0
20,-32.602223076923075,116.99405769230768,4222.0,4258.0,1.2222222222222223,44.0,36.0
21,-32.69094722222222,117.01162222222223,4501.0,4534.0,1.9090909090909092,63.0,33.0
22,-32.7705962962963,117.0214888888889,4861.0,4885.0,3.2916666666666665,79.0,24.0
23,-32.776469999999996,117.02391,4963.0,4990.0,2.3703703703703702,64.0,27.0
24,-32.77835,117.0255130952381,4993.0,5032.0,3.0256410256410255,118.0,39.0
25,-32.77976999999999,117.02589833333332,5050.0,5077.0,2.111111111111111,57.0,27.0
26,-32.78132023809523,117.02675119047618,5080.0,5119.0,2.717948717948718,106.0,39.0
27,-32.783478571428574,117.0282,5122.0,5161.0,6.743589743589744,263.0,39.0
28,-32.91743863636364,117.08065984848486,5539.0,5602.0,2.9206349206349205,184.0,63.0
29,-32.92243695652174,117.08224275362319,5623.0,5689.0,2.787878787878788,184.0,66.0
30,-32.92662261904762,117.08355476190476,5695.0,5734.0,2.2564102564102564,88.0,39.0
31,-33.061325287356325,117.13924195402298,6106.0,6190.0,2.6904761904761907,226.0,84.0
32,-33.06651944444444,117.14187129629629,6193.0,6244.0,2.4901960784313726,127.0,51.0
33,-33.07386767676768,117.14628282828284,6304.0,6400.0,3.40625,327.0,96.0
34,-33.07933632478633,117.15051196581196,6403.0,6517.0,2.719298245614035,310.0,114.0
35,-33.084825,117.15334761904762,6535.0,6574.0,2.1538461538461537,84.0,39.0
36,-33.08742843137255,117.15395980392157,6577.0,6625.0,2.2291666666666665,107.0,48.0
37,-33.1569918079096,117.17499802259887,6787.0,6961.0,3.4310344827586206,597.0,174.0
38,-33.16070555555555,117.17678611111111,6964.0,7015.0,2.0588235294117645,105.0,51.0
39,-33.21648777777778,117.20053444444444,7171.0,7213.0,1.3333333333333333,56.0,42.0
