cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-32.13567435897436,116.97161025641026,186.0,234.0,3.5,168.0,48.0
1,-32.14191818181819,116.96124848484847,238.0,278.0,2.2,88.0,40.0
2,-32.16854583333333,116.96606666666668,370.0,398.0,1.5357142857142858,43.0,28.0
3,-32.168612499999995,116.96712916666667,406.0,434.0,1.6785714285714286,47.0,28.0
4,-32.16804047619048,116.9678119047619,438.0,462.0,1.5,36.0,24.0
5,-32.16966428571428,116.97150238095237,498.0,522.0,1.4583333333333333,35.0,24.0
6,-32.17892777777778,116.98048888888889,622.0,642.0,2.4,48.0,20.0
7,-32.1782358974359,116.98007307692309,654.0,702.0,2.2291666666666665,107.0,48.0
8,-32.17702181818182,116.97818575757577,706.0,922.0,2.5694444444444446,555.0,216.0
9,-32.04463055555556,116.95921388888888,1226.0,1246.0,6.3,126.0,20.0
10,-31.977072222222223,116.98368888888889,1370.0,1390.0,2.9,58.0,20.0
11,-31.9389619047619,117.00432619047619,1462.0,1486.0,3.4166666666666665,82.0,24.0
12,-31.913321428571425,117.01790238095238,1526.0,1550.0,5.166666666666667,124.0,24.0
13,-31.835197619047616,117.0213,1698.0,1722.0,3.2916666666666665,79.0,24.0
14,-31.816675,117.0245888888889,1802.0,1822.0,1.55,31.0,20.0
15,-31.79605462962963,117.02195185185185,1938.0,2006.0,3.4705882352941178,236.0,68.0
16,-31.793446376811605,117.02059637681162,2010.0,2098.0,2.8295454545454546,249.0,88.0
17,-31.791408333333333,117.01942666666666,2102.0,2138.0,2.1666666666666665,78.0,36.0
18,-31.726381250000003,117.01527083333332,2262.0,2290.0,4.535714285714286,127.0,28.0
19,-31.645838888888893,117.01811111111111,2438.0,2458.0,2.7,54.0,20.0
20,-31.60765,117.0146880952381,2518.0,2542.0,2.5833333333333335,62.0,24.0
21,-31.592538095238098,117.01638333333334,2578.0,2602.0,3.2083333333333335,77.0,24.0
22,-31.589924999999997,117.0134272222222,2610.0,2726.0,2.5775862068965516,299.0,116.0
23,-31.546551851851852,117.00278333333333,2798.0,2830.0,4.6875,150.0,32.0
24,-31.413241666666668,116.97729444444444,3098.0,3118.0,3.95,79.0,20.0
25,-31.410952380952384,116.97497857142858,3122.0,3146.0,2.4166666666666665,58.0,24.0
26,-31.40928333333333,116.97401111111111,3150.0,3170.0,2.1,42.0,20.0
27,-31.381075000000003,116.98072708333333,3238.0,3266.0,3.0714285714285716,86.0,28.0
28,-31.340970238095235,116.99951428571428,3338.0,3390.0,2.8653846153846154,149.0,52.0
29,-31.33736111111111,116.99787500000001,3398.0,3418.0,2.6,52.0,20.0
30,-31.282040000000002,117.01103,3534.0,3570.0,4.944444444444445,178.0,36.0
31,-31.199005555555555,117.03193148148148,3726.0,3758.0,3.78125,121.0,32.0
32,-31.196580952380952,117.0307142857143,3778.0,3802.0,2.4166666666666665,58.0,24.0
33,-31.213140740740737,117.06836296296296,3904.0,3936.0,4.15625,133.0,32.0
34,-31.236361111111112,117.11433055555555,4024.0,4044.0,6.45,129.0,20.0
35,-31.26356688311688,117.22248636363635,4316.0,4620.0,3.661184210526316,1113.0,304.0
36,-31.304052380952385,117.31441666666667,4832.0,4856.0,4.458333333333333,107.0,24.0
37,-31.33016904761905,117.40239523809522,5016.0,5040.0,2.9583333333333335,71.0,24.0
38,-31.36609285714286,117.47299285714287,5196.0,5220.0,1.5,36.0,24.0
39,-31.370790740740738,117.48015185185184,5224.0,5256.0,2.15625,69.0,32.0
40,-31.38367222222222,117.51636666666667,5352.0,5372.0,7.05,141.0,20.0
41,-31.437762499999998,117.6648625,5692.0,5720.0,3.7142857142857144,104.0,28.0
42,-31.450366666666667,117.69993611111111,5780.0,5800.0,3.05,61.0,20.0
43,-31.461967142857144,117.72949428571428,5844.0,5980.0,2.860294117647059,389.0,136.0
44,-31.458167543859656,117.72773771929825,5984.0,6132.0,2.4594594594594597,364.0,148.0
45,-31.46084259259259,117.77277777777778,6204.0,6236.0,2.09375,67.0,32.0
46,-31.481855555555555,117.86522962962961,6416.0,6448.0,5.375,172.0,32.0
47,-31.480216666666667,117.86692499999998,6452.0,6472.0,4.0,80.0,20.0
48,-31.479052083333336,117.86597395833334,6480.0,6540.0,3.2333333333333334,194.0,60.0
49,-31.475764285714284,117.87829285714285,6564.0,6588.0,6.666666666666667,160.0,24.0
50,-31.476713636363638,117.90475454545457,6612.0,6652.0,5.025,201.0,40.0
51,-31.47756388888889,117.94679722222223,6704.0,6724.0,5.0,100.0,20.0
52,-31.480496666666664,118.0314,6864.0,6900.0,4.333333333333333,156.0,36.0
53,-31.48172222222222,118.08633333333334,6976.0,6996.0,7.05,141.0,20.0
54,-31.485178723404243,118.21811879432623,7234.0,7418.0,3.1684782608695654,583.0,184.0
55,-31.481833333333334,118.215365625,7422.0,7482.0,2.45,147.0,60.0
56,-31.481685714285714,118.21410000000002,7486.0,7510.0,3.6666666666666665,88.0,24.0
57,-31.4806125,118.2137625,7518.0,7546.0,3.142857142857143,88.0,28.0
58,-31.47978055555556,118.21332777777779,7550.0,7594.0,3.0454545454545454,134.0,44.0
59,-31.477911666666664,118.21135499999998,7642.0,7678.0,2.6666666666666665,96.0,36.0
60,-31.54221904761905,118.19397142857144,7846.0,7870.0,3.2916666666666665,79.0,24.0
61,-31.590752380952377,118.1762,7950.0,7974.0,1.75,42.0,24.0
62,-31.61305952380952,118.16737142857143,8002.0,8026.0,3.0833333333333335,74.0,24.0
63,-31.669888888888888,118.16067777777778,8147.0,8167.0,3.65,73.0,20.0
64,-31.700594444444445,118.16325555555557,8223.0,8243.0,2.65,53.0,20.0
65,-31.730175555555554,118.1670977777778,8303.0,8359.0,2.392857142857143,134.0,56.0
