cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-31.632784523809526,117.22752976190476,317.0,381.0,2.09375,134.0,64.0
1,-31.641497619047616,117.23754047619046,383.0,405.0,3.590909090909091,79.0,22.0
2,-31.645905555555554,117.246875,410.0,435.0,2.32,58.0,25.0
3,-31.645610256410254,117.26018974358973,437.0,496.0,2.1864406779661016,129.0,59.0
4,-31.64190952380952,117.27464761904763,507.0,537.0,1.2666666666666666,38.0,30.0
5,-31.66166666666667,117.2713875,578.0,615.0,1.6216216216216217,60.0,37.0
6,-31.666015000000005,117.26099499999998,620.0,665.0,2.311111111111111,104.0,45.0
7,-31.643099999999997,117.23700185185186,1841.0,1861.0,2.7,54.0,20.0
8,-31.653316666666665,117.22678833333332,1965.0,1997.0,4.5,144.0,32.0
9,-31.70543809523809,117.15119523809524,2194.0,2225.0,3.3548387096774195,104.0,31.0
10,-31.7113,117.12874333333335,2255.0,2276.0,2.2857142857142856,48.0,21.0
11,-31.764486666666663,117.06439333333336,2455.0,2475.0,3.75,75.0,20.0
12,-31.788519444444443,117.04938055555554,2583.0,2606.0,4.521739130434782,104.0,23.0
13,-31.913823333333333,116.97193,3064.0,3084.0,2.8,56.0,20.0
14,-31.92470555555556,116.99952777777777,3217.0,3242.0,1.92,48.0,25.0
15,-31.92142962962963,117.00536481481481,3327.0,3350.0,2.9565217391304346,68.0,23.0
16,-31.869096666666668,117.29472666666666,4562.0,4582.0,4.75,95.0,20.0
17,-31.87413125,117.30751666666667,4597.0,4624.0,4.185185185185185,113.0,27.0
18,-31.784186666666663,117.43999,5305.0,5325.0,3.95,79.0,20.0
19,-31.774742857142854,117.52504285714285,5664.0,5694.0,2.3,69.0,30.0
20,-31.773214285714285,117.58877857142859,5809.0,5839.0,3.4,102.0,30.0
21,-31.670114285714284,117.84620238095238,7265.0,7295.0,2.7333333333333334,82.0,30.0
22,-31.624218055555556,118.06490972222223,7920.0,7945.0,2.56,64.0,25.0
23,-31.564452777777777,118.19115833333332,8887.0,8913.0,1.6538461538461537,43.0,26.0
24,-31.54756111111111,118.20913611111109,8948.0,8974.0,3.423076923076923,89.0,26.0
25,-31.534349122807015,118.20311666666665,9158.0,9178.0,4.05,81.0,20.0
26,-31.51312272727273,118.28537575757576,9357.0,9402.0,4.533333333333333,204.0,45.0
27,-31.493238095238098,118.34849523809523,9552.0,9582.0,4.933333333333334,148.0,30.0
28,-31.48900555555555,118.36073888888887,9593.0,9618.0,2.36,59.0,25.0
29,-31.483006666666665,118.39851999999999,9675.0,9695.0,2.15,43.0,20.0
30,-31.46051,118.48244,9977.0,9997.0,3.6,72.0,20.0
31,-31.447901515151514,118.59309545454548,10227.0,10263.0,3.7777777777777777,136.0,36.0
