cluster_id,lat,lon,t_start,t_end,climb_rate_ms,climb_rate_ms_median,alt_gain_m_mean,duration_s_mean,n_circles
0,-32.13998826432816,116.97840061817135,770.0,852.0,0.9507097626620188,0.9507097626620188,37.02330816258565,41.0,2
1,-32.13961933751586,116.97417620670112,852.0,1145.0,1.9135612999303278,2.2327287814129853,64.79204880969837,40.25,4
2,-32.138251912878786,116.97218896464648,888.0,1177.0,1.9799016263506726,1.9799016263506726,67.58180513890628,35.5,2
3,-31.774382864583334,116.86666151041666,3305.0,3365.0,2.499453938719824,2.499453938719824,74.75982404692189,30.0,2
4,-31.383253727422005,116.77754653992201,4595.0,4740.0,4.31717685756342,4.2250733137830405,124.65890841916772,29.0,5
5,-31.25050615530303,116.74557973484849,5235.0,5304.0,3.299187195666856,3.299187195666856,112.46084101071853,34.5,2
6,-31.13996116946779,117.22942693744164,8478.0,8556.0,2.0349646460677184,2.0349646460677184,78.61044095239475,39.0,2
7,-31.153489516129028,117.28222325268817,8944.0,9007.0,4.400931516301547,4.400931516301547,139.0081593927898,31.5,2
8,-31.218130712669684,117.44744083081952,9508.0,9579.0,2.9799691794274135,2.9799691794274135,105.73118939883746,35.5,2
9,-31.21936778147327,117.4447571199803,9579.0,9651.0,2.3777171178892607,2.3777171178892607,82.96429968883272,36.0,2
10,-31.568169672531774,117.35391315575106,10645.0,10707.0,1.4793600138002265,1.4793600138002265,45.90887528031689,31.0,2
11,-31.787914982078853,117.30065403225805,11319.0,11378.0,3.5022316462736462,3.5022316462736462,103.58185483870994,29.5,2
12,-31.787052534893267,117.29771231527093,11378.0,11434.0,3.6721927497789553,3.6721927497789553,102.82139699381075,28.0,2
13,-32.16570380116959,117.20628938230993,12717.0,12762.0,4.338993899254123,4.338993899254123,97.58025708793855,22.5,2
14,-32.351835971014495,117.19472383467524,13253.0,13328.0,2.8717922523668107,2.834042004896232,71.90860448657126,25.0,3
15,-32.63665578028293,117.14005848990568,14222.0,14344.0,2.8816213944309754,2.8206896551724037,70.24738343648656,24.4,5
16,-32.82567743055556,117.1631235,14970.0,15017.0,3.696103678929749,3.696103678929749,86.68692307692268,23.5,2
17,-32.82436906828704,117.15665301890434,15068.0,15125.0,2.1924454353890144,2.1924454353890144,61.485344516595404,28.5,2
18,-32.7849402827381,117.11386823660715,15902.0,15967.0,1.5563911855064791,1.5563911855064791,51.20863095238157,32.5,2
19,-32.685850418871254,117.07369268077602,16239.0,16292.0,3.998547429581922,3.998547429581922,105.62561576354705,26.5,2
20,-32.685968137254896,117.06975166900094,16292.0,16385.0,3.3814846035941994,3.290366721401251,105.00825847580609,31.0,3
