cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-32.13636463414634,116.96445934959351,295.0,476.0,3.5580110497237567,644.0,181.0
1,-32.142629629629624,116.9824851851852,716.0,744.0,2.7142857142857144,76.0,28.0
2,-32.141829629629626,116.97905462962964,989.0,1022.0,3.121212121212121,103.0,33.0
3,-32.14105260416667,116.9759484375,1052.0,1083.0,3.225806451612903,100.0,31.0
4,-32.140346,116.97431,1084.0,1108.0,3.4166666666666665,82.0,24.0
5,-32.13844623655913,116.97265322580645,1135.0,1165.0,3.0,90.0,30.0
6,-32.13740745614035,116.96916052631578,1184.0,1221.0,2.27027027027027,84.0,37.0
7,-32.11057666666666,116.97111666666667,1342.0,1362.0,2.35,47.0,20.0
8,-32.13636666666667,116.97218333333335,1479.0,1499.0,2.55,51.0,20.0
9,-32.163193478260865,116.97075942028985,1609.0,1631.0,1.8636363636363635,41.0,22.0
10,-32.14947301587302,116.95291190476189,1849.0,1885.0,4.555555555555555,164.0,36.0
11,-32.14571802721088,116.94876700680271,1915.0,1963.0,3.4375,165.0,48.0
12,-32.07845634920635,116.93199920634922,2301.0,2321.0,3.7,74.0,20.0
13,-32.07461944444444,116.92716759259257,2345.0,2374.0,1.9655172413793103,57.0,29.0
14,-32.014133333333334,116.93443921568627,2489.0,2528.0,5.205128205128205,203.0,39.0
15,-32.0141126984127,116.93457698412695,2529.0,2549.0,3.25,65.0,20.0
16,-32.01293513513513,116.93033198198201,2550.0,2623.0,3.643835616438356,266.0,73.0
17,-31.815892857142863,116.89265238095238,3045.0,3073.0,3.0357142857142856,85.0,28.0
18,-31.780853333333333,116.87313333333334,3215.0,3252.0,3.054054054054054,113.0,37.0
19,-31.63999533333333,116.83293000000002,3717.0,3741.0,2.6666666666666665,64.0,24.0
20,-31.59070277777778,116.82370000000002,3842.0,3867.0,3.28,82.0,25.0
21,-31.584829411764705,116.81783039215688,3890.0,3914.0,2.9166666666666665,70.0,24.0
22,-31.467108823529408,116.78240098039217,4216.0,4242.0,2.923076923076923,76.0,26.0
23,-31.383351666666663,116.78275416666668,4515.0,4561.0,3.260869565217391,150.0,46.0
24,-31.383648550724637,116.78026086956524,4601.0,4623.0,5.7272727272727275,126.0,22.0
25,-31.383345333333338,116.77759933333333,4655.0,4679.0,4.125,99.0,24.0
26,-31.382977160493827,116.77589598765432,4684.0,4737.0,4.245283018867925,225.0,53.0
27,-31.382868589743588,116.77454166666668,4746.0,4771.0,3.92,98.0,25.0
28,-31.263841666666664,116.759665625,5037.0,5077.0,3.325,133.0,40.0
29,-31.250222222222224,116.7459925925926,5220.0,5276.0,2.982142857142857,167.0,56.0
30,-31.040883333333333,116.72233999999999,5799.0,5819.0,2.35,47.0,20.0
31,-30.96068095238095,116.72153809523809,5979.0,6009.0,2.3,69.0,30.0
32,-30.913898,116.70484533333332,6222.0,6246.0,2.5416666666666665,61.0,24.0
33,-30.916980555555558,116.76892777777778,6611.0,6636.0,3.36,84.0,25.0
34,-30.922896078431368,116.78315588235294,6651.0,6694.0,4.046511627906977,174.0,43.0
35,-30.952737499999998,116.83712083333333,6932.0,6967.0,2.7142857142857144,95.0,35.0
36,-31.003376666666668,116.94345666666668,7212.0,7232.0,2.55,51.0,20.0
37,-31.011716666666665,116.96161666666669,7262.0,7292.0,3.6666666666666665,110.0,30.0
38,-31.01028505747127,116.96075977011496,7295.0,7323.0,3.142857142857143,88.0,28.0
39,-31.007529365079368,116.9593666666667,7343.0,7363.0,3.15,63.0,20.0
40,-31.0363880952381,117.00570238095237,7589.0,7618.0,3.0,87.0,29.0
41,-31.04921333333333,117.01367,7669.0,7689.0,6.1,122.0,20.0
42,-31.062923333333334,117.02777666666665,7822.0,7842.0,2.65,53.0,20.0
43,-31.089065740740736,117.10311388888888,8007.0,8046.0,2.948717948717949,115.0,39.0
44,-31.10118666666667,117.14952666666667,8243.0,8263.0,3.75,75.0,20.0
45,-31.140374999999995,117.22991944444443,8448.0,8473.0,3.56,89.0,25.0
46,-31.140565789473683,117.22841754385963,8478.0,8500.0,2.772727272727273,61.0,22.0
47,-31.13857121212121,117.2286424242424,8523.0,8544.0,2.619047619047619,55.0,21.0
48,-31.16280277777778,117.29099722222223,8740.0,8765.0,4.84,121.0,25.0
49,-31.16091818181818,117.28875075757578,8791.0,8812.0,3.7142857142857144,78.0,21.0
50,-31.158204166666668,117.28522708333333,8846.0,8869.0,3.739130434782609,86.0,23.0
51,-31.153362865497073,117.28253216374269,8946.0,9002.0,4.410714285714286,247.0,56.0
52,-31.152238596491227,117.27981345029241,9003.0,9059.0,4.017857142857143,225.0,56.0
53,-31.21694814814815,117.4500314814815,9429.0,9469.0,4.5,180.0,40.0
54,-31.219022222222222,117.44939513888887,9487.0,9510.0,3.4782608695652173,80.0,23.0
55,-31.218398275862068,117.44803735632186,9511.0,9539.0,2.892857142857143,81.0,28.0
56,-31.217266000000006,117.4479,9543.0,9567.0,3.0416666666666665,73.0,24.0
57,-31.218472413793098,117.44602183908046,9569.0,9597.0,3.2857142857142856,92.0,28.0
58,-31.21900114942529,117.4442287356322,9598.0,9626.0,2.7142857142857144,76.0,28.0
59,-31.31443563218391,117.42426494252872,9877.0,9927.0,5.58,279.0,50.0
60,-31.314401449275355,117.42148623188405,9933.0,9955.0,4.5,99.0,22.0
61,-31.567397619047618,117.35976666666667,10561.0,10585.0,5.416666666666667,130.0,24.0
62,-31.66060238095238,117.32799047619048,10951.0,10981.0,4.633333333333334,139.0,30.0
63,-31.70836,117.31880333333334,11081.0,11101.0,4.9,98.0,20.0
64,-31.715629999999997,117.31885333333335,11106.0,11126.0,1.7,34.0,20.0
65,-31.78829358974359,117.30172371794872,11311.0,11338.0,3.6296296296296298,98.0,27.0
66,-31.787348299319728,117.29823724489796,11349.0,11447.0,3.8469387755102042,377.0,98.0
67,-31.935283333333338,117.26581333333334,11795.0,11815.0,4.35,87.0,20.0
68,-32.092997619047615,117.2390880952381,12170.0,12200.0,4.6,138.0,30.0
69,-32.093606666666666,117.23753666666666,12206.0,12230.0,4.791666666666667,115.0,24.0
70,-32.09251543209877,117.23608209876544,12232.0,12258.0,3.3076923076923075,86.0,26.0
71,-32.091077999999996,117.21767066666668,12490.0,12514.0,3.2916666666666665,79.0,24.0
72,-32.163516666666666,117.2077,12682.0,12712.0,4.1,123.0,30.0
73,-32.16555,117.20555634920636,12741.0,12761.0,4.3,86.0,20.0
74,-32.31269166666667,117.19515555555556,13113.0,13138.0,3.8,95.0,25.0
75,-32.35019722222222,117.19785555555553,13223.0,13248.0,3.76,94.0,25.0
76,-32.35192708333333,117.19374236111112,13296.0,13319.0,3.6956521739130435,85.0,23.0
77,-32.35171884057971,117.19219057971016,13321.0,13343.0,3.3181818181818183,73.0,22.0
78,-32.35164066666667,117.189424,13364.0,13388.0,3.1666666666666665,76.0,24.0
79,-32.397261904761905,117.18206666666666,13494.0,13524.0,5.666666666666667,170.0,30.0
80,-32.47598333333333,117.18739666666666,13709.0,13729.0,3.3,66.0,20.0
81,-32.54192333333333,117.17734666666665,13864.0,13884.0,3.6,72.0,20.0
82,-32.556729999999995,117.17267,13909.0,13929.0,2.0,40.0,20.0
83,-32.633501851851854,117.1461462962963,14162.0,14193.0,3.3225806451612905,103.0,31.0
84,-32.63643717948718,117.14189038461538,14226.0,14277.0,2.9019607843137254,148.0,51.0
85,-32.636494202898554,117.13477681159421,14359.0,14381.0,3.8181818181818183,84.0,22.0
86,-32.63650533333333,117.13288066666667,14383.0,14407.0,3.125,75.0,24.0
87,-32.69461,117.13456333333333,14618.0,14638.0,1.5,30.0,20.0
88,-32.82617738095238,117.16364206349206,14943.0,15002.0,4.3559322033898304,257.0,59.0
89,-32.824872727272734,117.16163409090909,15006.0,15027.0,4.190476190476191,88.0,21.0
90,-32.82452,117.15948000000002,15040.0,15064.0,3.2083333333333335,77.0,24.0
91,-32.89266666666667,117.17262333333333,15303.0,15323.0,5.15,103.0,20.0
92,-32.89496287878788,117.17149393939394,15328.0,15357.0,3.0689655172413794,89.0,29.0
93,-32.88888611111111,117.15370833333334,15587.0,15612.0,3.48,87.0,25.0
94,-32.78664074074074,117.11842222222224,15837.0,15875.0,2.5,95.0,38.0
95,-32.686376126126135,117.0747671171171,16202.0,16267.0,4.630769230769231,301.0,65.0
96,-32.685667094017106,117.07295982905987,16268.0,16306.0,3.5526315789473686,135.0,38.0
97,-32.685857142857145,117.07066547619047,16309.0,16336.0,4.185185185185185,113.0,27.0
98,-32.45004166666667,117.01575277777778,16875.0,16900.0,4.36,109.0,25.0
99,-32.29547222222222,116.97672499999999,17220.0,17245.0,4.6,115.0,25.0
100,-32.292353472222224,116.97466458333334,17260.0,17283.0,4.043478260869565,93.0,23.0
101,-32.292489506172835,116.97198827160493,17290.0,17316.0,3.3846153846153846,88.0,26.0
102,-32.29334797979798,116.96844393939394,17330.0,17362.0,2.9375,94.0,32.0
103,-32.292300187265916,116.96236479400748,17380.0,17468.0,3.272727272727273,288.0,88.0
104,-32.06859722222222,116.96762222222223,17976.0,18001.0,3.12,78.0,25.0
105,-32.08375238095238,116.99009523809525,18176.0,18206.0,2.966666666666667,89.0,30.0
106,-32.085924,116.987196,18216.0,18240.0,2.7083333333333335,65.0,24.0
107,-32.087151960784304,116.98040980392157,18306.0,18339.0,2.727272727272727,90.0,33.0
108,-32.10722333333333,116.97061444444444,18506.0,18544.0,3.3684210526315788,128.0,38.0
109,-32.12167916666667,116.96938958333334,18592.0,18627.0,3.142857142857143,110.0,35.0
110,-32.131569444444445,116.97660555555557,18632.0,18657.0,1.48,37.0,25.0
111,-32.26659736842105,116.99755964912282,19073.0,19122.0,3.4081632653061225,167.0,49.0
