cluster_id,lat,lon,t_start,t_end,climb_rate_ms,climb_rate_ms_median,alt_gain_m_mean,duration_s_mean,n_circles
0,-31.617164396551722,117.24082925287354,310.0,367.0,2.1370729381852893,2.1370729381852893,60.86674082313694,28.5,2
1,-31.623565728600813,117.22077072488828,547.0,859.0,0.7870912826030843,0.7172086523617458,21.264433537747358,31.2,10
2,-31.628672930931877,117.21622237706664,859.0,1030.0,2.883964416706006,2.9969230769230695,69.12356412243518,24.428571428571427,7
3,-31.6310056763285,117.21077781400965,1030.0,1081.0,1.795894208321025,1.795894208321025,44.49298737727835,25.5,2
4,-31.507314623767552,117.06860971103558,1759.0,1936.0,2.6597595185359,2.607792207792226,52.34824269721224,19.666666666666668,9
5,-31.50745651515151,117.0594446590909,1974.0,2014.0,4.046185622158138,4.046185622158138,80.93681535855401,20.0,2
6,-31.224147499860763,116.86063005318852,3086.0,3206.0,4.577690964006714,4.4879699248119795,90.74359885728234,20.0,6
7,-30.90398921400326,116.68124678266838,4535.0,4718.0,2.584132054534813,2.6675645635828458,56.119043151265885,22.875,8
8,-30.90620667816092,116.67313560919541,4748.0,4800.0,2.355047366426687,2.355047366426687,61.92901856763951,26.0,2
9,-30.907365486920483,116.66965150738152,4800.0,4875.0,2.528783134669863,2.432820512820568,64.91120243322194,25.0,3
10,-30.870454004308368,116.59381713510555,5270.0,5351.0,3.7180187375552998,3.7188594014680785,74.96589571755375,20.25,4
11,-30.87180987654321,116.5895086419753,5351.0,5403.0,3.5277777777777932,3.5277777777777932,91.72222222222263,26.0,2
12,-30.75216710356672,116.46584978005991,5913.0,5995.0,3.121584593895768,3.1108428185086874,63.61201298701222,20.5,4
13,-30.639911653846152,116.36138820512821,6552.0,6601.0,2.7561965811966096,2.7561965811966096,67.26683760683831,24.5,2
14,-30.243701545419253,116.23894501921086,8169.0,8374.0,2.6230467096988614,2.8848290598290385,64.15653326267272,25.625,8
15,-30.24266385528674,116.22819644937276,8438.0,8491.0,1.1504505610098263,1.1504505610098263,29.958951612903455,26.5,2
16,-30.23363404558404,116.21512216880342,8618.0,8678.0,2.7806530706531,2.7806530706531,83.93653268653341,30.0,2
17,-30.33551747068903,116.2944450617785,9254.0,9337.0,2.002501337335387,1.9597967250140536,41.05361236589401,20.75,4
18,-30.387860933862438,116.32558904232803,9554.0,9617.0,3.854639220428645,4.073076923076925,81.16340326340232,21.0,3
19,-30.53931472841665,116.45025771562636,10289.0,10408.0,1.9900621600621604,2.6252173913042767,46.21936789780272,23.8,5
20,-30.70508811237463,116.50732368346615,10948.0,11238.0,1.8308257331668423,1.6225641025641155,40.837730281609296,22.307692307692307,13
21,-30.77044427762795,116.54875103158106,11568.0,11699.0,4.516599436668065,4.626086369770546,98.85342471792086,21.833333333333332,6
22,-31.054890245171432,116.76837162253628,12765.0,12897.0,3.124597928556718,3.24288329519449,67.64236930710578,22.0,6
23,-31.061161507936504,116.77455970695969,12965.0,13010.0,2.720085470085477,2.720085470085477,63.25213675213688,22.5,2
24,-31.26264764102564,116.9438012905983,13800.0,13873.0,1.5843304843305077,1.5261538461538553,38.50826210826268,24.333333333333332,3
25,-31.293830274693573,116.95991912632941,14024.0,14278.0,3.027418672675571,3.3195652173912844,70.26519890298508,23.09090909090909,11
26,-31.71331773504274,117.30915370370371,16022.0,16095.0,2.2981332837854467,2.2823931623931326,55.861737891737626,24.333333333333332,3
27,-31.71529479218367,117.29915431385254,16095.0,16431.0,2.7899598556532705,2.8986568986568937,72.49242903836927,25.846153846153847,13
28,-31.914609361111108,117.5773951388889,17422.0,17520.0,3.379020676088434,3.423073928296393,83.2148068341196,24.5,4
