cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-32.13600277777778,116.97320956790124,187.0,297.0,4.445454545454545,489.0,110.0
1,-32.13505509259259,116.97109560185183,301.0,585.0,5.26056338028169,1494.0,284.0
2,-32.1332404040404,116.96833030303031,588.0,620.0,5.125,164.0,32.0
3,-32.132156321839076,116.96900747126436,621.0,649.0,3.5,98.0,28.0
4,-31.92681041666667,116.98429583333333,1339.0,1367.0,7.392857142857143,207.0,28.0
5,-31.924289102564103,116.9845826923077,1375.0,1475.0,3.71,371.0,100.0
6,-31.924666666666667,116.98354285714285,1483.0,1507.0,4.625,111.0,24.0
7,-31.847019444444445,116.99974166666665,1703.0,1723.0,2.55,51.0,20.0
8,-31.751116666666665,116.99309444444445,1891.0,1911.0,5.75,115.0,20.0
9,-31.72609629629629,116.99162222222223,1943.0,1975.0,2.5,80.0,32.0
10,-31.661633333333334,116.98647916666667,2123.0,2151.0,4.857142857142857,136.0,28.0
11,-31.549942982456145,116.99885964912279,2367.0,2439.0,3.611111111111111,260.0,72.0
12,-31.547365000000003,116.99623166666666,2443.0,2479.0,3.861111111111111,139.0,36.0
13,-31.547143939393944,116.99517575757577,2483.0,2523.0,4.525,181.0,40.0
14,-31.547287037037034,116.99374074074075,2531.0,2563.0,3.46875,111.0,32.0
15,-31.546510256410254,116.99074102564103,2571.0,2619.0,3.5833333333333335,172.0,48.0
16,-31.54643194444444,116.98660833333334,2623.0,2667.0,3.3863636363636362,149.0,44.0
17,-31.54585740740741,116.98436481481482,2675.0,2707.0,2.75,88.0,32.0
18,-31.547215909090912,116.98298257575757,2715.0,2799.0,3.0,252.0,84.0
19,-31.545947222222225,116.97203055555555,2859.0,2879.0,4.65,93.0,20.0
20,-31.498799999999996,117.00677857142857,2971.0,2995.0,7.333333333333333,176.0,24.0
21,-31.42879285714286,117.07184047619046,3183.0,3207.0,4.208333333333333,101.0,24.0
22,-31.41287380952381,117.09061666666665,3239.0,3263.0,5.0,120.0,24.0
23,-31.367302380952385,117.09742857142855,3343.0,3367.0,8.5,204.0,24.0
24,-31.364125,117.09663055555556,3379.0,3399.0,4.4,88.0,20.0
25,-31.203340476190476,117.07629285714286,3929.0,3953.0,3.375,81.0,24.0
26,-31.203397619047617,117.0741261904762,3957.0,3981.0,4.166666666666667,100.0,24.0
27,-31.19951904761905,117.06837619047619,4049.0,4073.0,2.3333333333333335,56.0,24.0
28,-31.197455303030303,117.0659515151515,4125.0,4209.0,3.4285714285714284,288.0,84.0
29,-31.19921944444445,117.07416111111111,4237.0,4257.0,2.7,54.0,20.0
30,-31.263835714285715,117.18073095238094,4657.0,4681.0,2.9583333333333335,71.0,24.0
31,-31.279072222222226,117.21154166666668,4737.0,4757.0,5.5,110.0,20.0
32,-31.30666666666667,117.2566722222222,4841.0,4861.0,7.85,157.0,20.0
33,-31.307483333333337,117.25599743589744,4869.0,4917.0,3.0416666666666665,146.0,48.0
34,-31.3657,117.32865277777778,5129.0,5149.0,7.55,151.0,20.0
35,-31.366158888888894,117.32841666666666,5157.0,5213.0,2.6607142857142856,149.0,56.0
36,-31.366242857142858,117.33893571428572,5317.0,5341.0,4.0,96.0,24.0
37,-31.367962499999997,117.3358875,5377.0,5405.0,2.7857142857142856,78.0,28.0
38,-31.384616666666666,117.39777592592593,5549.0,5581.0,6.78125,217.0,32.0
39,-31.38606904761905,117.39887857142857,5617.0,5641.0,3.75,90.0,24.0
40,-31.382689247311824,117.39602956989248,5713.0,5833.0,3.1,372.0,120.0
41,-31.38010166666667,117.39516499999999,5841.0,5877.0,2.75,99.0,36.0
42,-31.37688888888889,117.39583888888889,5881.0,5901.0,3.6,72.0,20.0
43,-31.377469696969694,117.39705303030304,5905.0,5945.0,3.8,152.0,40.0
44,-31.375922222222226,117.39626666666665,5949.0,5969.0,2.35,47.0,20.0
45,-31.378946078431373,117.40067745098041,5973.0,6037.0,3.46875,222.0,64.0
46,-31.380328333333335,117.40128333333332,6057.0,6093.0,2.2777777777777777,82.0,36.0
47,-31.3780803030303,117.40094696969696,6145.0,6185.0,2.275,91.0,40.0
48,-31.482878571428575,117.58867857142857,6617.0,6641.0,6.708333333333333,161.0,24.0
49,-31.489429166666667,117.62200277777777,6681.0,6725.0,4.181818181818182,184.0,44.0
50,-31.560548809523812,117.76143333333333,7033.0,7085.0,4.538461538461538,236.0,52.0
51,-31.560116666666666,117.75951875,7089.0,7117.0,4.25,119.0,28.0
52,-31.58969393939394,117.85986666666668,7349.0,7389.0,7.25,290.0,40.0
53,-31.588289583333335,117.86051041666667,7401.0,7429.0,3.9285714285714284,110.0,28.0
54,-31.587633333333333,117.86252499999999,7437.0,7457.0,4.8,96.0,20.0
55,-31.58668055555556,117.86203055555556,7465.0,7485.0,5.75,115.0,20.0
56,-31.58480714285714,117.86224761904762,7493.0,7517.0,4.875,117.0,24.0
57,-31.58303095238095,117.86194761904763,7521.0,7545.0,4.166666666666667,100.0,24.0
58,-31.580771428571428,117.85910952380952,7561.0,7585.0,3.875,93.0,24.0
59,-31.627808333333338,117.89662777777778,7763.0,7783.0,6.15,123.0,20.0
60,-31.6327,117.89415925925927,7827.0,7859.0,2.53125,81.0,32.0
61,-31.630309523809526,117.89485714285715,7867.0,7891.0,2.4583333333333335,59.0,24.0
62,-31.716820833333333,117.83218124999999,8139.0,8167.0,7.642857142857143,214.0,28.0
63,-31.7422125,117.76428958333332,8287.0,8315.0,6.642857142857143,186.0,28.0
64,-31.87194444444444,117.61044166666666,8727.0,8747.0,11.15,223.0,20.0
65,-31.999011904761904,117.55046904761903,9003.0,9027.0,2.5833333333333335,62.0,24.0
66,-32.12108888888889,117.46092777777777,9403.0,9435.0,4.375,140.0,32.0
67,-32.1215,117.45701041666666,9443.0,9503.0,3.9166666666666665,235.0,60.0
68,-32.119283124999995,117.45363062499999,9507.0,9823.0,4.9525316455696204,1565.0,316.0
69,-32.23414999999999,117.37368888888888,10075.0,10095.0,7.9,158.0,20.0
70,-32.542839444444446,117.20383722222223,10819.0,10935.0,3.8275862068965516,444.0,116.0
71,-32.54389722222222,117.20639166666668,10939.0,10959.0,3.15,63.0,20.0
72,-32.54378333333334,117.20594047619048,10979.0,11003.0,3.625,87.0,24.0
73,-32.54322916666666,117.20500416666667,11007.0,11035.0,3.9285714285714284,110.0,28.0
74,-32.7261375,117.04574583333334,11515.0,11543.0,7.464285714285714,209.0,28.0
75,-32.725094444444444,117.04265277777777,11547.0,11567.0,5.0,100.0,20.0
76,-32.723378431372545,117.04353431372549,11571.0,11635.0,4.765625,305.0,64.0
77,-32.72253571428571,117.04200000000002,11659.0,11683.0,4.541666666666667,109.0,24.0
78,-32.72068095238095,117.04237857142859,11715.0,11739.0,3.75,90.0,24.0
