cluster_id,lat,lon,t_start,t_end,climb_rate_ms,climb_rate_ms_median,alt_gain_m_mean,duration_s_mean,n_circles
0,-32.13962744551525,116.95595856796423,309.0,860.0,2.960106018779568,3.293915040183735,75.94109298580763,26.238095238095237,21
1,-32.13373072578463,116.95864076366342,955.0,1163.0,1.406960209710466,1.5774600992740562,35.7185888679912,26.0,8
2,-32.07562708333333,116.98618869047618,2462.0,2566.0,1.143051517835056,1.1605904154114448,30.132102285351245,26.0,4
3,-32.07193942901234,116.97468787477953,2666.0,2756.0,2.7878636104683046,2.810849598163111,85.27678467040413,30.0,3
4,-31.768881587301586,117.00326626984126,3600.0,3719.0,2.497597446926135,2.51415797317441,59.41274265903094,23.8,5
5,-31.76567301587302,116.99899074074074,3719.0,3778.0,2.835609100859954,2.835609100859954,83.85606050295581,29.5,2
6,-31.631124633699635,117.00176941391943,4181.0,4474.0,3.829954965005794,3.870342771982053,84.7328220047631,22.53846153846154,13
7,-31.291948958333336,117.03960243055556,5392.0,5441.0,1.9950463706081563,1.9950463706081563,52.42420189049382,24.5,2
8,-31.19631679419477,117.02904374470467,5793.0,6179.0,3.8251434651586433,3.9367616332452386,81.32645780294877,21.444444444444443,18
9,-31.382457663690474,117.46537462797619,7501.0,7730.0,4.043907016449778,4.198701188225401,115.13040462640294,28.625,8
10,-31.573275595238094,117.77329598214286,8593.0,8650.0,3.7890169785838204,3.7890169785838204,108.23565020258505,28.5,2
11,-31.615503869047622,117.85348730158731,9108.0,9237.0,3.6898933842487294,3.75423234092233,95.05681234423105,25.8,5
12,-32.19769490740741,117.52719927248677,11333.0,11442.0,2.831830595840451,2.8146494328617733,76.78949548561553,27.25,4
13,-32.35578404365079,117.44868695634918,12068.0,12534.0,3.1037863867819575,3.292058816145113,71.4185272725266,23.3,20
14,-32.56215551948051,117.2905553030303,13293.0,13556.0,4.240791265053496,4.385580852305891,100.69123784095201,23.90909090909091,11
15,-32.121525,117.17504619708994,16641.0,16902.0,6.046270007734126,5.91671125378993,174.7388858352947,29.0,9
