lat,lon,climb_rate_ms,alt_gain_m,duration_s,circle_cluster_id,alt_cluster_id,circle_lat,circle_lon,alt_lat,alt_lon,dist_m,time_overlap_s,overlap_frac
-32.14057066720207,116.9535070617599,2.409090909090909,53.0,22.0,0,5,-32.13962744551525,116.95595856796423,-32.14151388888889,116.95105555555556,507.0602826402885,22.0,1.0
-32.13476952955898,116.95801482627616,1.55,31.0,20.0,1,9,-32.13373072578463,116.95864076366342,-32.13580833333334,116.95738888888889,259.35491189391763,20.0,1.0
-32.07543020833333,116.98591240079364,2.5,50.0,20.0,2,13,-32.07562708333333,116.98618869047618,-32.07523333333334,116.9856361111111,68.02708305465208,20.0,1.0
-32.07224343245488,116.97469329636414,3.5660377358490565,189.0,53.0,3,17,-32.07193942901234,116.97468787477953,-32.07254743589743,116.97469871794874,67.6150938917296,53.0,1.0
-31.76887308531746,117.0031435515873,2.413793103448276,70.0,29.0,4,22,-31.768881587301586,117.00326626984126,-31.768864583333333,117.00302083333332,23.27942412011086,29.0,1.0
-31.765835714285714,116.99894457671957,2.9518072289156625,245.0,83.0,5,23,-31.76567301587302,116.99899074074074,-31.765998412698405,116.9988984126984,37.2204696142002,59.0,1.0
-31.63179505494505,117.0014620879121,3.056603773584906,162.0,53.0,6,28,-31.631124633699635,117.00176941391943,-31.63246547619047,117.00115476190476,160.04908844327704,53.0,1.0
-31.2917109375,117.03961579861112,1.9655172413793103,57.0,29.0,7,30,-31.291948958333336,117.03960243055556,-31.291472916666667,117.03962916666667,52.99441917501673,29.0,1.0
-31.195546690748177,117.03137266600314,3.9791666666666665,191.0,48.0,8,33,-31.19631679419477,117.02904374470467,-31.194776587301583,117.03370158730161,474.9891420864134,48.0,1.0
-31.382483147321427,117.46565070684524,4.457264957264957,1043.0,234.0,9,45,-31.382457663690474,117.46537462797619,-31.38250863095238,117.46592678571429,52.720919514905226,203.0,0.8864628820960698
-31.573339880952382,117.7731757688492,3.8125,183.0,48.0,10,50,-31.573275595238094,117.77329598214286,-31.573404166666666,117.77305555555556,26.891872543674296,48.0,1.0
-31.615475267857143,117.85357550264551,3.547872340425532,667.0,188.0,11,51,-31.615503869047622,117.85348730158731,-31.615446666666664,117.85366370370372,17.87393048059328,129.0,1.0
-32.197791104497355,117.52711352513228,2.9404761904761907,247.0,84.0,12,58,-32.19769490740741,117.52719927248677,-32.1978873015873,117.52702777777779,26.79678598069288,75.0,0.8928571428571429
-32.3575664265873,117.44660657341268,3.0727272727272728,169.0,55.0,13,60,-32.35578404365079,117.44868695634918,-32.35934880952381,117.44452619047617,556.6497108832746,55.0,1.0
-32.560874981962485,117.2910863320707,4.252525252525253,421.0,99.0,14,69,-32.56215551948051,117.2905553030303,-32.55959444444445,117.29161736111111,301.67190723419174,90.0,0.9090909090909091
-32.12200892857143,117.17521909421596,6.150470219435737,1962.0,319.0,15,84,-32.121525,117.17504619708994,-32.12249285714286,117.17539199134198,112.43983665352809,256.0,0.9808429118773946
